episode,reward,violations,violation_rate,modifications,modification_rate
1,420.0,110,0.08675078864353312,110,0.08675078864353312
2,240.0,189,0.08689655172413793,189,0.08689655172413793
3,740.0,330,0.07904191616766468,330,0.07904191616766468
4,240.0,412,0.08298086606243706,412,0.08298086606243706
5,520.0,503,0.07892672210889691,503,0.07892672210889691
6,240.0,614,0.0850180005538632,614,0.0850180005538632
7,180.0,693,0.08638743455497382,693,0.08638743455497382
8,320.0,788,0.08594176027920165,788,0.08594176027920165
9,160.0,871,0.08920524375256042,871,0.08920524375256042
10,100.0,956,0.09374387134732301,956,0.09374387134732301
11,260.0,1044,0.09445399439066317,1044,0.09445399439066317
12,220.0,1151,0.09707345871637008,1151,0.09707345871637008
13,180.0,1238,0.09865327914574866,1238,0.09865327914574866
14,200.0,1324,0.10009071666162685,1324,0.10009071666162685
15,140.0,1403,0.10152688327664809,1403,0.10152688327664809
16,280.0,1492,0.10139313625552157,1492,0.10139313625552157
17,200.0,1575,0.10227272727272728,1575,0.10227272727272728
18,320.0,1685,0.10207790634276367,1685,0.10207790634276367
19,240.0,1775,0.10279129024785731,1775,0.10279129024785731
20,400.0,1890,0.10167303243853892,1890,0.10167303243853892
21,200.0,1976,0.10238341968911917,1976,0.10238341968911917
22,460.0,2112,0.10167043758725268,2112,0.10167043758725268
23,160.0,2203,0.10308361798699171,2203,0.10308361798699171
24,260.0,2324,0.10419655667144907,2324,0.10419655667144907
25,500.0,2459,0.10305519466912536,2459,0.10305519466912536
26,200.0,2547,0.10359554217847555,2547,0.10359554217847555
27,160.0,2637,0.10446046585327207,2637,0.10446046585327207
28,240.0,2728,0.10516576715497301,2728,0.10516576715497301
29,280.0,2835,0.10537858231424005,2835,0.10537858231424005
30,240.0,2933,0.1055719530631344,2933,0.1055719530631344
31,300.0,3030,0.10539863642688187,3030,0.10539863642688187
32,120.0,3118,0.10647452533806857,3118,0.10647452533806857
33,220.0,3195,0.10673125104392851,3195,0.10673125104392851
34,120.0,3281,0.10727130059504349,3281,0.10727130059504349
35,140.0,3369,0.10806042916252366,3369,0.10806042916252366
36,220.0,3458,0.10834351599461102,3458,0.10834351599461102
37,340.0,3567,0.10805489079397776,3567,0.10805489079397776
38,140.0,3652,0.10871312475813413,3652,0.10871312475813413
39,140.0,3739,0.10969634736687693,3739,0.10969634736687693
40,140.0,3831,0.11049899048168445,3831,0.11049899048168445
