episode,reward,violations,violation_rate,modifications,modification_rate
1,160.0,61,0.11753371868978806,61,0.11753371868978806
2,60.0,133,0.1408898305084746,133,0.1408898305084746
3,120.0,208,0.14910394265232976,208,0.14910394265232976
4,260.0,295,0.13306269733874607,295,0.13306269733874607
5,260.0,401,0.12943834732085216,401,0.12943834732085216
6,140.0,477,0.13111599780098956,477,0.13111599780098956
7,260.0,571,0.12663561765358172,571,0.12663561765358172
8,380.0,681,0.11932714210618539,681,0.11932714210618539
9,200.0,760,0.11904761904761904,760,0.11904761904761904
10,260.0,836,0.11730040690332538,836,0.11730040690332538
11,140.0,914,0.11761678033715095,914,0.11761678033715095
12,200.0,987,0.11702632202987906,987,0.11702632202987906
13,340.0,1096,0.1147764163786784,1096,0.1147764163786784
14,400.0,1204,0.11160548757879125,1204,0.11160548757879125
15,320.0,1290,0.10942403935872423,1290,0.10942403935872423
16,520.0,1403,0.10564759036144579,1403,0.10564759036144579
17,280.0,1492,0.10492264416315049,1492,0.10492264416315049
18,340.0,1576,0.10304020921869893,1576,0.10304020921869893
19,400.0,1682,0.10139860139860139,1682,0.10139860139860139
20,280.0,1763,0.100869664721364,1763,0.100869664721364
21,120.0,1849,0.10256836966772064,1849,0.10256836966772064
22,200.0,1933,0.10278087945977561,1933,0.10278087945977561
23,220.0,2016,0.10267902617907711,2016,0.10267902617907711
24,200.0,2101,0.10306597988717194,2101,0.10306597988717194
25,400.0,2214,0.10246679316888045,2214,0.10246679316888045
26,340.0,2334,0.10247629083245521,2334,0.10247629083245521
27,340.0,2460,0.10295471666527162,2460,0.10295471666527162
28,200.0,2552,0.10404859950258899,2552,0.10404859950258899
29,180.0,2639,0.10401229702033737,2639,0.10401229702033737
30,300.0,2730,0.10329953080066596,2730,0.10329953080066596
31,280.0,2817,0.10313769999633873,2817,0.10313769999633873
32,240.0,2906,0.1032216815259475,2906,0.1032216815259475
33,380.0,3010,0.10239836706922946,3010,0.10239836706922946
34,160.0,3097,0.10325742673290435,3097,0.10325742673290435
35,260.0,3209,0.10377724597374038,3209,0.10377724597374038
36,320.0,3321,0.10381044668813104,3321,0.10381044668813104
37,240.0,3408,0.10400390625,3408,0.10400390625
38,300.0,3488,0.10352913240924876,3488,0.10352913240924876
39,340.0,3593,0.10338080851676018,3593,0.10338080851676018
40,160.0,3677,0.10387005649717514,3677,0.10387005649717514
