episode,reward,violations,violation_rate,modifications,modification_rate
1,240.0,74,0.0899149453219927,71,0.08626974483596597
2,160.0,147,0.09601567602873938,140,0.09144350097975179
3,140.0,224,0.09580838323353294,215,0.09195893926432848
4,340.0,293,0.08316775475447062,284,0.08061311382344592
5,200.0,430,0.09910117538603365,406,0.09356994699239456
6,220.0,510,0.09970674486803519,484,0.09462365591397849
7,300.0,621,0.10296799867352015,588,0.09749626927541039
8,220.0,691,0.0992816091954023,658,0.09454022988505748
9,280.0,761,0.09510122469382655,726,0.09072731817045739
10,140.0,814,0.09282700421940929,777,0.08860759493670886
11,100.0,879,0.0955746439056214,837,0.09100793737088181
12,40.0,945,0.09836577495576142,900,0.0936816904340585
13,160.0,1014,0.09873417721518987,966,0.0940603700097371
14,240.0,1078,0.09679446888749214,1026,0.09212534793930142
15,540.0,1237,0.09983857949959644,1175,0.09483454398708636
16,120.0,1301,0.10099363452879988,1238,0.096103089582363
17,60.0,1359,0.10159988038277512,1295,0.09681519138755981
18,120.0,1411,0.10121225163187719,1345,0.09647801448963489
19,20.0,1467,0.10251572327044026,1401,0.09790356394129979
20,60.0,1506,0.10224032586558045,1439,0.0976917854718262
21,0.0,1550,0.10265580502020001,1481,0.09808596595801046
22,0.0,1602,0.10410709643878346,1533,0.09962308292175721
23,40.0,1651,0.10373861137291863,1581,0.09934024505183789
24,140.0,1710,0.10370550063678816,1636,0.09921766025835406
25,200.0,1768,0.10253436176999361,1690,0.09801078698602331
26,180.0,1811,0.1014508991092936,1730,0.09691333818833679
27,60.0,1851,0.10088293001962066,1769,0.09641377806845433
28,40.0,1895,0.1003335627680415,1810,0.095833112723037
29,140.0,1933,0.09931154952733251,1847,0.09489313604603371
30,80.0,1963,0.09872755620379219,1877,0.0944022531811095
31,60.0,1997,0.09761462508554111,1905,0.09311760680418418
32,40.0,2026,0.09713765162775087,1934,0.09272666251138706
33,20.0,2048,0.09646726330664154,1956,0.0921337729627885
34,40.0,2079,0.09591252998708248,1985,0.09157593651965307
35,60.0,2109,0.09469288793103449,2014,0.09042744252873564
36,0.0,2139,0.09463345573596425,2040,0.09025350617174711
37,60.0,2171,0.09402338674750975,2072,0.08973581637072325
38,80.0,2202,0.09286045628979885,2101,0.08860118922110236
39,80.0,2235,0.09195260429523575,2133,0.08775610960256727
40,0.0,2273,0.09239461810495508,2171,0.08824844518515508
41,0.0,2301,0.09193335730552558,2198,0.08781813096807703
42,40.0,2330,0.09152688847861098,2226,0.08744156813450131
43,60.0,2351,0.09015261906587929,2247,0.08616458317355626
44,40.0,2382,0.08984610742305371,2273,0.0857347616173808
45,40.0,2411,0.08945864717450187,2300,0.08534006159326185
46,40.0,2451,0.08881078339010073,2336,0.08464381476918617
47,40.0,2500,0.08927614898403742,2383,0.08509802521158448
48,40.0,2535,0.08863326457116884,2418,0.08454249851403797
49,40.0,2569,0.08859537193502776,2451,0.08452598544677035
50,20.0,2597,0.08782846900470087,2478,0.08380398390205959
51,20.0,2638,0.088047795467441,2519,0.0840759654217149
52,20.0,2681,0.08831570972098693,2559,0.08429686727937544
53,80.0,2721,0.08797284190106693,2598,0.08399612027158099
54,40.0,2753,0.08773663076040537,2628,0.08375294792529799
55,20.0,2786,0.08762659621312198,2661,0.08369503679939612
56,0.0,2823,0.08801521481573861,2698,0.08411797717777639
57,100.0,2863,0.08772252351625456,2733,0.08373931427520911
58,0.0,2905,0.08801163389584028,2772,0.08398218559699458
59,40.0,2938,0.08794300766283525,2804,0.08393199233716475
60,80.0,2967,0.08757378984651712,2833,0.08361865407319953
61,20.0,2997,0.08720067502691378,2863,0.08330181268003142
62,40.0,3035,0.08707002897552858,2898,0.08313968499870901
63,20.0,3058,0.08666817821108717,2921,0.08278539848089786
64,0.0,3093,0.08687226154364679,2954,0.08296820581957083
65,40.0,3122,0.08674631842178383,2980,0.08280077799388719
66,140.0,3151,0.08577650741799374,3005,0.08180209609364367
67,20.0,3192,0.08607253606579479,3042,0.08202777403262775
68,20.0,3230,0.08626906332630005,3077,0.08218263401084373
69,60.0,3258,0.08599709647617791,3104,0.08193216312524745
70,60.0,3290,0.08571056402240458,3135,0.08167252833137945
71,20.0,3329,0.08565327021046673,3172,0.08161374980702928
72,20.0,3361,0.08569170363571466,3203,0.08166335220029575
73,0.0,3407,0.0859854125129344,3245,0.08189687807586503
74,180.0,3444,0.08561201153425475,3278,0.08148553246494979
75,140.0,3480,0.08509181602562535,3308,0.08088612856688755
76,60.0,3526,0.08546428484863175,3350,0.08119834209952251
77,160.0,3577,0.08520521188156548,3396,0.08089373764321955
78,80.0,3633,0.08559715382984237,3447,0.08121480573946234
79,160.0,3687,0.0855511984592895,3495,0.08109613198134441
80,100.0,3738,0.08584420356421091,3546,0.08143487047584053
81,40.0,3788,0.08615356622998545,3591,0.08167303493449782
82,180.0,3825,0.085620271298742,3626,0.08116577875274208
83,60.0,3867,0.08563266752291952,3664,0.08113734000620045
84,280.0,3908,0.08491406470677705,3700,0.08039458531603763
85,220.0,3958,0.08448960423515348,3749,0.0800281774324382
86,200.0,4002,0.08425972713491663,3787,0.07973303014990736
87,120.0,4043,0.08375455750745774,3826,0.07925919787868743
88,0.0,4087,0.08407216176742846,3862,0.07944377018492996
89,80.0,4127,0.08403412677404247,3900,0.07941194437091487
90,60.0,4159,0.0838305248730146,3929,0.07919454970571636
91,80.0,4193,0.08367424318014009,3960,0.07902456546466843
92,120.0,4233,0.08358014453263832,3999,0.07895983888164909
93,140.0,4279,0.08352690858693318,4039,0.07884206211325616
94,100.0,4314,0.08331241188853054,4069,0.0785809466792839
95,120.0,4343,0.08289908186833114,4095,0.07816526370039512
96,160.0,4363,0.08231298934062824,4112,0.07757758702009245
97,220.0,4403,0.08199560505046743,4150,0.07728407017021117
98,180.0,4443,0.08147659129669363,4188,0.07680035209330473
99,100.0,4479,0.08145857961262162,4219,0.0767300172774393
100,100.0,4510,0.0808403090214917,4248,0.0761440427324383
101,120.0,4548,0.08052835667616906,4282,0.07581847477734299
102,120.0,4599,0.08067571834543733,4329,0.07593937480265235
103,120.0,4641,0.08069339639044407,4365,0.07589456480161352
104,140.0,4688,0.08081365281847958,4409,0.07600413721772108
105,200.0,4720,0.08029122580206172,4440,0.07552818698329535
106,0.0,4757,0.08048252292491456,4476,0.07572835245152776
107,220.0,4853,0.08090895450225905,4560,0.0760240742901919
108,60.0,4880,0.080792026754081,4585,0.07590808251382404
109,120.0,4917,0.08065680259833995,4619,0.07576851153177389
110,160.0,4954,0.08045734331606386,4655,0.07560131875984603
111,160.0,4989,0.08037958368241284,4690,0.07556228652445705
112,0.0,5027,0.08061257216164208,4726,0.07578576010262988
113,140.0,5066,0.08045356371490281,4762,0.07562571464871046
114,140.0,5098,0.08029484493865273,4794,0.07550676473830936
115,120.0,5130,0.08006617555250344,4825,0.0753059058559121
116,280.0,5151,0.07894010911542941,4845,0.07425059768282964
117,0.0,5189,0.07914042124849391,4880,0.07442768465844099
118,340.0,5298,0.07954238356904783,4979,0.07475302525298021
119,220.0,5344,0.07939502889658144,5022,0.07461112184106138
120,120.0,5392,0.07941791616343123,5065,0.07460158482340118
121,180.0,5421,0.07922658716239916,5093,0.07443294750379983
122,180.0,5456,0.07889637620383493,5125,0.07410995748619024
123,60.0,5491,0.07887327989887673,5157,0.07407567008532276
124,100.0,5524,0.07885120475048532,5185,0.07401221879639146
125,240.0,5568,0.07867073584265853,5226,0.07383858935232282
126,200.0,5609,0.07853212550578945,5265,0.07371574982848662
127,140.0,5642,0.0784384601482017,5297,0.07364206370170585
128,20.0,5680,0.07859742344361881,5331,0.07376810992569223
129,100.0,5714,0.07849871550054265,5361,0.07364921487546537
130,100.0,5738,0.07830240174672488,5385,0.07348526200873362
131,220.0,5767,0.07792611409885684,5412,0.07312920574007513
132,280.0,5814,0.0776763884621037,5455,0.07288006519793183
133,60.0,5859,0.07783770857689447,5499,0.07305505367201616
134,80.0,5904,0.07783578547698149,5543,0.0730765174286769
135,280.0,5947,0.07741775908978481,5584,0.07269224260254892
136,160.0,5983,0.07733471207910554,5615,0.0725780391649971
137,160.0,6025,0.07728123957825607,5655,0.07253533772863703
138,200.0,6064,0.07705895060551765,5694,0.07235713468796462
139,60.0,6096,0.07703778592190066,5723,0.0723240237583723
