episode,reward,violations,violation_rate,modifications,modification_rate
1,0.0,66,0.16097560975609757,0,0.0
2,60.0,140,0.15765765765765766,0,0.0
3,220.0,301,0.1684387241186346,0,0.0
4,100.0,378,0.14416475972540047,0,0.0
5,140.0,456,0.13726670680313063,0,0.0
6,140.0,527,0.13396034570411794,0,0.0
7,20.0,600,0.13556258472661545,0,0.0
8,40.0,676,0.13468818489738993,0,0.0
9,60.0,755,0.13635542712660284,0,0.0
10,120.0,831,0.13444426468209028,0,0.0
11,80.0,903,0.13423517169614985,0,0.0
12,80.0,979,0.1362181716989008,0,0.0
13,20.0,1053,0.13864384463462803,0,0.0
14,540.0,1386,0.1507177033492823,0,0.0
15,460.0,1668,0.15776033292348435,0,0.0
16,480.0,2024,0.164740354875468,0,0.0
17,340.0,2116,0.15529135476295317,0,0.0
18,260.0,2205,0.15284902259808678,0,0.0
19,140.0,2287,0.15087742446233013,0,0.0
20,380.0,2509,0.15362478569679158,0,0.0
21,380.0,2721,0.15521962350256702,0,0.0
22,300.0,2950,0.15956295975768064,0,0.0
23,200.0,3030,0.15715767634854771,0,0.0
24,400.0,3250,0.15853658536585366,0,0.0
25,120.0,3335,0.1578847701557544,0,0.0
26,180.0,3415,0.15628575351242507,0,0.0
27,340.0,3635,0.158380898435798,0,0.0
28,200.0,3710,0.15722337585286264,0,0.0
29,320.0,3816,0.15565345080763582,0,0.0
30,240.0,3901,0.15453176992552686,0,0.0
31,200.0,3985,0.15313376628367215,0,0.0
32,120.0,4063,0.15256655777101874,0,0.0
33,340.0,4143,0.1500380255676674,0,0.0
34,100.0,4220,0.14998045278458969,0,0.0
35,160.0,4302,0.1500627877773127,0,0.0
36,320.0,4380,0.14802798337219913,0,0.0
37,140.0,4466,0.1479787939032472,0,0.0
38,160.0,4553,0.14771436913992797,0,0.0
39,160.0,4636,0.14727746362538915,0,0.0
40,200.0,4723,0.14633163960837775,0,0.0
41,240.0,4806,0.14568050924522583,0,0.0
42,180.0,4886,0.14465892941733777,0,0.0
43,380.0,4962,0.14172283788415402,0,0.0
44,360.0,5172,0.14368662314210306,0,0.0
45,420.0,5390,0.14486910713325807,0,0.0
46,420.0,5745,0.14875326894694596,0,0.0
47,100.0,5828,0.14926367012421565,0,0.0
48,200.0,5904,0.14844241068061248,0,0.0
49,480.0,6268,0.15195888285492629,0,0.0
50,300.0,6347,0.15066346998362096,0,0.0
