episode,reward,violations,violation_rate,modifications,modification_rate
1,26.0,1,0.038461538461538464,1,0.038461538461538464
2,81.0,10,0.09345794392523364,10,0.09345794392523364
3,14.0,11,0.09090909090909091,11,0.09090909090909091
4,30.0,13,0.08609271523178808,13,0.08609271523178808
5,18.0,16,0.09467455621301775,16,0.09467455621301775
6,27.0,18,0.09183673469387756,18,0.09183673469387756
7,13.0,19,0.09090909090909091,19,0.09090909090909091
8,39.0,20,0.08064516129032258,20,0.08064516129032258
9,32.0,21,0.075,21,0.075
10,15.0,24,0.08135593220338982,24,0.08135593220338982
11,43.0,25,0.07396449704142012,25,0.07396449704142012
12,31.0,33,0.08943089430894309,33,0.08943089430894309
13,35.0,39,0.09653465346534654,39,0.09653465346534654
14,44.0,41,0.09151785714285714,41,0.09151785714285714
15,12.0,43,0.09347826086956522,43,0.09347826086956522
16,12.0,43,0.09110169491525423,43,0.09110169491525423
17,31.0,44,0.0874751491053678,44,0.0874751491053678
18,60.0,44,0.07815275310834814,44,0.07815275310834814
19,49.0,45,0.07352941176470588,45,0.07352941176470588
20,68.0,49,0.07205882352941176,49,0.07205882352941176
21,89.0,50,0.06501950585175553,50,0.06501950585175553
22,55.0,53,0.06432038834951456,53,0.06432038834951456
23,93.0,57,0.062159214830970554,57,0.062159214830970554
24,21.0,58,0.06183368869936034,58,0.06183368869936034
25,27.0,59,0.061139896373056994,59,0.061139896373056994
26,20.0,60,0.06091370558375635,60,0.06091370558375635
27,73.0,61,0.057655954631379965,61,0.057655954631379965
28,103.0,72,0.06201550387596899,72,0.06201550387596899
29,151.0,85,0.06478658536585366,85,0.06478658536585366
30,92.0,86,0.06125356125356125,86,0.06125356125356125
31,100.0,92,0.061170212765957445,92,0.061170212765957445
32,125.0,104,0.06384284837323512,104,0.06384284837323512
33,31.0,105,0.06325301204819277,105,0.06325301204819277
34,39.0,106,0.06238964096527369,106,0.06238964096527369
35,123.0,116,0.06366630076838639,116,0.06366630076838639
36,64.0,120,0.06362672322375397,120,0.06362672322375397
37,22.0,121,0.06341719077568134,121,0.06341719077568134
38,38.0,123,0.0632065775950668,123,0.0632065775950668
39,13.0,124,0.06329760081674324,124,0.06329760081674324
40,103.0,130,0.06304558680892337,130,0.06304558680892337
41,45.0,134,0.06359753203607024,134,0.06359753203607024
42,32.0,135,0.06311360448807854,135,0.06311360448807854
43,135.0,141,0.06200527704485488,141,0.06200527704485488
44,25.0,142,0.061765985210961286,142,0.061765985210961286
45,34.0,146,0.06258036862408915,146,0.06258036862408915
46,89.0,151,0.06234516928158547,151,0.06234516928158547
47,90.0,159,0.06329617834394904,159,0.06329617834394904
48,100.0,168,0.06431852986217458,168,0.06431852986217458
49,30.0,168,0.0635881907645723,168,0.0635881907645723
50,14.0,169,0.06362951807228916,169,0.06362951807228916
51,192.0,181,0.06355337078651685,181,0.06355337078651685
52,77.0,187,0.06393162393162394,187,0.06393162393162394
53,127.0,194,0.063564875491481,194,0.063564875491481
54,81.0,195,0.06224066390041494,195,0.06224066390041494
55,214.0,201,0.06005377950403346,201,0.06005377950403346
56,37.0,203,0.059988179669030736,203,0.059988179669030736
57,189.0,211,0.05905401623285754,211,0.05905401623285754
58,182.0,226,0.06018641810918775,226,0.06018641810918775
59,282.0,257,0.06366113450582116,257,0.06366113450582116
60,148.0,274,0.06547192353643967,274,0.06547192353643967
61,112.0,281,0.06539446125203631,281,0.06539446125203631
62,125.0,284,0.0642243328810493,284,0.0642243328810493
63,49.0,287,0.06419145605010065,287,0.06419145605010065
64,133.0,292,0.0634231103388358,292,0.0634231103388358
65,134.0,302,0.06373997467285775,302,0.06373997467285775
66,272.0,314,0.0626746506986028,314,0.0626746506986028
67,51.0,317,0.06263584271883027,317,0.06263584271883027
68,170.0,332,0.06346778818581533,332,0.06346778818581533
69,146.0,337,0.06267435372884508,337,0.06267435372884508
70,112.0,343,0.062488613590818,343,0.062488613590818
71,392.0,362,0.06155415745621493,362,0.06155415745621493
72,204.0,377,0.061955628594905506,377,0.061955628594905506
73,326.0,397,0.06192481672126034,397,0.06192481672126034
74,124.0,401,0.061361897475133896,401,0.061361897475133896
75,456.0,425,0.060792447432413105,425,0.060792447432413105
76,368.0,448,0.06087783666259003,448,0.06087783666259003
77,344.0,469,0.06088536933662209,469,0.06088536933662209
78,100.0,473,0.06061771113674228,473,0.06061771113674228
79,344.0,495,0.06075856143365656,495,0.06075856143365656
80,101.0,508,0.06159068865179437,508,0.06159068865179437
81,130.0,509,0.06075435664836477,509,0.06075435664836477
82,25.0,509,0.06057360466500059,509,0.06057360466500059
83,217.0,519,0.060208816705336426,519,0.060208816705336426
84,113.0,530,0.060689339287759075,530,0.060689339287759075
85,246.0,536,0.059694843523777706,536,0.059694843523777706
86,170.0,543,0.059350748715706635,543,0.059350748715706635
87,386.0,562,0.05894074462506555,562,0.05894074462506555
88,148.0,566,0.058452958793762264,566,0.058452958793762264
89,273.0,588,0.0590598633989554,588,0.0590598633989554
90,356.0,603,0.0584755624515128,603,0.0584755624515128
