episode,reward,violations,violation_rate,modifications,modification_rate
1,17.0,2,0.11764705882352941,2,0.11764705882352941
2,22.0,2,0.05128205128205128,2,0.05128205128205128
3,9.0,2,0.041666666666666664,2,0.041666666666666664
4,42.0,2,0.022222222222222223,2,0.022222222222222223
5,53.0,10,0.06993006993006994,10,0.06993006993006994
6,66.0,12,0.05741626794258373,12,0.05741626794258373
7,32.0,14,0.058091286307053944,14,0.058091286307053944
8,20.0,15,0.05747126436781609,15,0.05747126436781609
9,14.0,18,0.06545454545454546,18,0.06545454545454546
10,25.0,20,0.06666666666666667,20,0.06666666666666667
11,11.0,21,0.06752411575562701,21,0.06752411575562701
12,11.0,22,0.06832298136645963,22,0.06832298136645963
13,10.0,23,0.06927710843373494,23,0.06927710843373494
14,10.0,24,0.07017543859649122,24,0.07017543859649122
15,16.0,26,0.07262569832402235,26,0.07262569832402235
16,9.0,28,0.07629427792915532,28,0.07629427792915532
17,12.0,29,0.07651715039577836,29,0.07651715039577836
18,10.0,31,0.07969151670951156,31,0.07969151670951156
19,10.0,33,0.08270676691729323,33,0.08270676691729323
20,12.0,35,0.0851581508515815,35,0.0851581508515815
21,10.0,36,0.0855106888361045,36,0.0855106888361045
22,10.0,37,0.08584686774941995,37,0.08584686774941995
23,9.0,38,0.08636363636363636,38,0.08636363636363636
24,10.0,39,0.08666666666666667,39,0.08666666666666667
25,11.0,41,0.08893709327548807,41,0.08893709327548807
26,19.0,41,0.08541666666666667,41,0.08541666666666667
27,13.0,44,0.08924949290060852,44,0.08924949290060852
28,93.0,45,0.07679180887372014,45,0.07679180887372014
29,58.0,56,0.08695652173913043,56,0.08695652173913043
30,177.0,67,0.08160779537149818,67,0.08160779537149818
31,28.0,68,0.0800942285041225,68,0.0800942285041225
32,45.0,74,0.08277404921700224,74,0.08277404921700224
33,26.0,76,0.08260869565217391,76,0.08260869565217391
34,77.0,88,0.08826479438314945,88,0.08826479438314945
35,29.0,91,0.08869395711500974,91,0.08869395711500974
36,60.0,102,0.09392265193370165,102,0.09392265193370165
37,25.0,103,0.0927092709270927,103,0.0927092709270927
38,19.0,104,0.0920353982300885,104,0.0920353982300885
39,42.0,107,0.09129692832764505,107,0.09129692832764505
40,32.0,109,0.09053156146179402,109,0.09053156146179402
41,32.0,110,0.0889967637540453,110,0.0889967637540453
42,40.0,111,0.08699059561128526,111,0.08699059561128526
43,20.0,112,0.08641975308641975,112,0.08641975308641975
44,128.0,114,0.0800561797752809,114,0.0800561797752809
45,96.0,133,0.0875,133,0.0875
46,55.0,148,0.09396825396825396,148,0.09396825396825396
47,42.0,153,0.09461966604823747,153,0.09461966604823747
48,68.0,155,0.09198813056379822,155,0.09198813056379822
49,29.0,155,0.09043173862310384,155,0.09043173862310384
50,106.0,160,0.08791208791208792,160,0.08791208791208792
51,146.0,164,0.08341810783316378,164,0.08341810783316378
52,118.0,170,0.08157389635316699,170,0.08157389635316699
53,63.0,174,0.08104331625523988,174,0.08104331625523988
54,99.0,189,0.08414959928762245,189,0.08414959928762245
55,99.0,203,0.08656716417910448,203,0.08656716417910448
56,76.0,227,0.09376290788930194,227,0.09376290788930194
57,124.0,250,0.09823182711198428,250,0.09823182711198428
58,129.0,255,0.09536275243081525,255,0.09536275243081525
59,113.0,262,0.09400789379260854,262,0.09400789379260854
60,120.0,262,0.09012727898176814,262,0.09012727898176814
61,96.0,266,0.08857808857808858,266,0.08857808857808858
62,57.0,267,0.08725490196078431,267,0.08725490196078431
63,61.0,271,0.0868311438641461,271,0.0868311438641461
64,31.0,271,0.08597715736040609,271,0.08597715736040609
65,17.0,271,0.08551593562638056,271,0.08551593562638056
66,53.0,273,0.08472998137802606,273,0.08472998137802606
67,27.0,274,0.08433364112034472,274,0.08433364112034472
68,27.0,275,0.08394383394383394,275,0.08394383394383394
69,14.0,277,0.08419452887537994,277,0.08419452887537994
70,16.0,278,0.08408953418027829,278,0.08408953418027829
71,12.0,278,0.08378541289933696,278,0.08378541289933696
72,16.0,278,0.08338332333533294,278,0.08338332333533294
73,25.0,280,0.08335814230425721,280,0.08335814230425721
74,13.0,280,0.0830367734282325,280,0.0830367734282325
75,16.0,280,0.08264462809917356,280,0.08264462809917356
76,27.0,281,0.08228404099560761,281,0.08228404099560761
77,33.0,282,0.08178654292343387,282,0.08178654292343387
78,26.0,286,0.08232584916522741,286,0.08232584916522741
79,27.0,288,0.08226221079691516,288,0.08226221079691516
80,36.0,289,0.08170766186033361,289,0.08170766186033361
81,30.0,290,0.08130081300813008,290,0.08130081300813008
82,32.0,291,0.08085579327590997,291,0.08085579327590997
83,24.0,292,0.0805961910019321,292,0.0805961910019321
84,93.0,300,0.08073196986006459,300,0.08073196986006459
85,63.0,301,0.07965070124371527,301,0.07965070124371527
86,136.0,302,0.07713920817369094,302,0.07713920817369094
87,31.0,304,0.07704004054738976,304,0.07704004054738976
88,48.0,305,0.07636454682023035,305,0.07636454682023035
89,123.0,306,0.07432596550886568,306,0.07432596550886568
90,41.0,307,0.07383357383357383,307,0.07383357383357383
91,36.0,308,0.07343824511206486,308,0.07343824511206486
92,40.0,309,0.07298063297118564,309,0.07298063297118564
93,31.0,311,0.07291910902696366,311,0.07291910902696366
94,31.0,315,0.07332402234636871,315,0.07332402234636871
95,32.0,319,0.07370609981515712,319,0.07370609981515712
96,52.0,321,0.07328767123287672,321,0.07328767123287672
97,33.0,325,0.07364604577384999,325,0.07364604577384999
98,39.0,328,0.07367475292003593,328,0.07367475292003593
99,36.0,329,0.07330659536541889,329,0.07330659536541889
100,62.0,332,0.07296703296703297,332,0.07296703296703297
101,38.0,335,0.07301656495204882,335,0.07301656495204882
102,37.0,339,0.0732972972972973,339,0.0732972972972973
103,51.0,340,0.07271171941830624,340,0.07271171941830624
104,37.0,342,0.07256524506683641,342,0.07256524506683641
105,53.0,345,0.07238774653797735,345,0.07238774653797735
106,46.0,350,0.07273482959268496,350,0.07273482959268496
107,52.0,353,0.07257401315789473,353,0.07257401315789473
108,29.0,357,0.07296137339055794,357,0.07296137339055794
109,42.0,358,0.07254305977710233,358,0.07254305977710233
110,48.0,359,0.07204495283965483,359,0.07204495283965483
111,42.0,360,0.07164179104477612,360,0.07164179104477612
112,31.0,363,0.07179588607594936,363,0.07179588607594936
113,28.0,363,0.07140047206923682,363,0.07140047206923682
114,36.0,365,0.0712890625,365,0.0712890625
115,33.0,365,0.07083252474286823,365,0.07083252474286823
116,41.0,366,0.07046592221794377,366,0.07046592221794377
117,29.0,368,0.07045759142255409,368,0.07045759142255409
118,35.0,370,0.0703689615823507,370,0.0703689615823507
119,37.0,372,0.07025495750708215,372,0.07025495750708215
120,34.0,373,0.0699943704259711,373,0.0699943704259711
121,38.0,374,0.06968511272591764,374,0.06968511272591764
122,29.0,375,0.06949592290585618,375,0.06949592290585618
123,41.0,377,0.06933970939856539,377,0.06933970939856539
124,36.0,378,0.06906632559839211,378,0.06906632559839211
125,34.0,380,0.069003086980207,380,0.069003086980207
126,38.0,381,0.06871055004508567,381,0.06871055004508567
127,38.0,383,0.06860111051406054,383,0.06860111051406054
128,31.0,385,0.0685785536159601,385,0.0685785536159601
129,39.0,387,0.06845922519016451,387,0.06845922519016451
130,32.0,388,0.06824978012313104,388,0.06824978012313104
131,45.0,389,0.06788830715532286,389,0.06788830715532286
