episode,reward,violations,violation_rate,modifications,modification_rate
1,13.0,0,0.0,0,0.0
2,20.0,1,0.030303030303030304,0,0.0
3,20.0,4,0.07547169811320754,0,0.0
4,22.0,6,0.08,0,0.0
5,14.0,8,0.0898876404494382,0,0.0
6,13.0,10,0.09803921568627451,0,0.0
7,21.0,11,0.08943089430894309,0,0.0
8,24.0,13,0.08843537414965986,0,0.0
9,32.0,14,0.0782122905027933,0,0.0
10,14.0,16,0.08290155440414508,0,0.0
11,13.0,17,0.0825242718446602,0,0.0
12,101.0,17,0.05537459283387622,0,0.0
13,15.0,18,0.055900621118012424,0,0.0
14,23.0,19,0.05507246376811594,0,0.0
15,21.0,21,0.05737704918032787,0,0.0
16,15.0,21,0.05511811023622047,0,0.0
17,31.0,23,0.055825242718446605,0,0.0
18,24.0,24,0.05504587155963303,0,0.0
19,46.0,27,0.056016597510373446,0,0.0
20,20.0,28,0.055776892430278883,0,0.0
21,42.0,31,0.05698529411764706,0,0.0
22,32.0,37,0.0642361111111111,0,0.0
23,14.0,38,0.06440677966101695,0,0.0
24,21.0,39,0.06382978723404255,0,0.0
25,33.0,40,0.062111801242236024,0,0.0
26,50.0,41,0.059077809798270896,0,0.0
27,31.0,43,0.05931034482758621,0,0.0
28,20.0,43,0.05771812080536913,0,0.0
29,71.0,47,0.05759803921568627,0,0.0
30,32.0,51,0.060141509433962265,0,0.0
31,56.0,55,0.06084070796460177,0,0.0
32,30.0,55,0.058886509635974305,0,0.0
33,22.0,59,0.06171548117154812,0,0.0
34,14.0,60,0.061855670103092786,0,0.0
35,56.0,62,0.06042884990253411,0,0.0
36,23.0,64,0.061010486177311724,0,0.0
37,22.0,65,0.06069094304388422,0,0.0
38,21.0,69,0.06318681318681318,0,0.0
39,23.0,69,0.06188340807174888,0,0.0
40,15.0,69,0.061061946902654866,0,0.0
41,21.0,69,0.05994787141615986,0,0.0
42,14.0,71,0.06094420600858369,0,0.0
43,40.0,72,0.05975103734439834,0,0.0
44,69.0,73,0.05729984301412873,0,0.0
45,36.0,75,0.05725190839694656,0,0.0
46,36.0,79,0.058692421991084695,0,0.0
47,14.0,80,0.058823529411764705,0,0.0
48,25.0,82,0.0592057761732852,0,0.0
49,26.0,82,0.058114812189936214,0,0.0
50,44.0,87,0.05979381443298969,0,0.0
51,15.0,88,0.05986394557823129,0,0.0
52,22.0,89,0.0596514745308311,0,0.0
53,68.0,91,0.058333333333333334,0,0.0
54,42.0,93,0.05805243445692884,0,0.0
55,69.0,94,0.056253740275284264,0,0.0
56,27.0,97,0.05712603062426384,0,0.0
57,90.0,97,0.05425055928411633,0,0.0
58,58.0,97,0.05254604550379198,0,0.0
59,75.0,98,0.05101509630400833,0,0.0
60,23.0,103,0.05298353909465021,0,0.0
61,49.0,105,0.05268439538384345,0,0.0
62,21.0,107,0.05312810327706058,0,0.0
63,18.0,107,0.05265748031496063,0,0.0
64,29.0,109,0.052886948083454635,0,0.0
65,33.0,115,0.054918815663801336,0,0.0
66,31.0,116,0.054588235294117646,0,0.0
67,27.0,118,0.05483271375464684,0,0.0
68,35.0,118,0.053955189757658895,0,0.0
69,76.0,122,0.05391073795846222,0,0.0
70,77.0,125,0.053418803418803416,0,0.0
71,21.0,127,0.05379076662431173,0,0.0
72,95.0,128,0.05211726384364821,0,0.0
73,26.0,130,0.052377115229653506,0,0.0
74,25.0,132,0.05265257279617072,0,0.0
75,50.0,139,0.0543605788032851,0,0.0
76,29.0,145,0.056071152358855375,0,0.0
77,63.0,150,0.056625141562853906,0,0.0
78,50.0,150,0.05557613931085587,0,0.0
79,44.0,153,0.05577834487787094,0,0.0
80,63.0,155,0.05523877405559515,0,0.0
81,49.0,156,0.05464098073555167,0,0.0
82,39.0,158,0.05459571527297857,0,0.0
83,15.0,159,0.054657958061189414,0,0.0
84,19.0,161,0.054986338797814206,0,0.0
85,26.0,163,0.05517941773865945,0,0.0
86,37.0,171,0.05717151454363089,0,0.0
87,36.0,171,0.05649157581764123,0,0.0
88,18.0,172,0.05648604269293925,0,0.0
89,80.0,175,0.056,0,0.0
90,15.0,175,0.05573248407643312,0,0.0
91,125.0,175,0.05359877488514548,0,0.0
92,43.0,179,0.05411124546553809,0,0.0
93,48.0,182,0.054231227651966626,0,0.0
94,54.0,183,0.05366568914956012,0,0.0
95,45.0,189,0.05470332850940666,0,0.0
96,131.0,195,0.05437813720022309,0,0.0
97,41.0,199,0.05486628067273228,0,0.0
98,34.0,200,0.054629882545752524,0,0.0
99,60.0,202,0.054286482128460094,0,0.0
100,17.0,204,0.05457463884430177,0,0.0
101,83.0,207,0.05417429992148652,0,0.0
102,56.0,209,0.05390766056229043,0,0.0
103,75.0,209,0.052884615384615384,0,0.0
104,74.0,212,0.05265772478887233,0,0.0
105,21.0,213,0.05263157894736842,0,0.0
106,21.0,214,0.05260570304818092,0,0.0
107,91.0,217,0.05217600384707863,0,0.0
108,13.0,218,0.05225311601150527,0,0.0
109,16.0,220,0.05253104106972302,0,0.0
110,96.0,227,0.05298786181139122,0,0.0
