episode,reward,violations,violation_rate,modifications,modification_rate
1,-1000,36,0.036,0,0.0
2,-1000,36,0.018,0,0.0
3,-1000,36,0.012,0,0.0
4,-1000,83,0.02075,0,0.0
5,-1000,83,0.0166,0,0.0
6,-1000,83,0.013833333333333333,0,0.0
7,-417,129,0.020102851799906497,0,0.0
8,-1000,129,0.017392476742618308,0,0.0
9,-1000,374,0.04443388380658192,0,0.0
10,-1000,374,0.039715408304130825,0,0.0
11,-1000,444,0.04262263607564558,0,0.0
12,-1000,445,0.03897696417622843,0,0.0
13,-1000,445,0.03583796408150117,0,0.0
14,-1000,445,0.03316687784154431,0,0.0
15,-1000,446,0.03093570090864951,0,0.0
16,-1000,446,0.028929104235584095,0,0.0
17,-369,447,0.028316229570505513,0,0.0
18,-1000,698,0.0415822709400691,0,0.0
19,-1000,698,0.039244349488361634,0,0.0
20,-1000,698,0.03715532843606941,0,0.0
21,-1000,698,0.03527746891741636,0,0.0
22,-1000,698,0.03358029442894256,0,0.0
23,-1000,699,0.03208482511704765,0,0.0
24,-1000,699,0.03067673132625296,0,0.0
25,-1000,700,0.02942907592701589,0,0.0
26,-1000,701,0.028282094730896472,0,0.0
27,-1000,701,0.027185294345769023,0,0.0
28,-1000,702,0.026207720450981856,0,0.0
29,-1000,702,0.025264521701576333,0,0.0
30,-1000,702,0.024386854721044952,0,0.0
31,-1000,702,0.02356811925065467,0,0.0
32,-1000,702,0.022802572597934126,0,0.0
33,-1000,702,0.022085194739822563,0,0.0
34,-1000,702,0.02141157811260904,0,0.0
35,-1000,702,0.02077783697389451,0,0.0
36,-1000,702,0.020180532398091186,0,0.0
37,-1000,702,0.01961660984742637,0,0.0
38,-1000,703,0.019110531180340347,0,0.0
39,-1000,703,0.018604774255015086,0,0.0
40,-1000,703,0.01812509668437065,0,0.0
41,-1000,703,0.01766953199617956,0,0.0
42,-1000,703,0.017236306575785808,0,0.0
43,-1000,704,0.016847748049585987,0,0.0
