episode,reward,violations,violation_rate,modifications,modification_rate
1,-685,22,0.032116788321167884,22,0.032116788321167884
2,-107,29,0.036616161616161616,29,0.036616161616161616
3,-299,48,0.043996333638863426,48,0.043996333638863426
4,-341,59,0.04120111731843575,59,0.04120111731843575
5,-412,73,0.039587852494577004,73,0.039587852494577004
6,-181,83,0.04098765432098765,83,0.04098765432098765
7,-692,120,0.04416635995583364,120,0.04416635995583364
8,-633,159,0.04746268656716418,159,0.04746268656716418
9,-237,176,0.04906607192640089,176,0.04906607192640089
10,-277,185,0.04787784679089027,185,0.04787784679089027
11,-225,195,0.04768892149669846,195,0.04768892149669846
12,-275,210,0.04812098991750687,210,0.04812098991750687
13,-282,225,0.04842875591907017,225,0.04842875591907017
14,-342,239,0.04791499599037691,239,0.04791499599037691
15,-350,259,0.048520044960659425,259,0.048520044960659425
16,-411,279,0.04853017916159332,279,0.04853017916159332
17,-213,290,0.04864139550486414,290,0.04864139550486414
18,-219,307,0.04966833845656043,307,0.04966833845656043
19,-212,320,0.050054747379946814,320,0.050054747379946814
20,-290,336,0.05027682178662277,336,0.05027682178662277
21,-178,345,0.050284215128989944,345,0.050284215128989944
22,-400,370,0.05095716843409999,370,0.05095716843409999
23,-108,375,0.05088885873252816,375,0.05088885873252816
24,-106,383,0.051237458193979936,383,0.051237458193979936
25,-180,401,0.052384062704114956,401,0.052384062704114956
26,-115,407,0.05238095238095238,407,0.05238095238095238
27,-98,414,0.052618200305033044,414,0.052618200305033044
28,-76,417,0.052492447129909366,417,0.052492447129909366
29,-81,424,0.05283489096573209,424,0.05283489096573209
30,-94,432,0.05320852321714497,432,0.05320852321714497
31,-95,435,0.05295836376917458,435,0.05295836376917458
32,-268,451,0.053171421834473,451,0.053171421834473
33,-71,460,0.05378229860867532,460,0.05378229860867532
34,-337,473,0.05320584926884139,473,0.05320584926884139
35,-58,480,0.05364327223960662,480,0.05364327223960662
36,-118,490,0.05404809177145378,490,0.05404809177145378
37,-82,497,0.054328815041539136,497,0.054328815041539136
38,-150,510,0.05485050548505055,510,0.05485050548505055
39,-63,517,0.055229142185663924,517,0.055229142185663924
40,-85,528,0.05589667584162609,528,0.05589667584162609
41,-136,536,0.0559382174911292,536,0.0559382174911292
42,-162,551,0.05654761904761905,551,0.05654761904761905
43,-242,564,0.05647907069897857,564,0.05647907069897857
44,-152,573,0.05652002367330834,573,0.05652002367330834
45,-92,580,0.056695992179863146,580,0.056695992179863146
46,-59,590,0.05734279327437069,590,0.05734279327437069
47,-111,598,0.0575,598,0.0575
48,-57,602,0.0575690924739409,602,0.0575690924739409
49,-176,619,0.05821499106555064,619,0.05821499106555064
50,-103,625,0.058215350223546944,625,0.058215350223546944
51,-42,629,0.0583596214511041,629,0.0583596214511041
52,-63,632,0.058297205054884234,632,0.058297205054884234
53,-60,634,0.058159801853041,634,0.058159801853041
54,-106,637,0.05787226310529663,637,0.05787226310529663
55,-88,645,0.058134294727354666,645,0.058134294727354666
56,-80,651,0.05825503355704698,651,0.05825503355704698
57,-60,653,0.05812194036493102,653,0.05812194036493102
58,-85,661,0.058392226148409894,661,0.058392226148409894
59,-119,680,0.05944575574788006,680,0.05944575574788006
60,-52,683,0.05943782090331564,683,0.05943782090331564
61,-88,692,0.05976336471197858,692,0.05976336471197858
62,-47,695,0.05977980388783761,695,0.05977980388783761
63,-47,702,0.06013878180416345,702,0.06013878180416345
64,-139,726,0.061462919065357266,726,0.061462919065357266
65,-57,734,0.06184177268514618,734,0.06184177268514618
66,-62,743,0.06227474645880479,743,0.06227474645880479
67,-153,759,0.0628103277060576,759,0.0628103277060576
68,-47,761,0.06273184403594098,761,0.06273184403594098
69,-68,775,0.06352979752438724,775,0.06352979752438724
70,-148,797,0.06455009314003401,797,0.06455009314003401
71,-83,809,0.06508447304907482,809,0.06508447304907482
72,-39,814,0.06528189910979229,814,0.06528189910979229
73,-38,818,0.06540337411049812,818,0.06540337411049812
74,-61,826,0.06572246976448122,826,0.06572246976448122
75,-51,834,0.06609081543703939,834,0.06609081543703939
76,-43,839,0.06626125414626441,839,0.06626125414626441
77,-28,840,0.06619385342789598,840,0.06619385342789598
78,-54,845,0.06630571249215317,845,0.06630571249215317
79,-35,854,0.06682839032788168,854,0.06682839032788168
80,-46,860,0.06705653021442495,860,0.06705653021442495
81,-37,865,0.06725237132638781,865,0.06725237132638781
82,-42,872,0.0675759454432734,872,0.0675759454432734
83,-73,889,0.06850581798566695,889,0.06850581798566695
84,-48,892,0.06848368522072937,892,0.06848368522072937
85,-61,898,0.06862295583065872,898,0.06862295583065872
86,-53,903,0.0687266915290357,903,0.0687266915290357
87,-54,908,0.06882437656332904,908,0.06882437656332904
88,-46,912,0.06888737820077045,912,0.06888737820077045
89,-35,914,0.0688564110290794,914,0.0688564110290794
90,-63,925,0.06935592712004199,925,0.06935592712004199
91,-57,932,0.06958339555024638,932,0.06958339555024638
92,-39,938,0.06982803543512246,938,0.06982803543512246
93,-34,945,0.07017153040766318,945,0.07017153040766318
94,-77,957,0.07065859421145895,957,0.07065859421145895
95,-54,971,0.0714075599352846,971,0.0714075599352846
96,-71,985,0.07206086765674154,985,0.07206086765674154
97,-35,988,0.07209573847051956,988,0.07209573847051956
98,-38,993,0.07226022413040314,993,0.07226022413040314
99,-52,997,0.07227780194287371,997,0.07227780194287371
100,-39,1001,0.07236318947444517,1001,0.07236318947444517
101,-57,1009,0.07264218862491001,1009,0.07264218862491001
102,-48,1021,0.07325297747166021,1021,0.07325297747166021
103,-45,1025,0.07330329686047343,1025,0.07330329686047343
104,-56,1032,0.07350950922430373,1032,0.07350950922430373
105,-38,1038,0.07373730198195638,1038,0.07373730198195638
106,-39,1042,0.0738169453102862,1042,0.0738169453102862
107,-26,1044,0.07382265591854052,1044,0.07382265591854052
108,-53,1053,0.07418104966537513,1053,0.07418104966537513
109,-30,1058,0.07437609841827768,1058,0.07437609841827768
110,-44,1065,0.0746373256710351,1065,0.0746373256710351
111,-53,1076,0.07512917190336545,1076,0.07512917190336545
112,-36,1079,0.07514974230394206,1079,0.07514974230394206
113,-40,1084,0.07528823447701069,1084,0.07528823447701069
114,-41,1091,0.07555924925548861,1091,0.07555924925548861
115,-55,1097,0.07568649096177729,1097,0.07568649096177729
116,-42,1104,0.0759493670886076,1104,0.0759493670886076
117,-63,1112,0.07616960065757929,1112,0.07616960065757929
118,-51,1118,0.07631399317406143,1118,0.07631399317406143
119,-35,1125,0.07660878447395301,1125,0.07660878447395301
120,-42,1133,0.07693352346031099,1133,0.07693352346031099
121,-39,1140,0.07720438845997563,1140,0.07720438845997563
122,-43,1146,0.07738537375920049,1146,0.07738537375920049
123,-35,1150,0.07747237941255726,1150,0.07747237941255726
124,-25,1152,0.07747662922859641,1152,0.07747662922859641
125,-34,1160,0.07783667717909146,1160,0.07783667717909146
126,-48,1169,0.07818874991639355,1169,0.07818874991639355
127,-28,1174,0.0783763936177315,1174,0.0783763936177315
128,-40,1177,0.07836740129169718,1177,0.07836740129169718
129,-37,1182,0.07850690754516472,1182,0.07850690754516472
130,-35,1185,0.07852362335166656,1185,0.07852362335166656
131,-40,1192,0.07877866631418941,1192,0.07877866631418941
132,-43,1196,0.07881903255568735,1196,0.07881903255568735
133,-41,1205,0.0791981597108117,1205,0.0791981597108117
134,-47,1216,0.07967500982833181,1216,0.07967500982833181
135,-34,1220,0.07975941422594142,1220,0.07975941422594142
136,-57,1231,0.08017976942617078,1231,0.08017976942617078
137,-56,1242,0.08060224544097605,1242,0.08060224544097605
138,-29,1250,0.08096903744008291,1250,0.08096903744008291
139,-51,1262,0.08147717735166893,1262,0.08147717735166893
140,-37,1271,0.08186268195285328,1271,0.08186268195285328
141,-37,1278,0.08211784360341837,1278,0.08211784360341837
142,-41,1286,0.08241476544475776,1286,0.08241476544475776
143,-49,1297,0.08285951574777997,1297,0.08285951574777997
144,-31,1301,0.0829507778627901,1301,0.0829507778627901
145,-35,1306,0.0830841656593931,1306,0.0830841656593931
146,-34,1314,0.08341268329841935,1314,0.08341268329841935
147,-26,1318,0.0835287407313518,1318,0.0835287407313518
148,-45,1329,0.08398634984833164,1329,0.08398634984833164
149,-25,1334,0.08416934822386271,1334,0.08416934822386271
150,-33,1344,0.08462410275783906,1344,0.08462410275783906
151,-24,1349,0.08481076323399975,1349,0.08481076323399975
152,-50,1357,0.08504637753823013,1357,0.08504637753823013
153,-30,1362,0.08519954960590517,1362,0.08519954960590517
154,-39,1371,0.08555382215288612,1371,0.08555382215288612
155,-41,1379,0.08583343707207768,1379,0.08583343707207768
156,-65,1386,0.08592151757485587,1386,0.08592151757485587
157,-33,1389,0.08593170007423905,1389,0.08593170007423905
158,-46,1394,0.08599629858112276,1394,0.08599629858112276
159,-42,1400,0.08614324390844204,1400,0.08614324390844204
160,-29,1406,0.08635833179780111,1406,0.08635833179780111
161,-25,1409,0.08640991046240648,1409,0.08640991046240648
162,-24,1412,0.08646662584200858,1412,0.08646662584200858
163,-47,1421,0.08676802833241741,1421,0.08676802833241741
164,-33,1428,0.08702010968921389,1428,0.08702010968921389
165,-45,1433,0.08708599209966575,1433,0.08708599209966575
166,-27,1438,0.08724669336245601,1438,0.08724669336245601
167,-31,1442,0.08732513777024163,1442,0.08732513777024163
168,-42,1448,0.08746602234974328,1448,0.08746602234974328
169,-26,1449,0.08738918038719015,1449,0.08738918038719015
170,-23,1451,0.08738858106480366,1451,0.08738858106480366
171,-30,1454,0.08741132619935073,1454,0.08741132619935073
172,-27,1458,0.08750975331612748,1458,0.08750975331612748
173,-28,1464,0.08772245191443466,1464,0.08772245191443466
174,-22,1468,0.08784632876548382,1468,0.08784632876548382
175,-30,1472,0.08792784182545846,1472,0.08792784182545846
176,-27,1476,0.08802480916030535,1476,0.08802480916030535
177,-39,1482,0.08817754507050633,1482,0.08817754507050633
178,-27,1485,0.08821432814541999,1485,0.08821432814541999
179,-32,1495,0.08863986718842642,1495,0.08863986718842642
180,-30,1498,0.08866003787878787,1498,0.08866003787878787
181,-40,1505,0.08886395843174304,1505,0.08886395843174304
182,-25,1508,0.0889098520134426,1508,0.0889098520134426
183,-27,1512,0.0890040028255239,1512,0.0890040028255239
184,-28,1514,0.08897508227550541,1514,0.08897508227550541
185,-23,1517,0.08903104642291214,1517,0.08903104642291214
186,-34,1520,0.08902946172318867,1520,0.08902946172318867
187,-43,1534,0.08962374386538911,1534,0.08962374386538911
188,-36,1540,0.08978544776119403,1540,0.08978544776119403
189,-33,1546,0.08996217631655513,1546,0.08996217631655513
190,-33,1551,0.09008014868161227,1551,0.09008014868161227
191,-33,1554,0.09008173439220915,1554,0.09008173439220915
192,-33,1559,0.09019902800277714,1559,0.09019902800277714
193,-35,1568,0.0905364051042208,1568,0.0905364051042208
194,-28,1569,0.0904479160661786,1569,0.0904479160661786
195,-35,1575,0.09061097687262686,1575,0.09061097687262686
196,-24,1581,0.09083074801792486,1581,0.09083074801792486
197,-30,1586,0.09096122963982564,1586,0.09096122963982564
198,-38,1594,0.09122124298958452,1594,0.09122124298958452
199,-23,1597,0.0912727896210779,1597,0.0912727896210779
200,-43,1607,0.09161915621436716,1607,0.09161915621436716
201,-28,1612,0.09175774134790528,1612,0.09175774134790528
202,-26,1614,0.0917358190292145,1614,0.0917358190292145
203,-26,1616,0.09171396140749148,1616,0.09171396140749148
204,-24,1623,0.09198594423033325,1623,0.09198594423033325
205,-36,1628,0.09208144796380091,1628,0.09208144796380091
206,-33,1639,0.09253090950149608,1639,0.09253090950149608
207,-21,1643,0.09264689297394835,1643,0.09264689297394835
208,-30,1648,0.09277189822112136,1648,0.09277189822112136
209,-36,1652,0.09280898876404495,1652,0.09280898876404495
210,-42,1661,0.09309494451294698,1661,0.09309494451294698
211,-45,1668,0.09325208251802986,1668,0.09325208251802986
212,-23,1672,0.09335566722501396,1672,0.09335566722501396
213,-22,1673,0.09329689939772474,1673,0.09329689939772474
214,-27,1678,0.0934350464947937,1678,0.0934350464947937
215,-29,1682,0.09350678229931066,1682,0.09350678229931066
216,-41,1689,0.09368240057684842,1689,0.09368240057684842
217,-38,1697,0.09392815630707921,1697,0.09392815630707921
218,-23,1701,0.09402985074626866,1701,0.09402985074626866
219,-26,1704,0.09406049900640318,1704,0.09406049900640318
220,-40,1708,0.09407358448997577,1708,0.09407358448997577
221,-31,1712,0.0941331720459669,1712,0.0941331720459669
222,-30,1715,0.0941428336169512,1715,0.0941428336169512
223,-25,1720,0.09428790702773819,1720,0.09428790702773819
224,-23,1724,0.0943881741034766,1724,0.0943881741034766
225,-27,1731,0.09463153291056199,1731,0.09463153291056199
226,-27,1734,0.09465582182433539,1734,0.09465582182433539
227,-27,1737,0.09468003924561212,1737,0.09468003924561212
228,-35,1743,0.09482617920678962,1743,0.09482617920678962
229,-27,1748,0.0949587136027814,1748,0.0949587136027814
230,-22,1752,0.09506239826370048,1752,0.09506239826370048
231,-31,1757,0.09517360923026921,1757,0.09517360923026921
232,-22,1761,0.09527674078883298,1761,0.09527674078883298
233,-15,1764,0.09536166072007785,1764,0.09536166072007785
234,-23,1770,0.09556719399600454,1770,0.09556719399600454
235,-30,1775,0.0956821734677376,1775,0.0956821734677376
236,-26,1781,0.09587123862841147,1781,0.09587123862841147
237,-21,1787,0.0960856006022153,1787,0.0960856006022153
238,-25,1795,0.09638618912097943,1795,0.09638618912097943
239,-32,1803,0.096649691771643,1803,0.096649691771643
240,-21,1806,0.0967016491754123,1806,0.0967016491754123
241,-18,1815,0.09708997539317428,1815,0.09708997539317428
242,-27,1820,0.09721702900486086,1820,0.09721702900486086
243,-21,1823,0.097268167751574,1823,0.097268167751574
244,-23,1828,0.09741540101252331,1828,0.09741540101252331
245,-26,1836,0.09770634878399234,1836,0.09770634878399234
246,-28,1844,0.09798607789999468,1844,0.09798607789999468
247,-27,1848,0.09805794333014964,1848,0.09805794333014964
248,-30,1858,0.09843187115914388,1858,0.09843187115914388
249,-20,1861,0.09848645215918712,1861,0.09848645215918712
250,-31,1875,0.09906482802345855,1875,0.09906482802345855
251,-16,1880,0.09924510373224937,1880,0.09924510373224937
252,-22,1888,0.09955180595834431,1888,0.09955180595834431
253,-26,1893,0.09967879521878785,1893,0.09967879521878785
