episode,reward,violations,violation_rate,modifications,modification_rate
1,-72,2,0.027777777777777776,2,0.027777777777777776
2,-285,24,0.06722689075630252,24,0.06722689075630252
3,-597,54,0.05660377358490566,54,0.05660377358490566
4,-343,67,0.051657671549730146,67,0.051657671549730146
5,-155,76,0.05234159779614325,76,0.05234159779614325
6,-214,81,0.048619447779111646,81,0.048619447779111646
7,-174,94,0.051086956521739134,94,0.051086956521739134
8,-353,112,0.05107159142726858,112,0.05107159142726858
9,-87,118,0.05175438596491228,118,0.05175438596491228
10,-206,132,0.05309734513274336,132,0.05309734513274336
11,-149,135,0.051233396584440226,135,0.051233396584440226
12,-155,141,0.05053763440860215,141,0.05053763440860215
13,-52,145,0.05102040816326531,145,0.05102040816326531
14,-118,149,0.05033783783783784,149,0.05033783783783784
15,-53,151,0.0501161632923996,151,0.0501161632923996
16,-102,156,0.05008025682182986,156,0.05008025682182986
17,-35,158,0.05015873015873016,158,0.05015873015873016
18,-60,163,0.05077881619937695,163,0.05077881619937695
19,-100,168,0.05075528700906345,168,0.05075528700906345
20,-119,175,0.0510352872557597,175,0.0510352872557597
21,-115,185,0.05220090293453725,185,0.05220090293453725
22,-113,188,0.0514082581350834,188,0.0514082581350834
23,-63,193,0.051881720430107525,193,0.051881720430107525
24,-67,199,0.052548191180353844,199,0.052548191180353844
25,-186,209,0.05260508431915429,209,0.05260508431915429
26,-94,215,0.05286451930169658,215,0.05286451930169658
27,-94,225,0.05407354001441961,225,0.05407354001441961
28,-50,226,0.0536689622417478,226,0.0536689622417478
29,-32,226,0.05326419985859062,226,0.05326419985859062
30,-42,227,0.052975495915986,227,0.052975495915986
31,-41,227,0.052473416551086456,227,0.052473416551086456
32,-40,228,0.05222171323866239,228,0.05222171323866239
33,-29,229,0.05210466439135381,229,0.05210466439135381
34,-42,231,0.052062204192021636,231,0.052062204192021636
35,-35,232,0.0518783542039356,232,0.0518783542039356
36,-39,234,0.05187319884726225,234,0.05187319884726225
37,-94,235,0.051031487513572206,235,0.051031487513572206
38,-58,242,0.051897919794123955,242,0.051897919794123955
39,-43,242,0.051423714407139824,242,0.051423714407139824
40,-72,246,0.051485977396400165,246,0.051485977396400165
41,-46,248,0.05140961857379768,248,0.05140961857379768
42,-37,250,0.05142974696564493,250,0.05142974696564493
43,-90,256,0.05170672591395677,256,0.05170672591395677
44,-45,259,0.05184147317854283,259,0.05184147317854283
45,-57,261,0.051652483673065505,261,0.051652483673065505
46,-59,266,0.05203442879499218,266,0.05203442879499218
47,-65,268,0.051767432876183114,268,0.051767432876183114
48,-58,269,0.051384909264565425,269,0.051384909264565425
49,-43,273,0.05172413793103448,273,0.05172413793103448
50,-31,274,0.051610472782068186,274,0.051610472782068186
51,-30,277,0.051882374976587375,277,0.051882374976587375
52,-39,280,0.05206396429899591,280,0.05206396429899591
53,-48,284,0.052340582381127904,284,0.052340582381127904
54,-29,285,0.05224564619615032,285,0.05224564619615032
55,-50,288,0.05231607629427793,288,0.05231607629427793
56,-43,290,0.05227108868060562,290,0.05227108868060562
57,-52,296,0.05285714285714286,296,0.05285714285714286
58,-25,299,0.05315555555555555,299,0.05315555555555555
59,-33,302,0.053375751148815834,302,0.053375751148815834
60,-27,302,0.053122251539138084,302,0.053122251539138084
61,-53,306,0.05332868595329383,306,0.05332868595329383
62,-44,311,0.0537876167416119,311,0.0537876167416119
63,-49,312,0.05350711713256731,312,0.05350711713256731
64,-45,314,0.05343771272974813,314,0.05343771272974813
65,-45,318,0.053707144063502785,318,0.053707144063502785
66,-68,324,0.05409918183336116,324,0.05409918183336116
67,-56,328,0.05425971877584781,328,0.05425971877584781
68,-44,328,0.053867630152734436,328,0.053867630152734436
69,-60,331,0.05382989103919336,331,0.05382989103919336
70,-34,332,0.053695617014394306,332,0.053695617014394306
71,-36,334,0.05370638366296832,334,0.05370638366296832
72,-30,337,0.053928628580572895,337,0.053928628580572895
73,-26,338,0.053864541832669324,338,0.053864541832669324
74,-26,338,0.05364227900333281,338,0.05364227900333281
75,-43,339,0.05343631778058008,339,0.05343631778058008
76,-36,339,0.05313479623824451,339,0.05313479623824451
77,-32,340,0.053025577043044295,340,0.053025577043044295
78,-37,344,0.05334160334935649,344,0.05334160334935649
79,-37,346,0.05334566759173605,346,0.05334566759173605
80,-32,348,0.053390610616753605,348,0.053390610616753605
81,-42,351,0.05350609756097561,351,0.05350609756097561
82,-43,353,0.05346054823565046,353,0.05346054823565046
83,-21,354,0.05344202898550725,354,0.05344202898550725
84,-40,357,0.05357142857142857,357,0.05357142857142857
85,-28,357,0.053347280334728034,357,0.053347280334728034
86,-41,360,0.05346799346502302,360,0.05346799346502302
87,-54,363,0.05348460291734198,363,0.05348460291734198
88,-28,365,0.05355832721936904,365,0.05355832721936904
89,-27,368,0.05378544285296697,368,0.05378544285296697
90,-31,374,0.05441583005965372,374,0.05441583005965372
91,-30,376,0.05446907141822396,376,0.05446907141822396
92,-37,379,0.054610951008645534,379,0.054610951008645534
93,-35,380,0.05448028673835126,380,0.05448028673835126
94,-34,386,0.055072050221144246,386,0.055072050221144246
95,-29,386,0.05484512645637965,386,0.05484512645637965
96,-40,390,0.05510031082226618,390,0.05510031082226618
97,-31,392,0.05514137009424673,392,0.05514137009424673
98,-36,395,0.055283414975507345,395,0.055283414975507345
99,-29,396,0.055199330917201,396,0.055199330917201
100,-33,400,0.055501595670875536,400,0.055501595670875536
101,-19,401,0.055494049266537504,401,0.055494049266537504
102,-31,406,0.055945983188645444,406,0.055945983188645444
103,-32,410,0.05624914254355879,410,0.05624914254355879
104,-23,412,0.056345733041575495,412,0.056345733041575495
105,-31,415,0.05651641018657225,415,0.05651641018657225
106,-34,419,0.056798156432153996,419,0.056798156432153996
107,-37,422,0.05691934178581063,422,0.05691934178581063
