episode,reward,violations,violation_rate,modifications,modification_rate
1,-2683,17,0.017,0,0.0
2,-1000,17,0.0085,0,0.0
3,-593,17,0.006556112610875434,0,0.0
4,-359,18,0.006309148264984227,0,0.0
5,-195,19,0.006442861987114276,0,0.0
6,-251,21,0.0069953364423717525,0,0.0
7,-154,22,0.007196597971867844,0,0.0
8,-40,22,0.007103648692282854,0,0.0
9,-68,22,0.0069510268562401265,0,0.0
10,-149,23,0.007153965785381027,0,0.0
11,-53,23,0.007037943696450428,0,0.0
12,-160,24,0.00720937218383899,0,0.0
13,-40,24,0.007123775601068566,0,0.0
14,-35,24,0.007050528789659225,0,0.0
15,-925,33,0.009598603839441536,0,0.0
16,-427,37,0.010665897953300663,0,0.0
17,-130,38,0.010857142857142857,0,0.0
18,-324,41,0.011624610150269351,0,0.0
19,-1158,52,0.014460511679644048,0,0.0
20,-136,53,0.014588494357280485,0,0.0
21,-248,55,0.014933478142818354,0,0.0
22,-34,55,0.014796879203658865,0,0.0
23,-361,58,0.015339857180640043,0,0.0
24,-194,59,0.0152218782249742,0,0.0
25,-37,59,0.01507794531050345,0,0.0
26,-159,60,0.015101938082053864,0,0.0
27,-34,60,0.014973795857249813,0,0.0
28,-63,60,0.014742014742014743,0,0.0
29,-199,61,0.014628297362110312,0,0.0
30,-71,61,0.014383400141476066,0,0.0
31,-41,61,0.014245679588977114,0,0.0
32,-72,61,0.014010105649977032,0,0.0
33,-56,61,0.013832199546485261,0,0.0
34,-47,61,0.013686336100516042,0,0.0
35,-39,61,0.013567615658362989,0,0.0
36,-34,61,0.013465783664459162,0,0.0
37,-207,62,0.013367830961621389,0,0.0
38,-34,62,0.013270547945205479,0,0.0
39,-48,62,0.013135593220338982,0,0.0
40,-37,62,0.013033424427159974,0,0.0
41,-26,62,0.012962575789253606,0,0.0
42,-39,62,0.012857735379510576,0,0.0
43,-22,62,0.012799339388934764,0,0.0
44,-40,62,0.012694512694512694,0,0.0
45,-24,62,0.01263243683781581,0,0.0
46,-33,62,0.012548067192875935,0,0.0
47,-160,63,0.012594962015193922,0,0.0
48,-33,63,0.012512413108242304,0,0.0
49,-34,63,0.012428486881041626,0,0.0
50,-25,63,0.012367491166077738,0,0.0
51,-24,63,0.0123094958968347,0,0.0
52,-53,63,0.01218333011023013,0,0.0
53,-32,63,0.01210839900057659,0,0.0
54,-27,63,0.012045889101338431,0,0.0
55,-24,63,0.01199086410354016,0,0.0
56,-20,63,0.011945392491467578,0,0.0
57,-25,63,0.011889035667107,0,0.0
58,-21,63,0.011842105263157895,0,0.0
59,-17,63,0.011804384485666104,0,0.0
60,-18,63,0.011764705882352941,0,0.0
61,-25,63,0.01171003717472119,0,0.0
62,-23,63,0.011660188784008884,0,0.0
63,-24,63,0.011608623548922056,0,0.0
64,-21,63,0.011563876651982379,0,0.0
65,-20,63,0.011521580102414046,0,0.0
66,-28,63,0.01146288209606987,0,0.0
67,-20,63,0.011421319796954314,0,0.0
68,-17,63,0.01138622808602928,0,0.0
69,-19,63,0.011347262247838616,0,0.0
70,-18,63,0.011310592459605027,0,0.0
71,-19,63,0.011272141706924315,0,0.0
72,-17,63,0.011237959329290047,0,0.0
73,-18,63,0.01120199146514936,0,0.0
74,-19,63,0.011164274322169059,0,0.0
75,-17,63,0.011130742049469965,0,0.0
76,-17,63,0.011097410604192354,0,0.0
77,-17,63,0.011064278187565859,0,0.0
78,-18,63,0.011029411764705883,0,0.0
79,-17,63,0.010996683539884797,0,0.0
80,-17,63,0.010964148973198747,0,0.0
