avg_reward,std_reward,max_reward,min_reward,avg_shield_mod_rate,avg_violations_per_step,avg_violations_per_episode,avg_modifications_per_episode,total_violations,total_modifications,total_steps,train_episodes,best_avg_reward,final_reward,seed,method,env
74.47,42.70912197645838,225.0,13.0,0.0,0.0064455485430374646,0.48,0.0,48,0,7447,280,264.52,34.0,42,cppo,CartPole-v1
59.51,48.44801234312921,371.0,19.0,0.0,0.0016803898504453034,0.1,0.0,10,0,5951,500,191.16,43.0,123,cppo,CartPole-v1
289.94,78.55887219149726,500.0,169.0,0.0,0.01838311374767193,5.33,0.0,533,0,28994,360,217.68,174.0,456,cppo,CartPole-v1
147.28,22.495812943745776,206.0,74.0,0.0,0.03972026072786529,5.85,0.0,585,0,14728,400,204.72,161.0,789,cppo,CartPole-v1
373.15,104.96012338026286,500.0,44.0,0.0,0.0029478761892000535,1.1,0.0,110,0,37315,370,222.6,498.0,1011,cppo,CartPole-v1
28.96,19.786823898746356,99.0,9.0,0.08667127071823204,0.08667127071823204,2.51,2.51,251,251,2896,500,40.8,9.0,42,ppo_postshield_hard,CartPole-v1
33.99,26.456566292699435,138.0,9.0,0.08149455722271257,0.08149455722271257,2.77,2.77,277,277,3399,500,46.52,14.0,123,ppo_postshield_hard,CartPole-v1
30.57,21.293780782190844,118.0,9.0,0.07883545960091592,0.07883545960091592,2.41,2.41,241,241,3057,500,46.56,17.0,456,ppo_postshield_hard,CartPole-v1
34.43,29.225760896852623,133.0,8.0,0.08655242521057217,0.08655242521057217,2.98,2.98,298,298,3443,500,44.2,11.0,789,ppo_postshield_hard,CartPole-v1
22.89,13.475084415320001,82.0,8.0,0.07951070336391437,0.07951070336391437,1.82,1.82,182,182,2289,500,37.16,17.0,1011,ppo_postshield_hard,CartPole-v1
28.56,17.253590930586014,75.0,9.0,0.059873949579831935,0.07773109243697479,2.22,1.71,222,171,2856,500,32.0,13.0,42,ppo_postshield_soft,CartPole-v1
29.49,18.190379325346683,81.0,8.0,0.06680230586639539,0.07833163784333673,2.31,1.97,231,197,2949,500,38.68,30.0,123,ppo_postshield_soft,CartPole-v1
29.63,21.861681088150565,129.0,8.0,0.06817414782315222,0.08538643266959163,2.53,2.02,253,202,2963,500,38.64,24.0,456,ppo_postshield_soft,CartPole-v1
29.1,19.37446773462435,93.0,9.0,0.06804123711340206,0.0879725085910653,2.56,1.98,256,198,2910,500,33.4,28.0,789,ppo_postshield_soft,CartPole-v1
31.19,21.393314376225113,114.0,8.0,0.06155819172811799,0.07502404616864379,2.34,1.92,234,192,3119,500,37.16,13.0,1011,ppo_postshield_soft,CartPole-v1
230.53,57.127831220868174,386.0,70.0,0.01062768403244697,0.01062768403244697,2.45,2.45,245,245,23053,230,215.64,323.0,42,ppo_preshield_hard,CartPole-v1
120.94,30.752827512279254,159.0,16.0,0.042086985281958,0.042086985281958,5.09,5.09,509,509,12094,500,182.64,18.0,123,ppo_preshield_hard,CartPole-v1
326.91,141.1101055913431,500.0,58.0,0.02413508305038084,0.02413508305038084,7.89,7.89,789,789,32691,130,221.92,183.0,456,ppo_preshield_hard,CartPole-v1
182.2,49.30030425869601,448.0,125.0,0.032052689352360046,0.032052689352360046,5.84,5.84,584,584,18220,500,153.48,135.0,789,ppo_preshield_hard,CartPole-v1
475.89,86.69289417247526,500.0,17.0,0.0162222362310618,0.0162222362310618,7.72,7.72,772,772,47589,170,253.36,160.0,1011,ppo_preshield_hard,CartPole-v1
307.03,106.85658192175156,500.0,29.0,0.009445331075139236,0.011301827183011433,3.47,2.9,347,290,30703,130,239.8,294.0,42,ppo_preshield_soft,CartPole-v1
278.16,90.11522845779176,500.0,49.0,0.008771929824561403,0.010245901639344262,2.85,2.44,285,244,27816,210,241.44,481.0,123,ppo_preshield_soft,CartPole-v1
242.09,99.74187636093478,500.0,35.0,0.008054855632202899,0.010244124086083687,2.48,1.95,248,195,24209,160,232.84,286.0,456,ppo_preshield_soft,CartPole-v1
242.23,114.40147332967351,500.0,19.0,0.013128018825083599,0.01523345580646493,3.69,3.18,369,318,24223,140,253.4,236.0,789,ppo_preshield_soft,CartPole-v1
258.08,95.67964046755192,500.0,12.0,0.009299442033477991,0.011120582765034097,2.87,2.4,287,240,25808,180,210.88,175.0,1011,ppo_preshield_soft,CartPole-v1
129.18,15.17786546257411,155.0,15.0,0.050007741136398824,0.050007741136398824,6.46,6.46,646,646,12918,500,172.52,163.0,42,ppo_layer_hard,CartPole-v1
500.0,0.0,500.0,500.0,6e-05,6e-05,0.03,0.03,3,3,50000,150,235.12,500.0,123,ppo_layer_hard,CartPole-v1
361.83,114.88298873201374,500.0,128.0,0.01937373904872454,0.01937373904872454,7.01,7.01,701,701,36183,130,204.64,500.0,456,ppo_layer_hard,CartPole-v1
125.4,12.244182292011173,180.0,103.0,0.16108452950558214,0.16108452950558214,20.2,20.2,2020,2020,12540,70,228.16,142.0,789,ppo_layer_hard,CartPole-v1
208.49,14.281803107451104,245.0,175.0,0.0009113146913521033,0.0009113146913521033,0.19,0.19,19,19,20849,50,209.24,413.0,1011,ppo_layer_hard,CartPole-v1
190.43,95.8258060232211,432.0,11.0,0.005566349839836161,0.006931680932626162,1.32,1.06,132,106,19043,120,204.4,218.0,42,ppo_layer_soft,CartPole-v1
269.11,72.79737563951052,441.0,112.0,0.006168481290178737,0.0073947456430455945,1.99,1.66,199,166,26911,120,209.72,221.0,123,ppo_layer_soft,CartPole-v1
444.31,90.27277496565617,500.0,48.0,0.004006211879093426,0.005064031869640566,2.25,1.78,225,178,44431,150,202.68,213.0,456,ppo_layer_soft,CartPole-v1
250.71,126.78866629158934,500.0,58.0,0.008376211559171952,0.01017111403613737,2.55,2.1,255,210,25071,140,216.36,349.0,789,ppo_layer_soft,CartPole-v1
139.1,50.10938035936984,256.0,24.0,0.026096333572969088,0.031703810208483105,4.41,3.63,441,363,13910,90,200.72,151.0,1011,ppo_layer_soft,CartPole-v1
163.08,44.57593072500001,385.0,64.0,0.0,0.017230806965906304,2.81,0.0,281,0,16308,500,183.6,146.0,42,ppo_semantic_loss,CartPole-v1
255.78,70.13965782636811,500.0,63.0,0.0,0.011181484087888029,2.86,0.0,286,0,25578,220,219.92,325.0,123,ppo_semantic_loss,CartPole-v1
235.77,110.38078229474552,500.0,71.0,0.0,0.04063282012130466,9.58,0.0,958,0,23577,210,229.08,500.0,456,ppo_semantic_loss,CartPole-v1
141.9,67.00395510714274,455.0,41.0,0.0,0.022973925299506696,3.26,0.0,326,0,14190,350,215.36,220.0,789,ppo_semantic_loss,CartPole-v1
98.07,43.93273380976876,218.0,16.0,0.0,0.03803405730600591,3.73,0.0,373,0,9807,500,132.56,154.0,1011,ppo_semantic_loss,CartPole-v1
218.5,25.727222936026344,297.0,175.0,0.0,4.576659038901602e-05,0.01,0.0,1,0,21850,220,241.12,477.0,42,ppo_reward_shaping,CartPole-v1
128.77,34.83155322405247,258.0,27.0,0.0,0.022986720509435427,2.96,0.0,296,0,12877,180,215.88,122.0,123,ppo_reward_shaping,CartPole-v1
270.41,98.3363711960127,500.0,34.0,0.0,0.01593875966125513,4.31,0.0,431,0,27041,200,202.88,215.0,456,ppo_reward_shaping,CartPole-v1
261.52,59.433909513004444,437.0,72.0,0.0,0.012580299785867237,3.29,0.0,329,0,26152,120,216.72,326.0,789,ppo_reward_shaping,CartPole-v1
222.15,47.23417724487217,328.0,38.0,0.0,0.018681071348188163,4.15,0.0,415,0,22215,110,252.12,254.0,1011,ppo_reward_shaping,CartPole-v1
