episode,reward,violations,violation_rate,modifications,modification_rate
1,80.0,65,0.11073253833049404,0,0.0
2,380.0,127,0.071791972866026,0,0.0
3,120.0,187,0.08018867924528301,0,0.0
4,80.0,244,0.08631057658295012,0,0.0
5,160.0,302,0.08693149107656879,0,0.0
6,180.0,366,0.08802308802308802,0,0.0
7,40.0,423,0.09219703574542285,0,0.0
8,180.0,487,0.09068901303538175,0,0.0
9,60.0,551,0.09622773314704855,0,0.0
10,80.0,620,0.09880478087649402,0,0.0
11,120.0,678,0.0974277913493318,0,0.0
12,120.0,729,0.09765572672471534,0,0.0
13,300.0,906,0.10720624778132766,0,0.0
14,300.0,968,0.10341880341880341,0,0.0
15,100.0,1031,0.10491503001933448,0,0.0
16,80.0,1091,0.10551257253384913,0,0.0
17,20.0,1151,0.10787253983130272,0,0.0
18,100.0,1214,0.10843158270811004,0,0.0
19,80.0,1277,0.10869010128521576,0,0.0
20,180.0,1342,0.1073943661971831,0,0.0
21,120.0,1404,0.10715921233399481,0,0.0
22,20.0,1452,0.10738056500517675,0,0.0
23,120.0,1516,0.10780827762764898,0,0.0
24,40.0,1581,0.10874200426439233,0,0.0
25,180.0,1645,0.10754445606694561,0,0.0
26,40.0,1706,0.10824873096446701,0,0.0
27,20.0,1765,0.10973638398408356,0,0.0
28,60.0,1815,0.10895665746188017,0,0.0
29,80.0,1870,0.10889820638248311,0,0.0
30,80.0,1936,0.10998750142029315,0,0.0
31,100.0,1987,0.1099004424778761,0,0.0
32,20.0,2049,0.11070888264534255,0,0.0
33,60.0,2106,0.11020408163265306,0,0.0
34,80.0,2163,0.11044730392156862,0,0.0
35,200.0,2227,0.10974768381628228,0,0.0
36,100.0,2287,0.10975141568288703,0,0.0
37,20.0,2353,0.11101674923330974,0,0.0
38,100.0,2420,0.11190751445086705,0,0.0
39,200.0,2488,0.11103672959343062,0,0.0
40,160.0,2556,0.11081245122691408,0,0.0
41,20.0,2622,0.11187438665358194,0,0.0
42,100.0,2689,0.11185989433836682,0,0.0
43,380.0,2885,0.11437066402378593,0,0.0
44,180.0,2954,0.11426140099794994,0,0.0
45,60.0,3016,0.11483399329881207,0,0.0
46,160.0,3080,0.11452794407466627,0,0.0
47,160.0,3158,0.11490739730014918,0,0.0
48,80.0,3224,0.11479846175758439,0,0.0
49,320.0,3321,0.11388888888888889,0,0.0
50,200.0,3386,0.11311174210790045,0,0.0
51,100.0,3439,0.1129169950091936,0,0.0
52,100.0,3494,0.1127970041322314,0,0.0
53,200.0,3559,0.11231026539177633,0,0.0
54,0.0,3619,0.11285041628987495,0,0.0
55,60.0,3684,0.11326323556539383,0,0.0
56,60.0,3739,0.11295048787118993,0,0.0
57,100.0,3797,0.11325200584603454,0,0.0
58,100.0,3863,0.11338420898150865,0,0.0
59,320.0,3924,0.11224256292906179,0,0.0
60,360.0,4102,0.11283179755191858,0,0.0
61,480.0,4249,0.1123331130204891,0,0.0
62,540.0,4562,0.11583678236802682,0,0.0
63,260.0,4725,0.11702206701835204,0,0.0
64,360.0,4845,0.11641597385746552,0,0.0
65,180.0,4912,0.11613391337242292,0,0.0
66,340.0,5100,0.11730340179865216,0,0.0
67,60.0,5142,0.11713250871318254,0,0.0
68,400.0,5221,0.11549351855948325,0,0.0
69,160.0,5262,0.11454818555848227,0,0.0
70,180.0,5310,0.11387030365414308,0,0.0
71,400.0,5406,0.11300167224080268,0,0.0
72,200.0,5470,0.1125236567102773,0,0.0
73,460.0,5659,0.11302176952266826,0,0.0
74,220.0,5723,0.11288191088581628,0,0.0
75,160.0,5776,0.11252240317930336,0,0.0
76,240.0,5894,0.11297031031376382,0,0.0
77,120.0,5944,0.11271451597610695,0,0.0
78,160.0,5989,0.11196694647497617,0,0.0
79,80.0,6015,0.11137857605777243,0,0.0
80,340.0,6173,0.11227719170607493,0,0.0
