episode,reward,violations,violation_rate,modifications,modification_rate
1,120.0,59,0.06965761511216056,59,0.06965761511216056
2,80.0,130,0.10038610038610038,130,0.10038610038610038
3,240.0,196,0.09395973154362416,196,0.09395973154362416
4,120.0,265,0.10204081632653061,265,0.10204081632653061
5,220.0,340,0.10407101316192226,340,0.10407101316192226
6,180.0,417,0.1042239440139965,417,0.1042239440139965
7,200.0,496,0.10526315789473684,496,0.10526315789473684
8,160.0,563,0.1063869992441421,563,0.1063869992441421
9,300.0,638,0.10040919106074914,638,0.10040919106074914
10,120.0,724,0.10526315789473684,724,0.10526315789473684
11,180.0,808,0.10634377467754673,808,0.10634377467754673
12,240.0,890,0.10620525059665871,890,0.10620525059665871
13,200.0,967,0.1065564738292011,967,0.1065564738292011
14,220.0,1075,0.10930350788002034,1075,0.10930350788002034
15,260.0,1151,0.10831921701486918,1151,0.10831921701486918
16,240.0,1227,0.10838265170921296,1227,0.10838265170921296
17,260.0,1302,0.10679133858267717,1302,0.10679133858267717
18,300.0,1368,0.1037542662116041,1368,0.1037542662116041
19,120.0,1447,0.10512932287125835,1447,0.10512932287125835
20,220.0,1526,0.10556900726392252,1526,0.10556900726392252
21,420.0,1615,0.10333354661206731,1615,0.10333354661206731
22,200.0,1686,0.10351178781925344,1686,0.10351178781925344
23,580.0,1806,0.10236934587915203,1806,0.10236934587915203
24,200.0,1883,0.10259344012204424,1883,0.10259344012204424
25,860.0,2034,0.10094292803970223,2034,0.10094292803970223
26,260.0,2136,0.10174820178154623,2136,0.10174820178154623
27,180.0,2213,0.10195337694646642,2213,0.10195337694646642
28,300.0,2285,0.10099893917963225,2285,0.10099893917963225
29,260.0,2349,0.10025608194622279,2349,0.10025608194622279
30,220.0,2417,0.10018652849740933,2417,0.10018652849740933
