episode,reward,violations,violation_rate,modifications,modification_rate
1,180.0,70,0.07709251101321586,67,0.07378854625550661
2,140.0,145,0.0981719702098849,141,0.0954637779282329
3,220.0,210,0.0911854103343465,201,0.08727746417716023
4,260.0,334,0.10388802488335926,322,0.10015552099533437
5,140.0,398,0.10353798126951093,385,0.10015608740894902
6,20.0,461,0.10821596244131455,447,0.10492957746478873
7,40.0,526,0.11196253724989357,511,0.10876968922945934
8,80.0,586,0.11138566812393082,567,0.1077741874168409
9,60.0,659,0.11466852270749957,636,0.11066643466156255
10,200.0,729,0.11075660893345488,702,0.10665451230628988
11,60.0,792,0.1119751166407465,763,0.10787501767284038
12,60.0,838,0.11013273754764095,807,0.10605861479826521
13,0.0,883,0.11031984007996001,850,0.10619690154922538
14,0.0,925,0.11096449136276391,890,0.10676583493282149
15,0.0,975,0.11224959705272852,936,0.10775961317061938
16,0.0,1008,0.11239964317573595,967,0.10782783229259589
17,0.0,1038,0.1112420962383453,997,0.10684814060658021
18,40.0,1072,0.10747944656105875,1029,0.10316823741728494
19,80.0,1108,0.10436093058302721,1062,0.10002825656965245
20,20.0,1158,0.10487230574171345,1110,0.10052526716174606
21,0.0,1205,0.10542432195975503,1154,0.10096237970253719
22,0.0,1240,0.1048359824146094,1188,0.1004396347649645
23,20.0,1277,0.1032336297493937,1224,0.09894907033144705
24,20.0,1318,0.10352682428717304,1262,0.09912811248134475
25,40.0,1360,0.10375343301800427,1299,0.09909978638999084
26,80.0,1398,0.1023725834797891,1333,0.09761277094317516
27,0.0,1445,0.1035768045301412,1377,0.09870260196401692
28,40.0,1487,0.10317074862970929,1418,0.09838340387150489
29,60.0,1531,0.10296590221265721,1461,0.09825812092272514
30,20.0,1577,0.10362047440699126,1505,0.09888954596228398
31,60.0,1614,0.10345490673674765,1539,0.09864752259470547
32,0.0,1658,0.10239624505928854,1580,0.09757905138339922
33,0.0,1687,0.10054234459741343,1607,0.09577448000476786
34,0.0,1708,0.09691879929637405,1628,0.09237927708108722
35,0.0,1725,0.09015836512831234,1645,0.08597710761511525
36,0.0,1745,0.08822042467138523,1665,0.08417593528816987
37,0.0,1775,0.08546391256199143,1694,0.08156386922817661
38,0.0,1793,0.08319413511507052,1710,0.07934298440979956
39,0.0,1812,0.07715563125399191,1728,0.07357888013625719
40,0.0,1833,0.0747583506668298,1749,0.07133243606998654
41,20.0,1861,0.07201454995743363,1775,0.06868663416144262
42,0.0,1893,0.0713935508202904,1806,0.06811238921365265
43,0.0,1929,0.07111782922872732,1839,0.0677997345524259
44,20.0,1956,0.06967052537845057,1866,0.06646482635796973
45,0.0,1991,0.06934141329711281,1899,0.06613728972939087
46,40.0,2026,0.06955029179539993,1931,0.06628904909028493
47,40.0,2062,0.06928065047206262,1965,0.06602157040620905
48,20.0,2093,0.06938274879002851,1994,0.06610090830736591
49,20.0,2137,0.06962953308787592,2036,0.06633866605845362
50,0.0,2178,0.07030115231916335,2075,0.06697653400471257
51,40.0,2223,0.07090456749170707,2119,0.06758739474355703
52,40.0,2268,0.07131178468117218,2159,0.06788454282480191
53,20.0,2313,0.07196415792912479,2197,0.0683550605146075
54,60.0,2358,0.07210568160968749,2238,0.06843618127331662
55,80.0,2402,0.07245633615878858,2276,0.0686555458357214
56,120.0,2448,0.07263232850700213,2315,0.0686862093520057
57,60.0,2490,0.07290934645115953,2348,0.06875146404310142
58,60.0,2528,0.07311641359363702,2382,0.0688937093275488
59,20.0,2566,0.07340656825723767,2419,0.06920128161116833
60,60.0,2606,0.07332376691708169,2458,0.06915956219577389
61,20.0,2632,0.07334745290380114,2480,0.06911158176346004
62,60.0,2674,0.07343732835329013,2520,0.06920795342194881
63,0.0,2725,0.07423652164437301,2567,0.0699321655270112
64,100.0,2768,0.07410778827876094,2606,0.06977055500522074
65,60.0,2823,0.07446584014771827,2660,0.07016618306515432
66,0.0,2880,0.07535913336996625,2715,0.07104168302064526
67,40.0,2925,0.07566155358390025,2758,0.07134173155022117
68,140.0,2971,0.07553261809121879,2801,0.07121065744648396
69,40.0,3023,0.07611925265649393,2850,0.07176310620939719
70,40.0,3065,0.07643963388782203,2887,0.07200039903234656
71,40.0,3105,0.07675004943642476,2922,0.07222661657108957
72,20.0,3144,0.07687417477627267,2959,0.07235072619688004
73,140.0,3186,0.07671378006790108,2999,0.07221111940478198
74,0.0,3235,0.07729988052568698,3043,0.0727120669056153
75,60.0,3278,0.07707681817113028,3078,0.07237414470126267
76,60.0,3318,0.07711257785627963,3115,0.07239471971739332
77,40.0,3363,0.0774652753783429,3156,0.07269711837468039
78,80.0,3406,0.07744077122459188,3196,0.07266609067345732
79,60.0,3447,0.07757573029661971,3232,0.07273709321690597
80,60.0,3489,0.07775450169370654,3274,0.07296309502585131
81,60.0,3533,0.07800150130260079,3314,0.07316642380889302
82,40.0,3579,0.07838370565045992,3356,0.07349978098992553
83,60.0,3616,0.07829042804252279,3390,0.07339727628986512
84,20.0,3649,0.0784124118961664,3419,0.07347000171909919
85,80.0,3681,0.07816116360547828,3450,0.07325618430831299
86,20.0,3725,0.07843591417321176,3493,0.07355077804215536
87,0.0,3758,0.07862911662551784,3523,0.07371218144536971
88,0.0,3794,0.0788560264377611,3557,0.073930122835824
89,40.0,3826,0.07889147782337051,3587,0.07396333793842919
90,60.0,3873,0.07913771965672252,3631,0.07419288925214548
91,40.0,3903,0.07910577839032003,3657,0.07411986461014614
92,80.0,3936,0.07904725563834274,3688,0.07406663587251221
93,20.0,3972,0.07918502422200514,3722,0.07420107254640058
94,20.0,4010,0.07933367625529221,3757,0.07432833458631741
95,120.0,4036,0.0788835900242358,3782,0.07391916191071847
96,20.0,4073,0.07900913658318946,3819,0.07408197707124983
97,40.0,4121,0.07921953094963476,3860,0.07420222991157248
98,80.0,4170,0.07929716469849962,3905,0.07425789643828322
99,140.0,4222,0.07921497992419978,3951,0.07413036136440392
100,20.0,4269,0.0795505366726297,3993,0.07440742397137746
101,100.0,4322,0.07975052588847474,4039,0.07452854559545337
102,260.0,4389,0.07980725520501863,4100,0.07455223202109283
103,60.0,4446,0.08024691358024691,4155,0.07499458522850336
104,40.0,4493,0.08057458484272444,4198,0.07528424375022416
105,40.0,4531,0.0807420211344156,4232,0.07541386745549478
106,60.0,4580,0.08078598768807436,4276,0.07542377365812358
107,0.0,4619,0.08101376830658599,4313,0.07564675962466018
108,100.0,4660,0.08090137324004791,4351,0.075536883040225
109,80.0,4700,0.08061473019793489,4389,0.07528043634866728
110,20.0,4736,0.08074332963941692,4423,0.07540704117296053
111,120.0,4785,0.08086185044359949,4469,0.07552175749894381
112,120.0,4827,0.0809559748427673,4508,0.07560587002096436
113,320.0,4876,0.08052582903950324,4557,0.07525762980578676
114,340.0,4933,0.08024922321094499,4609,0.07497844512046331
115,220.0,4989,0.08010725926877439,4660,0.07482457971386824
116,100.0,5050,0.08038329300904114,4716,0.0750668534318095
117,360.0,5156,0.08051720906989818,4807,0.07506714972827784
118,160.0,5215,0.08066511987625677,4857,0.07512761020881671
119,80.0,5265,0.08086812275366326,4903,0.07530795932786533
120,180.0,5314,0.080837275811187,4946,0.07523921079452972
121,160.0,5370,0.08097104945717733,4998,0.07536188178528347
122,80.0,5416,0.08114222362053725,5042,0.07553897553448095
123,40.0,5467,0.08145598664997913,5086,0.07577924786936051
124,160.0,5510,0.08129721435316337,5126,0.07563149197355996
125,80.0,5551,0.08120008191685439,5164,0.075539042157924
126,20.0,5595,0.08138773728998473,5204,0.07570005091279365
127,60.0,5635,0.08137184115523466,5239,0.07565342960288808
128,300.0,5708,0.08130938305722141,5305,0.07556872409224939
129,20.0,5756,0.08160834798389384,5349,0.07583791754097431
130,200.0,5805,0.0813389754511826,5392,0.07555206815379442
131,80.0,5849,0.08138644997008362,5432,0.07558406500897491
132,120.0,5891,0.08124620731505489,5473,0.07548132619848845
133,140.0,5949,0.08139168981133107,5524,0.0755770204265915
134,120.0,6012,0.08153965089311145,5579,0.07566695148580652
135,60.0,6067,0.08183166981386567,5624,0.07585648772592393
136,40.0,6110,0.08177304300111082,5662,0.07577724541281335
137,20.0,6157,0.08200149166267114,5706,0.07599488572798466
138,120.0,6200,0.08198997606421667,5743,0.07594652137690264
139,20.0,6243,0.08211880458802484,5785,0.07609439124487004
140,60.0,6276,0.08200598450301184,5815,0.07598228168977277
141,40.0,6318,0.0819529658983306,5854,0.07593426121697171
142,60.0,6353,0.0818358645386508,5886,0.0758202264559261
143,20.0,6388,0.08193525216766713,5918,0.07590682879277616
144,0.0,6427,0.08211634533072687,5952,0.07604737628885737
145,60.0,6467,0.08206956941077932,5990,0.07601619309889719
146,60.0,6508,0.08214475046070735,6028,0.07608613334006513
147,80.0,6550,0.08217081493376154,6068,0.07612404656764352
148,220.0,6598,0.08201163426639486,6114,0.07599562472033014
149,320.0,6666,0.08179542554235791,6178,0.0758074015902621
150,100.0,6723,0.0820038056206089,6231,0.07600263466042155
151,180.0,6769,0.0818381855111713,6275,0.07586565431859947
152,60.0,6822,0.08208596043702171,6323,0.07608172498435771
153,60.0,6890,0.0825001496737113,6383,0.07642938394300425
154,140.0,6939,0.0824226730650449,6429,0.0763648025846914
155,80.0,6996,0.08271263389373626,6480,0.07661204511598213
156,40.0,7030,0.08276138116148476,6510,0.07663962892763382
157,120.0,7068,0.08279351989598098,6547,0.07669060197495578
158,40.0,7121,0.08307376427629813,6595,0.07693743510773574
159,60.0,7158,0.08308378020753535,6629,0.07694361260069178
160,180.0,7201,0.08291306850892344,6668,0.07677605066206103
161,40.0,7245,0.08303820101089984,6710,0.07690632557393208
162,40.0,7286,0.0831744654619345,6746,0.07701001152981199
163,160.0,7321,0.08305915454607338,6778,0.07689864082957047
164,60.0,7360,0.08308873334838564,6817,0.07695868141792729
165,140.0,7409,0.08319671210726076,6864,0.07707682978866755
166,60.0,7452,0.08318171163226808,6905,0.07707591503231495
167,60.0,7495,0.08327592720161774,6944,0.07715384102575498
168,80.0,7545,0.08338306478350242,6987,0.07721636496253564
169,20.0,7592,0.08351759567891048,7025,0.07728017777191072
170,60.0,7636,0.08362811990055745,7064,0.0773636771840673
171,120.0,7679,0.0836009711168933,7099,0.07728653391832602
172,40.0,7722,0.0836964297327177,7135,0.07733411371962455
173,100.0,7770,0.08376816594074776,7178,0.07738582948811937
174,120.0,7819,0.08364982401335144,7225,0.0772950477678046
175,60.0,7865,0.08376645507604481,7267,0.07739743535125464
176,140.0,7909,0.0837595975642044,7308,0.07739475774424145
177,60.0,7951,0.08380147345566458,7347,0.07743547044129892
178,40.0,7996,0.08394221886285379,7390,0.07758041488200218
179,120.0,8035,0.0838901649613698,7426,0.07753184380872834
180,60.0,8083,0.08403422499922027,7471,0.07767161882582885
181,60.0,8129,0.08412936610608021,7512,0.0777438551099612
182,200.0,8182,0.08406711395604509,7559,0.07766601251451292
183,100.0,8220,0.08405509596801407,7595,0.07766404548382809
184,180.0,8250,0.08370026175354585,7624,0.07734918734654952
185,220.0,8293,0.08349190049029971,7663,0.07714921421164436
186,180.0,8336,0.08340086642454803,7702,0.07705775830156777
187,120.0,8389,0.08350670422759533,7749,0.07713594600782409
188,220.0,8443,0.08335801591532888,7801,0.07701952885887486
189,60.0,8491,0.083485733388394,7842,0.0771045955990797
190,140.0,8533,0.08340990400969678,7879,0.07701706711501241
191,260.0,8571,0.08308291812876835,7917,0.0767433744983618
192,340.0,8620,0.08263116019133619,7960,0.07630441242726636
