episode,reward,violations,violation_rate,modifications,modification_rate
1,100.0,63,0.10361842105263158,63,0.10361842105263158
2,60.0,124,0.11376146788990826,124,0.11376146788990826
3,40.0,193,0.1301416048550236,193,0.1301416048550236
4,220.0,264,0.11728120835184362,264,0.11728120835184362
5,200.0,363,0.11690821256038647,363,0.11690821256038647
6,220.0,433,0.11430834213305174,433,0.11430834213305174
7,420.0,535,0.10543949546708711,535,0.10543949546708711
8,120.0,596,0.10446976336546888,596,0.10446976336546888
9,260.0,681,0.10502776064157927,681,0.10502776064157927
10,200.0,759,0.10581346716854872,759,0.10581346716854872
11,260.0,834,0.10324337707353305,834,0.10324337707353305
12,320.0,907,0.09885558583106267,907,0.09885558583106267
13,380.0,1023,0.09956204379562043,1023,0.09956204379562043
14,180.0,1111,0.10018034265103697,1111,0.10018034265103697
15,120.0,1193,0.10179180887372014,1193,0.10179180887372014
16,380.0,1292,0.10096905282900906,1292,0.10096905282900906
17,220.0,1375,0.10192735359525575,1375,0.10192735359525575
18,320.0,1476,0.10121374202838922,1476,0.10121374202838922
19,120.0,1561,0.10348713869000266,1561,0.10348713869000266
20,240.0,1647,0.10375456721683256,1647,0.10375456721683256
21,320.0,1736,0.10289846482129097,1736,0.10289846482129097
22,240.0,1815,0.1031015678254942,1815,0.1031015678254942
23,160.0,1892,0.10426540284360189,1892,0.10426540284360189
24,280.0,1990,0.10418302706664573,1990,0.10418302706664573
25,280.0,2090,0.10410440326758319,2090,0.10410440326758319
26,440.0,2227,0.1030350698621264,2227,0.1030350698621264
27,240.0,2325,0.1037992767534265,2325,0.1037992767534265
28,220.0,2415,0.10409931462563042,2415,0.10409931462563042
29,280.0,2486,0.10293995859213251,2486,0.10293995859213251
30,380.0,2574,0.10095305330038828,2574,0.10095305330038828
