episode,reward,violations,violation_rate,modifications,modification_rate
1,120.0,65,0.10383386581469649,58,0.0926517571884984
2,20.0,135,0.11548331907613345,126,0.10778443113772455
3,60.0,197,0.1244472520530638,185,0.11686670878079596
4,60.0,263,0.12547709923664122,249,0.11879770992366412
5,120.0,334,0.11865008880994671,319,0.1133214920071048
6,140.0,408,0.11502678319706794,392,0.11051592895404568
7,120.0,472,0.10992081974848626,455,0.10596180717279925
8,40.0,536,0.11387295517314638,517,0.10983641385171022
9,280.0,606,0.10761854022376133,581,0.10317883146865565
10,160.0,679,0.10774357346874008,650,0.10314185972707077
11,320.0,746,0.10122116689280869,714,0.09687924016282225
12,140.0,821,0.10117067159581022,788,0.09710412815773259
13,280.0,889,0.09822119102861562,850,0.09391227488675284
14,140.0,954,0.09865563598759049,914,0.09451913133402275
15,260.0,1023,0.09649122807017543,971,0.0915864931145067
16,120.0,1101,0.09900188831939574,1044,0.093876449959536
17,60.0,1158,0.0997244230106786,1097,0.09447123665173958
18,140.0,1216,0.09826262626262626,1153,0.09317171717171717
19,40.0,1261,0.09827760891590678,1196,0.09321175278622088
20,40.0,1300,0.09806140152372332,1233,0.09300746775288526
21,60.0,1349,0.09833795013850416,1281,0.09338095932351655
22,0.0,1387,0.09834089619965967,1319,0.0935195689166194
23,20.0,1429,0.09830764997248212,1360,0.09356081452944413
24,0.0,1467,0.09868819374369324,1394,0.09377732929700638
25,40.0,1503,0.09814548778895128,1430,0.0933786078098472
26,120.0,1542,0.09706048970856675,1464,0.09215081513186882
27,40.0,1582,0.09674657534246575,1501,0.09179305283757339
28,0.0,1626,0.09740026356774889,1544,0.0924883191565832
29,0.0,1660,0.09678171641791045,1577,0.09194263059701492
30,20.0,1695,0.09621934604904632,1610,0.09139418710263397
31,0.0,1736,0.09671309192200557,1649,0.09186629526462396
32,20.0,1770,0.09617474462073462,1681,0.09133883938274288
33,20.0,1804,0.09589113910593738,1712,0.0910009036304683
34,20.0,1843,0.09527009563194624,1751,0.0905143447919359
35,0.0,1877,0.09506685575364668,1781,0.09020461912479741
36,0.0,1914,0.09510086455331412,1817,0.09028122826194972
37,0.0,1954,0.09511755829236236,1857,0.09039575524509565
38,20.0,1992,0.09416213661073032,1893,0.08948239186953438
39,0.0,2024,0.09385143281090605,1924,0.0892145043123435
40,40.0,2056,0.09321303894455275,1956,0.0886793308246815
41,20.0,2089,0.0928031985784096,1989,0.08836072856508219
42,20.0,2133,0.09318072604953911,2030,0.08868114105980517
43,40.0,2168,0.09296740994854202,2064,0.08850771869639794
44,100.0,2201,0.09231995302210477,2097,0.08795771989429974
45,20.0,2236,0.09225564219994224,2129,0.08784090440236003
46,20.0,2280,0.09227033589639821,2170,0.08781869688385269
47,20.0,2315,0.0919928472084244,2198,0.08734353268428373
48,0.0,2354,0.09219080441763923,2235,0.08753035168794548
49,0.0,2396,0.09271010679461383,2272,0.08791208791208792
50,0.0,2437,0.09306855069696392,2312,0.0882948252816498
51,20.0,2473,0.0930048890560361,2345,0.08819104926664159
52,60.0,2510,0.09239150439871903,2379,0.08756947767512055
53,40.0,2546,0.0922931921989415,2412,0.08743565576741825
54,60.0,2586,0.09190418650934679,2449,0.08703532589380908
55,40.0,2624,0.09191215103856527,2485,0.08704332901327543
56,100.0,2668,0.09186695131189312,2524,0.08690861510915227
57,200.0,2718,0.09135827367147323,2573,0.08648448791637256
58,180.0,2764,0.09085231568221411,2618,0.08605331492620714
59,220.0,2841,0.09072039851832929,2686,0.08577085196065909
60,180.0,2881,0.08990482134498362,2722,0.08494304883757216
61,100.0,2928,0.08956867543591313,2766,0.08461303150810645
62,140.0,2963,0.08915836668371799,2797,0.08416333162820089
63,260.0,3006,0.08751091703056768,2837,0.08259097525473072
64,140.0,3050,0.08736751647092524,2875,0.08235462618160985
65,60.0,3078,0.08701552031210245,2901,0.08201170384191332
66,40.0,3125,0.08732953275206796,2944,0.08227140621506819
67,120.0,3172,0.0867259056732741,2988,0.08169514695830485
68,120.0,3202,0.08630029916718325,3018,0.08134113144489664
69,40.0,3233,0.08605957356190273,3049,0.08116165783799612
70,60.0,3273,0.08622006796448987,3089,0.08137298806670003
71,100.0,3309,0.0858187665335339,3121,0.0809429949686187
72,100.0,3356,0.08578512819201962,3166,0.08092840162572532
73,100.0,3403,0.08572868119410505,3212,0.08091699206449175
74,280.0,3509,0.08631164678391341,3311,0.0814413971221252
75,160.0,3555,0.08636186959479157,3352,0.08143037605674862
76,100.0,3595,0.08628966444241755,3392,0.08141711871729634
77,80.0,3632,0.08613370645291342,3426,0.0812483695781061
78,40.0,3667,0.08589230084557187,3458,0.08099688473520249
79,60.0,3706,0.08562055262914703,3495,0.08074577210978652
80,100.0,3736,0.0853669682844347,3524,0.08052280413124943
81,160.0,3774,0.08475375597924947,3562,0.07999281367198904
82,40.0,3817,0.08489768683274021,3603,0.08013790035587189
83,120.0,3860,0.08482584331392155,3640,0.07999120975716954
84,360.0,3917,0.08412258660309688,3694,0.07933337628589224
85,140.0,3968,0.0841658712482766,3743,0.07939336090783752
86,220.0,4009,0.08362536503963287,3781,0.07886942010846892
87,140.0,4047,0.08326817826426897,3817,0.0785358627216987
88,120.0,4093,0.08335369827305311,3862,0.0786493971977843
89,140.0,4140,0.08311250301132257,3905,0.07839476431381996
90,200.0,4186,0.08283040148801868,3949,0.07814076815006826
91,120.0,4227,0.08276388698529556,3986,0.07804515105828912
92,40.0,4268,0.08298658370600817,4027,0.07830060276103441
93,40.0,4303,0.08277069267316829,4059,0.07807721161059496
94,40.0,4345,0.0829151002805183,4097,0.07818254680075568
95,80.0,4388,0.08298504075495962,4136,0.07821926357395464
96,160.0,4427,0.08273683817070664,4173,0.0779897957276618
97,140.0,4469,0.08243106151434106,4212,0.07769067601217375
98,120.0,4513,0.08210231407364285,4253,0.07737228933197497
99,180.0,4566,0.0819483829283176,4300,0.07717434222333895
100,160.0,4607,0.0818164059031416,4335,0.07698591699373102
101,240.0,4647,0.08138781372051071,4373,0.07658896264252062
102,320.0,4703,0.08086730746083877,4426,0.07610433825678765
103,180.0,4761,0.08095011391845479,4481,0.07618934267351311
104,120.0,4800,0.0808856983974521,4517,0.07611681242943566
105,280.0,4902,0.08110522832561218,4606,0.07620780939774983
106,140.0,4954,0.08104438300587302,4650,0.07607113059695389
107,200.0,4997,0.08083275368414242,4688,0.07583429042850903
108,220.0,5032,0.08045793226951489,4719,0.07545329538550094
109,200.0,5060,0.07975663193732957,4745,0.07479154516652743
110,120.0,5113,0.08001189302536657,4793,0.07500430339733659
111,400.0,5164,0.07934117936268936,4840,0.07436315029345789
112,300.0,5213,0.07889161294228034,4883,0.0738975150579618
113,300.0,5244,0.07825464095982809,4910,0.07327045902226467
114,320.0,5297,0.07800144310768822,4958,0.07300946855350543
115,140.0,5332,0.07777583289573488,4990,0.07278721045568587
116,180.0,5356,0.07748730487116795,5012,0.0725105250213394
117,180.0,5388,0.07706610979203021,5041,0.0721028692393512
118,220.0,5423,0.07680541589360829,5073,0.07184840030025351
119,100.0,5470,0.07693714221415812,5112,0.0719017680070889
120,160.0,5507,0.07682435165938925,5147,0.0718022404196253
121,420.0,5545,0.07608188578798605,5183,0.07111495293762521
122,420.0,5581,0.07533645604136013,5214,0.0703824192438007
123,380.0,5624,0.07482604010058408,5253,0.06988996953207115
124,540.0,5808,0.0758303739293921,5423,0.07080373929392103
125,300.0,5875,0.07589850915949668,5483,0.07083430225047153
126,240.0,5917,0.07573663057112869,5519,0.07064229577861403
127,240.0,5950,0.07525739293212921,5551,0.07021072070020996
128,120.0,5990,0.07538668713895566,5587,0.07031476144329638
129,340.0,6071,0.07554095586496945,5662,0.07045180235668869
130,180.0,6112,0.07547822221124517,5700,0.07039035775590599
