episode,reward,violations,violation_rate,modifications,modification_rate
1,100.0,65,0.11970534069981584,0,0.0
2,140.0,121,0.11030082041932543,0,0.0
3,240.0,195,0.09061338289962825,0,0.0
4,60.0,256,0.0998829496683574,0,0.0
5,300.0,325,0.08821932681867535,0,0.0
6,100.0,404,0.09632808774439676,0,0.0
7,320.0,600,0.11106997408367271,0,0.0
8,140.0,676,0.11567419575633128,0,0.0
9,160.0,867,0.12798937112488928,0,0.0
10,60.0,926,0.12742534746112563,0,0.0
11,80.0,988,0.12839506172839507,0,0.0
12,120.0,1057,0.1281212121212121,0,0.0
13,60.0,1126,0.12988810704810244,0,0.0
14,300.0,1252,0.13104458865396693,0,0.0
15,200.0,1430,0.13572513287775248,0,0.0
16,320.0,1612,0.1388458225667528,0,0.0
17,540.0,1918,0.1442647611884167,0,0.0
18,140.0,1986,0.1436735874990957,0,0.0
19,500.0,2186,0.14331606897003868,0,0.0
20,340.0,2241,0.1380011084426381,0,0.0
21,220.0,2297,0.13550023596035865,0,0.0
22,240.0,2361,0.1331190798376184,0,0.0
23,320.0,2428,0.12968699925221663,0,0.0
24,520.0,2725,0.13441523208207962,0,0.0
25,300.0,2813,0.1323391042529168,0,0.0
26,280.0,2923,0.13208314505196567,0,0.0
27,420.0,3095,0.13222540265732474,0,0.0
28,260.0,3250,0.13402061855670103,0,0.0
29,300.0,3302,0.13105774955348284,0,0.0
30,280.0,3416,0.13123319247022666,0,0.0
