a,b,mean_a,mean_b,median_a,median_b,t_stat,t_p_raw,t_p_fdr,u_stat,u_p_raw,u_p_fdr
ppo_unshielded,ppo_reward_shaping,253.34,277.71999999999997,252.10000000000002,272.5,-1.164021478258439,0.2607454147134456,0.46934174648420207,37.0,0.3447042220069576,0.5640614541932034
ppo_unshielded,ppo_semantic_loss,253.34,291.04,252.10000000000002,292.6,-1.5050704654406524,0.1498531680457318,0.35964760330975626,33.5,0.2263014317699833,0.4287816601957578
ppo_unshielded,ppo_action_mask,253.34,299.18,252.10000000000002,279.0,-2.048884618005446,0.05555073234064737,0.22220292936258948,27.5,0.09617854690583334,0.31172015060464275
ppo_unshielded,ppo_preshield_soft,253.34,255.42,252.10000000000002,242.5,-0.08561970109972224,0.9327164595432256,0.9593655012444605,52.0,0.9097218891455553,0.9924238790678784
ppo_unshielded,ppo_preshield_hard,253.34,292.36,252.10000000000002,305.4,-1.5689818800271487,0.13422097656603368,0.34942723352517296,32.0,0.18587673236587599,0.39362131559832564
ppo_unshielded,ppo_layer_soft,253.34,249.93999999999997,252.10000000000002,232.2,0.13599360784624281,0.8933522191341886,0.9459023496714938,55.0,0.7337299956962472,0.9108372360367207
ppo_unshielded,ppo_layer_hard,253.34,306.17999999999995,252.10000000000002,311.1,-2.0564061610092055,0.054890886948517,0.22220292936258948,28.0,0.10410988966022681,0.31172015060464275
ppo_unshielded,cppo,253.34,239.04000000000002,252.10000000000002,246.7,0.6838456082216374,0.5034536113021418,0.7503329638418835,61.0,0.4273553138978077,0.6689039695791773
ppo_reward_shaping,ppo_semantic_loss,277.71999999999997,291.04,272.5,292.6,-0.5917487427648916,0.5623877440229119,0.7756125814111507,43.0,0.6231762238821174,0.8628593869137009
ppo_reward_shaping,ppo_action_mask,277.71999999999997,299.18,272.5,279.0,-1.1011611753340285,0.28571345279878113,0.4897944905121962,36.0,0.3074894566186813,0.5534810219136264
ppo_reward_shaping,ppo_preshield_soft,277.71999999999997,255.42,272.5,242.5,1.0292603441422483,0.31838740465268633,0.5209975712498504,68.0,0.18587673236587599,0.39362131559832564
ppo_reward_shaping,ppo_preshield_hard,277.71999999999997,292.36,272.5,305.4,-0.6562033568607508,0.5210645582235303,0.7503329638418835,40.0,0.47267559351158717,0.6806528546566855
ppo_reward_shaping,ppo_layer_soft,277.71999999999997,249.93999999999997,272.5,232.2,1.237047346430822,0.2340996439042648,0.4525978077536609,71.0,0.12122450301291661,0.31172015060464275
ppo_reward_shaping,ppo_layer_hard,277.71999999999997,306.17999999999995,272.5,311.1,-1.2252979628310645,0.23887106520332102,0.4525978077536609,37.0,0.3447042220069576,0.5640614541932034
ppo_reward_shaping,cppo,277.71999999999997,239.04000000000002,272.5,246.7,2.1741288401848773,0.04327907151456697,0.22220292936258948,74.0,0.07566157214388701,0.30264628857554804
