method,display_name,metric,n,mean,std,median,iqr,q1,q3,min,max,ci_lo_95,ci_hi_95
ppo_unshielded,PPO (Unshielded),reward,10,253.34,52.88823015462787,252.10000000000002,64.65000000000003,233.55,298.20000000000005,157.4,323.4,221.77950000000004,283.5605
ppo_unshielded,PPO (Unshielded),viol_rate,10,0.12858292392108445,0.011485925796652167,0.13067996934865483,0.019118240010071882,0.11809164021742798,0.13720988022749986,0.11176665275639273,0.14337242615990273,0.12176272759186209,0.1350746972438276
ppo_unshielded,PPO (Unshielded),mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_reward_shaping,PPO + Reward Shaping,reward,10,277.71999999999997,39.86992182920186,272.5,58.15000000000006,251.04999999999998,309.20000000000005,219.0,340.8,254.8195,301.8
ppo_reward_shaping,PPO + Reward Shaping,viol_rate,10,0.11791921937073557,0.020449739424517308,0.11387511275075447,0.0326463034413583,0.10487610424891583,0.13752240769027413,0.08947348818731456,0.14465844001076386,0.10602640037515207,0.13004304430966157
ppo_reward_shaping,PPO + Reward Shaping,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_semantic_loss,PPO + Semantic Loss,reward,10,291.04,58.967697371809706,292.6,93.1,237.54999999999998,330.65,212.0,370.8,256.41900000000004,324.92199999999997
ppo_semantic_loss,PPO + Semantic Loss,viol_rate,10,0.14736211430173546,0.025465073122605666,0.14752271543933698,0.035488273590597696,0.1267469824493237,0.1622352560399214,0.11031312184076301,0.19101103814939352,0.13289189024014064,0.16225856279931208
ppo_semantic_loss,PPO + Semantic Loss,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_action_mask,PPO + Action Mask,reward,10,299.18,46.99375372205213,279.0,49.049999999999955,266.70000000000005,315.75,257.8,396.4,274.48,329.52000000000004
ppo_action_mask,PPO + Action Mask,viol_rate,10,0.09336998115325298,0.007106322977076836,0.09137623174222484,0.011689815551336205,0.0884282393412158,0.100118054892552,0.08390609749833051,0.10395191965157835,0.08933521464142717,0.0976398364942147
ppo_action_mask,PPO + Action Mask,mod_rate,10,0.09336998115325298,0.007106322977076836,0.09137623174222484,0.011689815551336205,0.0884282393412158,0.100118054892552,0.08390609749833051,0.10395191965157835,0.08933521464142717,0.0976398364942147
ppo_preshield_soft,PPO + Pre-emptive (Soft),reward,10,255.42,55.71861448385091,242.5,51.25,217.75,269.0,195.4,363.4,224.95999999999998,289.50050000000005
ppo_preshield_soft,PPO + Pre-emptive (Soft),viol_rate,10,0.07260372325472439,0.010250910976362205,0.07389239574596834,0.011988562645812495,0.06560629362816442,0.07759485627397691,0.05700436497632031,0.09271188345005806,0.06659176326421093,0.07881487266826515
ppo_preshield_soft,PPO + Pre-emptive (Soft),mod_rate,10,0.06776376183151192,0.00982519017942281,0.06971103920311877,0.010736017097240251,0.06118909269536652,0.07192510979260677,0.053752272137107246,0.08732818995543239,0.06201632412608299,0.07372042764865223
ppo_preshield_hard,PPO + Pre-emptive (Hard),reward,10,292.36,58.204986422508895,305.4,62.19999999999999,259.35,321.55,185.6,368.6,257.059,325.04050000000007
ppo_preshield_hard,PPO + Pre-emptive (Hard),viol_rate,10,0.10076391160390111,0.009521883050559805,0.09970881622721506,0.014050503952215451,0.0935988525132705,0.10764935646548596,0.08826023481278794,0.11648529779854348,0.09518362816066525,0.10649448133491711
ppo_preshield_hard,PPO + Pre-emptive (Hard),mod_rate,10,0.10076391160390111,0.009521883050559805,0.09970881622721506,0.014050503952215451,0.0935988525132705,0.10764935646548596,0.08826023481278794,0.11648529779854348,0.09518362816066525,0.10649448133491711
ppo_layer_soft,PPO + Layer (Soft),reward,10,249.93999999999997,58.76582907325198,232.2,84.9,208.85,293.75,180.2,354.6,218.44,286.6814999999999
ppo_layer_soft,PPO + Layer (Soft),viol_rate,10,0.0726110535814007,0.011035848068985507,0.07258990382331591,0.018298662369737123,0.06209205812911285,0.08039072049884997,0.059079445145018915,0.09094059625894166,0.06632632859124535,0.07924251432684477
ppo_layer_soft,PPO + Layer (Soft),mod_rate,10,0.06744076259778845,0.009554559128896164,0.06685784900060357,0.016014592566366004,0.058532676958751584,0.07454726952511759,0.05638083228247163,0.08473808148575998,0.062099347259144545,0.07325350376823521
ppo_layer_hard,PPO + Layer (Hard),reward,10,306.17999999999995,61.687326269033754,311.1,105.975,249.6,355.575,224.8,391.9,268.98775,342.0505
ppo_layer_hard,PPO + Layer (Hard),viol_rate,10,0.10576921126553121,0.008332757148740074,0.10655034420113031,0.01387748563878799,0.09858111694299596,0.11245860258178395,0.09444876267601815,0.11811334245595868,0.10084952364628666,0.11069927457525594
ppo_layer_hard,PPO + Layer (Hard),mod_rate,10,0.10576921126553121,0.008332757148740074,0.10655034420113031,0.01387748563878799,0.09858111694299596,0.11245860258178395,0.09444876267601815,0.11811334245595868,0.10084952364628666,0.11069927457525594
cppo,CMDP,reward,10,239.04000000000002,39.69380584199784,246.7,39.10000000000002,221.5,260.6,162.2,295.2,214.9595,260.91999999999996
cppo,CMDP,viol_rate,10,0.0899472925528962,0.03534467246487459,0.10047034328579793,0.04464012137469904,0.06477528544844485,0.1094154068231439,0.02673286463240801,0.12993355215755345,0.06805296775754,0.10949029739413851
cppo,CMDP,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
