episode,reward,violations,violation_rate,modifications,modification_rate
1,32.0,1,0.03125,1,0.03125
2,58.0,8,0.08888888888888889,8,0.08888888888888889
3,14.0,9,0.08653846153846154,9,0.08653846153846154
4,14.0,12,0.1016949152542373,12,0.1016949152542373
5,37.0,18,0.11612903225806452,18,0.11612903225806452
6,22.0,20,0.11299435028248588,20,0.11299435028248588
7,59.0,29,0.1228813559322034,29,0.1228813559322034
8,16.0,31,0.12301587301587301,31,0.12301587301587301
9,32.0,32,0.11267605633802817,32,0.11267605633802817
10,70.0,38,0.10734463276836158,38,0.10734463276836158
11,12.0,39,0.10655737704918032,39,0.10655737704918032
12,12.0,39,0.10317460317460317,39,0.10317460317460317
13,85.0,46,0.09935205183585313,46,0.09935205183585313
14,99.0,57,0.10142348754448399,57,0.10142348754448399
15,56.0,59,0.09546925566343042,59,0.09546925566343042
16,47.0,67,0.10075187969924812,67,0.10075187969924812
17,13.0,68,0.10029498525073746,68,0.10029498525073746
18,59.0,76,0.10312075983717775,76,0.10312075983717775
19,11.0,76,0.10160427807486631,76,0.10160427807486631
20,16.0,77,0.10078534031413612,77,0.10078534031413612
21,48.0,82,0.10098522167487685,82,0.10098522167487685
22,41.0,84,0.0984759671746776,84,0.0984759671746776
23,24.0,84,0.09578107183580388,84,0.09578107183580388
24,113.0,94,0.09494949494949495,94,0.09494949494949495
25,64.0,94,0.08918406072106262,94,0.08918406072106262
26,62.0,105,0.09408602150537634,105,0.09408602150537634
27,39.0,105,0.09090909090909091,105,0.09090909090909091
28,133.0,121,0.09394409937888198,121,0.09394409937888198
29,118.0,140,0.09957325746799431,140,0.09957325746799431
30,56.0,142,0.09712722298221614,142,0.09712722298221614
31,96.0,150,0.0962772785622593,150,0.0962772785622593
32,64.0,153,0.09432799013563502,153,0.09432799013563502
33,203.0,170,0.09315068493150686,170,0.09315068493150686
34,30.0,170,0.09164420485175202,170,0.09164420485175202
35,38.0,175,0.092445853143159,175,0.092445853143159
36,35.0,176,0.0912863070539419,176,0.0912863070539419
37,74.0,185,0.0924075924075924,185,0.0924075924075924
38,24.0,187,0.09230009871668311,187,0.09230009871668311
39,79.0,187,0.08883610451306413,187,0.08883610451306413
40,103.0,201,0.09103260869565218,201,0.09103260869565218
41,59.0,206,0.09086898985443317,206,0.09086898985443317
42,70.0,214,0.09157038938810441,214,0.09157038938810441
43,82.0,224,0.09260024803637867,224,0.09260024803637867
44,75.0,232,0.09302325581395349,232,0.09302325581395349
45,59.0,239,0.0936153544849197,239,0.0936153544849197
46,116.0,256,0.09591607343574372,256,0.09591607343574372
47,112.0,264,0.09492988133764833,264,0.09492988133764833
48,87.0,270,0.09414225941422594,270,0.09414225941422594
49,64.0,272,0.0927694406548431,272,0.0927694406548431
50,62.0,274,0.09151636606546426,274,0.09151636606546426
51,128.0,282,0.0903267136450993,282,0.0903267136450993
52,49.0,287,0.09050772626931568,287,0.09050772626931568
53,117.0,296,0.09002433090024331,296,0.09002433090024331
54,62.0,297,0.08865671641791045,297,0.08865671641791045
55,104.0,312,0.0903300521134916,312,0.0903300521134916
56,29.0,312,0.08957795004306632,312,0.08957795004306632
57,84.0,315,0.08830950378469302,315,0.08830950378469302
58,138.0,324,0.0874493927125506,324,0.0874493927125506
59,119.0,331,0.08655857740585773,331,0.08655857740585773
60,18.0,333,0.08667360749609579,333,0.08667360749609579
61,225.0,340,0.08359970494221786,340,0.08359970494221786
62,245.0,358,0.08302411873840446,358,0.08302411873840446
63,121.0,368,0.08301376043311527,368,0.08301376043311527
64,17.0,369,0.08292134831460674,369,0.08292134831460674
65,110.0,378,0.08289473684210526,378,0.08289473684210526
66,119.0,387,0.08270998076512075,387,0.08270998076512075
67,120.0,392,0.08168368410085435,392,0.08168368410085435
68,16.0,392,0.0814122533748702,392,0.0814122533748702
69,12.0,392,0.08120986119743112,392,0.08120986119743112
70,16.0,392,0.08094156514557092,392,0.08094156514557092
71,165.0,401,0.08007188498402557,401,0.08007188498402557
72,126.0,415,0.08083365796649786,415,0.08083365796649786
73,26.0,415,0.08042635658914729,415,0.08042635658914729
74,252.0,434,0.08019216555801921,434,0.08019216555801921
75,53.0,438,0.08014638609332113,438,0.08014638609332113
76,88.0,439,0.07905636592832703,439,0.07905636592832703
77,96.0,447,0.07912904938927244,447,0.07912904938927244
78,35.0,447,0.07864180154820549,447,0.07864180154820549
79,18.0,448,0.07856892318484743,448,0.07856892318484743
80,72.0,448,0.07758919293384135,448,0.07758919293384135
81,145.0,457,0.07720898800473053,457,0.07720898800473053
82,53.0,459,0.07685867381111855,459,0.07685867381111855
83,73.0,464,0.07675765095119934,464,0.07675765095119934
84,179.0,468,0.07519280205655526,468,0.07519280205655526
85,18.0,469,0.07513617430310798,469,0.07513617430310798
86,54.0,469,0.07449174078780178,469,0.07449174078780178
87,208.0,483,0.07426199261992619,483,0.07426199261992619
88,27.0,484,0.0741080998315725,484,0.0741080998315725
89,234.0,499,0.0737620103473762,499,0.0737620103473762
90,26.0,499,0.07347960536003534,499,0.07347960536003534
91,59.0,504,0.07357664233576643,504,0.07357664233576643
92,46.0,509,0.0738109048723898,509,0.0738109048723898
93,20.0,510,0.07374204742625795,510,0.07374204742625795
94,31.0,510,0.07341298402187994,510,0.07341298402187994
95,20.0,512,0.07348930673173533,512,0.07348930673173533
96,213.0,539,0.07506963788300836,539,0.07506963788300836
97,199.0,570,0.0772462393278222,570,0.0772462393278222
98,31.0,570,0.07692307692307693,570,0.07692307692307693
99,100.0,574,0.07643142476697737,574,0.07643142476697737
100,165.0,584,0.07609120521172638,584,0.07609120521172638
101,59.0,584,0.07551073183346263,584,0.07551073183346263
102,79.0,591,0.07564315883783437,591,0.07564315883783437
103,135.0,608,0.07649723200805233,608,0.07649723200805233
104,152.0,620,0.07654320987654321,620,0.07654320987654321
105,179.0,628,0.0758545718081894,628,0.0758545718081894
106,108.0,642,0.07654703708119709,642,0.07654703708119709
107,141.0,652,0.07645403377110695,652,0.07645403377110695
108,109.0,660,0.07641542202153526,660,0.07641542202153526
109,34.0,662,0.07634644216353362,662,0.07634644216353362
110,284.0,676,0.07548855388051368,676,0.07548855388051368
111,56.0,676,0.07501942070802353,676,0.07501942070802353
112,195.0,691,0.07505974364544862,691,0.07505974364544862
113,225.0,719,0.0762379387127558,719,0.0762379387127558
114,170.0,728,0.0758254348505364,728,0.0758254348505364
115,128.0,731,0.07513619076986329,731,0.07513619076986329
116,93.0,738,0.07513744654856444,738,0.07513744654856444
117,166.0,748,0.07488986784140969,748,0.07488986784140969
118,127.0,752,0.07434503213049926,752,0.07434503213049926
119,114.0,764,0.07468960797731938,764,0.07468960797731938
120,107.0,770,0.0744969040247678,770,0.0744969040247678
121,146.0,775,0.0739362717038733,775,0.0739362717038733
122,129.0,786,0.07407407407407407,786,0.07407407407407407
123,267.0,805,0.074002574002574,805,0.074002574002574
124,214.0,820,0.07392715470609448,820,0.07392715470609448
125,232.0,832,0.07347227128223242,832,0.07347227128223242
126,23.0,833,0.07341147439851943,833,0.07341147439851943
127,176.0,842,0.07307124880673435,842,0.07307124880673435
128,80.0,843,0.0726536240627424,843,0.0726536240627424
129,143.0,843,0.0717691128894943,843,0.0717691128894943
130,111.0,849,0.07160327232858227,849,0.07160327232858227
131,387.0,880,0.0718719372754002,880,0.0718719372754002
132,37.0,880,0.07165540265450696,880,0.07165540265450696
133,15.0,880,0.07156798959011061,880,0.07156798959011061
134,175.0,893,0.07160612621281373,893,0.07160612621281373
135,147.0,896,0.07100966872721509,896,0.07100966872721509
136,500.0,935,0.07127610916298216,935,0.07127610916298216
137,72.0,935,0.07088703563305535,935,0.07088703563305535
138,26.0,938,0.07097457627118645,938,0.07097457627118645
139,105.0,940,0.0705652728774116,940,0.0705652728774116
140,208.0,955,0.07058910488580088,955,0.07058910488580088
141,328.0,986,0.0711553727358014,986,0.0711553727358014
142,75.0,992,0.0712029859316681,992,0.0712029859316681
143,463.0,1016,0.07058006252170893,1016,0.07058006252170893
144,260.0,1032,0.07041965199590583,1032,0.07041965199590583
145,94.0,1036,0.0702420503084955,1036,0.0702420503084955
146,31.0,1036,0.07009472259810555,1036,0.07009472259810555
147,108.0,1041,0.06992208490059108,1041,0.06992208490059108
148,261.0,1068,0.07049970295068982,1068,0.07049970295068982
149,257.0,1089,0.07068674542386083,1089,0.07068674542386083
150,92.0,1094,0.07058975351658278,1094,0.07058975351658278
151,383.0,1113,0.07008374787481897,1113,0.07008374787481897
152,222.0,1128,0.07004905918151898,1128,0.07004905918151898
153,317.0,1145,0.0697320341047503,1145,0.0697320341047503
154,111.0,1150,0.06956626943318614,1150,0.06956626943318614
155,97.0,1150,0.06916045224921819,1150,0.06916045224921819
156,212.0,1154,0.06852731591448931,1154,0.06852731591448931
157,364.0,1183,0.06876307835387119,1183,0.06876307835387119
158,172.0,1190,0.06848526703499079,1190,0.06848526703499079
159,213.0,1196,0.0679970436067997,1196,0.0679970436067997
160,398.0,1213,0.06743759381775727,1213,0.06743759381775727
161,404.0,1245,0.06769615572834539,1245,0.06769615572834539
162,165.0,1251,0.06741754688510455,1251,0.06741754688510455
163,236.0,1264,0.06726266496381439,1264,0.06726266496381439
164,128.0,1270,0.06712473572938689,1270,0.06712473572938689
165,322.0,1290,0.0670408481446835,1290,0.0670408481446835
166,92.0,1290,0.06672183717802835,1290,0.06672183717802835
167,84.0,1294,0.06663920074157997,1294,0.06663920074157997
168,267.0,1312,0.0666497332994666,1312,0.0666497332994666
169,136.0,1316,0.06639422834367589,1316,0.06639422834367589
170,138.0,1320,0.06613557793476627,1320,0.06613557793476627
