episode,reward,violations,violation_rate,modifications,modification_rate
1,13.0,1,0.07692307692307693,1,0.07692307692307693
2,85.0,14,0.14285714285714285,11,0.11224489795918367
3,10.0,15,0.1388888888888889,12,0.1111111111111111
4,75.0,34,0.18579234972677597,28,0.15300546448087432
5,38.0,38,0.17194570135746606,30,0.13574660633484162
6,62.0,44,0.15547703180212014,35,0.12367491166077739
7,34.0,46,0.14511041009463724,36,0.11356466876971609
8,44.0,46,0.12742382271468145,36,0.0997229916897507
9,140.0,58,0.1157684630738523,47,0.09381237524950099
10,49.0,59,0.10727272727272727,48,0.08727272727272728
11,74.0,65,0.10416666666666667,54,0.08653846153846154
12,92.0,74,0.10335195530726257,59,0.0824022346368715
13,11.0,75,0.1031636863823934,60,0.08253094910591471
14,29.0,81,0.10714285714285714,64,0.08465608465608465
15,28.0,81,0.10331632653061225,64,0.08163265306122448
16,10.0,83,0.10453400503778337,66,0.08312342569269521
17,29.0,84,0.10206561360874848,67,0.08140947752126367
18,28.0,85,0.099882491186839,67,0.07873090481786134
19,16.0,85,0.09803921568627451,67,0.07727797001153403
20,75.0,94,0.09978768577494693,76,0.08067940552016985
21,102.0,119,0.11398467432950192,94,0.09003831417624521
22,70.0,119,0.10682226211849193,94,0.0843806104129264
23,31.0,120,0.10480349344978165,95,0.08296943231441048
24,27.0,122,0.10409556313993173,97,0.08276450511945392
25,12.0,123,0.10388513513513513,97,0.08192567567567567
26,95.0,138,0.10789679437060204,112,0.0875684128225176
27,16.0,138,0.10656370656370656,112,0.08648648648648649
28,42.0,141,0.10545998504113688,114,0.08526551982049364
29,38.0,142,0.10327272727272727,115,0.08363636363636363
30,19.0,142,0.10186513629842181,115,0.0824964131994261
31,15.0,142,0.10078069552874379,115,0.08161816891412349
32,48.0,143,0.09814687714481812,116,0.07961564859299931
33,15.0,143,0.09714673913043478,116,0.07880434782608696
34,89.0,152,0.09737347853939782,123,0.07879564381806534
35,63.0,156,0.0960591133004926,126,0.07758620689655173
36,42.0,157,0.09423769507803122,127,0.07623049219687875
37,50.0,162,0.0944055944055944,132,0.07692307692307693
