episode,reward,violations,violation_rate,modifications,modification_rate
1,16.0,2,0.125,1,0.0625
2,36.0,5,0.09615384615384616,4,0.07692307692307693
3,67.0,8,0.06722689075630252,7,0.058823529411764705
4,12.0,9,0.06870229007633588,8,0.061068702290076333
5,17.0,10,0.06756756756756757,8,0.05405405405405406
6,18.0,11,0.06626506024096386,9,0.05421686746987952
7,50.0,13,0.06018518518518518,9,0.041666666666666664
8,17.0,14,0.060085836909871244,10,0.04291845493562232
9,64.0,22,0.07407407407407407,17,0.05723905723905724
10,45.0,22,0.06432748538011696,17,0.049707602339181284
11,9.0,23,0.06552706552706553,17,0.04843304843304843
12,49.0,24,0.06,18,0.045
13,39.0,29,0.06605922551252848,23,0.05239179954441914
14,22.0,29,0.06290672451193059,23,0.049891540130151846
15,33.0,32,0.06477732793522267,26,0.05263157894736842
16,71.0,37,0.06548672566371681,31,0.05486725663716814
17,59.0,39,0.0625,33,0.052884615384615384
18,43.0,43,0.06446776611694154,36,0.053973013493253376
19,12.0,45,0.0662739322533137,38,0.055964653902798235
20,111.0,46,0.05822784810126582,39,0.049367088607594936
21,29.0,48,0.05860805860805861,41,0.050061050061050064
22,23.0,49,0.05819477434679335,42,0.0498812351543943
23,21.0,52,0.06025492468134415,44,0.05098493626882966
24,29.0,53,0.05941704035874439,45,0.05044843049327354
25,16.0,54,0.05947136563876652,46,0.05066079295154185
26,10.0,55,0.05991285403050109,47,0.05119825708061002
27,12.0,56,0.060215053763440864,48,0.05161290322580645
28,30.0,57,0.059375,49,0.051041666666666666
29,36.0,58,0.05823293172690763,49,0.04919678714859438
30,18.0,59,0.05818540433925049,50,0.04930966469428008
31,13.0,60,0.05842259006815969,51,0.04965920155793573
32,25.0,63,0.05988593155893536,53,0.05038022813688213
33,96.0,63,0.054878048780487805,53,0.046167247386759584
34,14.0,64,0.055077452667814115,53,0.04561101549053356
35,13.0,65,0.05531914893617021,54,0.04595744680851064
36,41.0,68,0.05592105263157895,57,0.046875
37,55.0,74,0.058221872541306056,62,0.04878048780487805
38,19.0,80,0.06201550387596899,66,0.05116279069767442
39,22.0,83,0.06326219512195122,69,0.052591463414634144
40,14.0,83,0.06259426847662142,69,0.05203619909502263
41,49.0,84,0.06109090909090909,70,0.05090909090909091
42,43.0,87,0.0613540197461213,72,0.05077574047954866
43,23.0,87,0.06037473976405274,72,0.04996530187369882
44,25.0,89,0.06070941336971351,74,0.0504774897680764
45,23.0,89,0.05977165883143049,74,0.04969778374748153
46,21.0,90,0.059602649006622516,75,0.04966887417218543
47,28.0,93,0.06046814044213264,78,0.05071521456436931
48,46.0,99,0.0625,83,0.052398989898989896
49,29.0,102,0.06323620582765034,85,0.05269683818970862
50,19.0,104,0.06372549019607843,87,0.05330882352941176
51,30.0,108,0.06498194945848375,90,0.05415162454873646
52,18.0,109,0.06488095238095239,91,0.05416666666666667
53,75.0,111,0.06324786324786325,92,0.05242165242165242
54,44.0,119,0.06614785992217899,97,0.05391884380211229
55,57.0,119,0.06411637931034483,97,0.052262931034482756
56,44.0,122,0.06421052631578947,99,0.05210526315789474
57,37.0,122,0.06298399586990192,99,0.05110996386164171
58,110.0,124,0.060576453346360526,100,0.048851978505129456
59,13.0,125,0.06067961165048544,101,0.04902912621359223
60,28.0,125,0.05986590038314176,101,0.04837164750957854
61,21.0,128,0.06069227121858701,102,0.04836415362731152
62,22.0,128,0.06006569685593618,102,0.04786485218207415
63,22.0,128,0.05945192754296331,102,0.04737575476079889
64,47.0,130,0.05909090909090909,102,0.046363636363636364
65,11.0,131,0.05924920850293985,103,0.046585255540479424
66,46.0,133,0.05892778023925565,104,0.0460788657509969
67,139.0,147,0.06135225375626043,116,0.048414023372287146
68,90.0,147,0.05913113435237329,116,0.04666130329847144
69,15.0,148,0.05917632946821272,116,0.04638144742103159
70,50.0,150,0.05880047040376323,117,0.04586436691493532
71,64.0,151,0.05774378585086042,118,0.045124282982791586
72,14.0,151,0.05743628756181057,118,0.04488398630658045
73,28.0,154,0.05796010538200978,119,0.044787354158825746
74,87.0,155,0.0564868804664723,120,0.043731778425655975
75,90.0,159,0.0561044460127029,124,0.043754410726887794
76,93.0,163,0.05568841817560642,127,0.0433891356337547
77,53.0,170,0.05704697986577181,134,0.04496644295302014
78,40.0,170,0.056291390728476824,134,0.04437086092715232
79,38.0,172,0.05624591236102027,135,0.04414650098103336
80,98.0,180,0.057034220532319393,142,0.044993662864385296
81,136.0,188,0.05710814094775213,148,0.04495747266099635
82,69.0,189,0.05623326390955073,149,0.04433204403451354
83,86.0,194,0.05628082390484479,153,0.044386422976501305
84,158.0,201,0.055755894590846046,158,0.04382801664355063
85,59.0,201,0.05485807860262009,158,0.04312227074235808
86,131.0,206,0.054281949934123844,162,0.042687747035573126
87,34.0,206,0.053799947767041,162,0.042308696787673024
88,21.0,208,0.054025974025974026,163,0.04233766233766234
89,16.0,209,0.05406104500775996,164,0.04242110708742887
90,116.0,210,0.052737317930688095,165,0.04143646408839779
91,113.0,211,0.051526251526251524,165,0.040293040293040296
92,38.0,213,0.051536414226953785,165,0.039922574401161384
93,161.0,217,0.050535631113181184,169,0.03935724266418258
94,178.0,223,0.04986583184257603,175,0.03913237924865832
95,207.0,223,0.04765975635819619,175,0.037401154092754865
96,264.0,233,0.047137365972081735,182,0.036819745094072424
97,53.0,234,0.04683746997598078,183,0.0366293034427542
98,500.0,237,0.04312227074235808,185,0.0336608442503639
99,223.0,244,0.04266480153873055,191,0.033397447106137436
100,291.0,264,0.043926788685524125,206,0.03427620632279534
101,148.0,265,0.04303345241961676,206,0.03345241961675869
102,218.0,266,0.0417189460476788,207,0.03246549560853199
103,143.0,268,0.04111059978524313,207,0.031753336401288544
104,266.0,280,0.04126750184229919,218,0.03212969786293294
105,106.0,304,0.0441155129879553,236,0.03424756929328109
106,173.0,313,0.04430917327293318,244,0.03454133635334088
107,167.0,317,0.043839026414050616,247,0.034158484303692435
108,257.0,321,0.042868589743589744,250,0.033386752136752136
109,191.0,322,0.041932543299908843,251,0.032686547727568696
110,149.0,338,0.043178334184977005,266,0.03398058252427184
111,100.0,345,0.04351664984863774,268,0.03380423814328961
112,104.0,351,0.043700199203187254,272,0.03386454183266932
113,162.0,351,0.04283622162557969,272,0.03319502074688797
114,190.0,355,0.0423425572519084,276,0.032919847328244274
115,205.0,355,0.04133193619746187,276,0.0321341250436605
116,338.0,364,0.040775176431051864,285,0.03192561890892797
117,293.0,386,0.04186550976138829,306,0.033188720173535795
118,131.0,394,0.04213453106619613,311,0.03325847502940862
119,152.0,431,0.04535409870567189,337,0.035462485530884984
120,76.0,446,0.0465601837352542,349,0.036433865747990395
121,167.0,476,0.04884054996921814,374,0.03837471783295711
122,117.0,476,0.0482611781405252,374,0.037919497110412655
123,201.0,486,0.04829093799682035,383,0.038056438791732906
124,115.0,505,0.049611946163670304,397,0.03900186658807348
125,136.0,527,0.05109064469219583,415,0.04023267086766844
126,91.0,528,0.0507399577167019,416,0.03997693638285604
127,137.0,547,0.051882765816181356,427,0.04050080622213791
128,169.0,550,0.051344286781179985,429,0.04004854368932039
129,159.0,552,0.05077729739674363,431,0.03964676662680526
130,159.0,557,0.050498640072529466,436,0.039528558476881234
131,125.0,562,0.05038099506947557,440,0.039444195428059166
132,237.0,565,0.04959620786516854,443,0.038886938202247194
133,102.0,574,0.049939098660170524,451,0.039237863232991124
134,298.0,574,0.04867706919945726,451,0.03824626865671642
135,121.0,582,0.048854192898514226,458,0.038445395786116006
136,55.0,583,0.04871323529411765,459,0.03835227272727273
137,141.0,602,0.049715087951110744,476,0.03930960442645966
138,251.0,623,0.05040453074433657,492,0.039805825242718446
