episode,reward,violations,violation_rate,modifications,modification_rate
1,28.0,2,0.07142857142857142,0,0.0
2,12.0,3,0.075,0,0.0
3,12.0,5,0.09615384615384616,0,0.0
4,15.0,7,0.1044776119402985,0,0.0
5,12.0,8,0.10126582278481013,0,0.0
6,22.0,10,0.09900990099009901,0,0.0
7,22.0,12,0.0975609756097561,0,0.0
8,24.0,15,0.10204081632653061,0,0.0
9,39.0,18,0.0967741935483871,0,0.0
10,10.0,18,0.09183673469387756,0,0.0
11,16.0,19,0.08962264150943396,0,0.0
12,31.0,20,0.0823045267489712,0,0.0
13,38.0,21,0.07473309608540925,0,0.0
14,17.0,21,0.07046979865771812,0,0.0
15,16.0,23,0.0732484076433121,0,0.0
16,22.0,24,0.07142857142857142,0,0.0
17,22.0,26,0.07262569832402235,0,0.0
18,14.0,27,0.07258064516129033,0,0.0
19,11.0,27,0.07049608355091384,0,0.0
20,13.0,28,0.0707070707070707,0,0.0
21,18.0,30,0.07246376811594203,0,0.0
22,14.0,31,0.07242990654205607,0,0.0
23,13.0,31,0.07029478458049887,0,0.0
24,18.0,34,0.07407407407407407,0,0.0
25,30.0,35,0.07157464212678936,0,0.0
26,31.0,39,0.075,0,0.0
27,19.0,41,0.07606679035250463,0,0.0
28,36.0,42,0.07304347826086957,0,0.0
29,26.0,45,0.07487520798668885,0,0.0
30,16.0,46,0.07455429497568881,0,0.0
31,15.0,47,0.07436708860759493,0,0.0
32,29.0,48,0.07261724659606657,0,0.0
33,37.0,52,0.07449856733524356,0,0.0
34,29.0,53,0.07290233837689133,0,0.0
35,40.0,56,0.07301173402868318,0,0.0
36,16.0,57,0.07279693486590039,0,0.0
37,13.0,58,0.0728643216080402,0,0.0
38,33.0,60,0.07237635705669482,0,0.0
39,19.0,61,0.07193396226415094,0,0.0
40,13.0,62,0.07200929152148665,0,0.0
41,17.0,63,0.07175398633257403,0,0.0
42,21.0,67,0.07452725250278086,0,0.0
43,18.0,69,0.0752453653217012,0,0.0
44,22.0,71,0.07561235356762513,0,0.0
45,18.0,73,0.07628004179728318,0,0.0
46,26.0,74,0.0752797558494405,0,0.0
47,12.0,74,0.0743718592964824,0,0.0
48,17.0,75,0.0741106719367589,0,0.0
49,18.0,76,0.07378640776699029,0,0.0
50,21.0,77,0.07326355851569934,0,0.0
51,15.0,79,0.07410881801125703,0,0.0
52,16.0,82,0.07578558225508318,0,0.0
53,14.0,83,0.07572992700729927,0,0.0
54,21.0,85,0.07609668755595345,0,0.0
55,18.0,88,0.07753303964757709,0,0.0
56,39.0,89,0.075809199318569,0,0.0
57,17.0,90,0.07556675062972293,0,0.0
58,17.0,93,0.07698675496688742,0,0.0
59,24.0,95,0.07711038961038962,0,0.0
60,23.0,97,0.07729083665338646,0,0.0
61,16.0,98,0.07710464201416208,0,0.0
62,23.0,100,0.07727975270479134,0,0.0
63,31.0,103,0.07773584905660377,0,0.0
64,34.0,105,0.0772626931567329,0,0.0
65,47.0,107,0.07610241820768136,0,0.0
66,25.0,110,0.07686932215234102,0,0.0
67,44.0,112,0.0759322033898305,0,0.0
68,32.0,113,0.07498341074983411,0,0.0
69,17.0,115,0.07545931758530183,0,0.0
70,44.0,117,0.07461734693877552,0,0.0
