episode,reward,violations,violation_rate,modifications,modification_rate
1,14.0,2,0.14285714285714285,0,0.0
2,15.0,4,0.13793103448275862,0,0.0
3,25.0,9,0.16666666666666666,0,0.0
4,11.0,10,0.15384615384615385,0,0.0
5,12.0,12,0.15584415584415584,0,0.0
6,14.0,13,0.14285714285714285,0,0.0
7,22.0,16,0.1415929203539823,0,0.0
8,35.0,16,0.10810810810810811,0,0.0
9,16.0,18,0.10975609756097561,0,0.0
10,26.0,23,0.12105263157894737,0,0.0
11,25.0,23,0.10697674418604651,0,0.0
12,11.0,24,0.10619469026548672,0,0.0
13,34.0,29,0.11153846153846154,0,0.0
14,25.0,34,0.11929824561403508,0,0.0
15,13.0,35,0.1174496644295302,0,0.0
16,20.0,37,0.11635220125786164,0,0.0
17,52.0,38,0.10270270270270271,0,0.0
18,30.0,40,0.1,0,0.0
19,10.0,41,0.1,0,0.0
20,41.0,43,0.09534368070953436,0,0.0
21,18.0,45,0.09594882729211088,0,0.0
22,17.0,45,0.09259259259259259,0,0.0
23,16.0,46,0.09163346613545817,0,0.0
24,30.0,46,0.08646616541353383,0,0.0
25,15.0,48,0.08775137111517367,0,0.0
26,35.0,51,0.08762886597938144,0,0.0
27,31.0,52,0.08482871125611746,0,0.0
28,26.0,53,0.08294209702660407,0,0.0
29,15.0,54,0.08256880733944955,0,0.0
30,14.0,55,0.08233532934131736,0,0.0
31,9.0,57,0.08419497784342689,0,0.0
32,39.0,59,0.0824022346368715,0,0.0
33,39.0,62,0.08211920529801324,0,0.0
34,17.0,63,0.08160621761658031,0,0.0
35,21.0,64,0.0807061790668348,0,0.0
36,41.0,66,0.07913669064748201,0,0.0
37,13.0,68,0.08028335301062574,0,0.0
38,30.0,69,0.07867730900798175,0,0.0
39,43.0,70,0.07608695652173914,0,0.0
40,16.0,71,0.07585470085470085,0,0.0
41,23.0,72,0.07507820646506778,0,0.0
42,18.0,73,0.07471852610030706,0,0.0
43,44.0,74,0.07247796278158668,0,0.0
44,16.0,76,0.07328833172613308,0,0.0
45,22.0,77,0.07271010387157696,0,0.0
46,16.0,78,0.07255813953488371,0,0.0
