a,b,mean_a,mean_b,median_a,median_b,t_stat,t_p_raw,t_p_fdr,u_stat,u_p_raw,u_p_fdr
ppo_unshielded,ppo_reward_shaping,193.56599999999997,218.637,186.3,233.76500000000001,-1.0315972852452995,0.32346363693818686,0.5202891444214646,37.0,0.3447042220069576,0.5640614541932034
ppo_unshielded,ppo_semantic_loss,193.56599999999997,253.55300000000003,186.3,255.97,-1.9452812768253598,0.07900847130763824,0.2114724174326024,31.0,0.161972410480126,0.30689509354129135
ppo_unshielded,ppo_action_mask,193.56599999999997,171.89899999999997,186.3,170.105,2.136174061764284,0.04929024377488602,0.191741084346221,74.0,0.07566157214388701,0.22698471643166102
ppo_unshielded,ppo_preshield_soft,193.56599999999997,231.31000000000003,186.3,233.815,-2.712116776115337,0.014794908879484368,0.191741084346221,16.0,0.011329696684474666,0.101967270160272
ppo_unshielded,ppo_preshield_hard,193.56599999999997,269.676,186.3,238.83,-1.933754842224082,0.08223927344601203,0.2114724174326024,25.0,0.06402210128302689,0.22698471643166102
ppo_unshielded,ppo_layer_soft,193.56599999999997,263.88899999999995,186.3,220.19,-2.0319372808961504,0.06911031703110777,0.2114724174326024,27.0,0.08897301170181328,0.2287877443760913
ppo_unshielded,ppo_layer_hard,193.56599999999997,180.599,186.3,152.33499999999998,0.26158567246513137,0.7991936740955162,0.8681867356781526,65.0,0.27303633975118835,0.4680622967163229
ppo_unshielded,cppo,193.56599999999997,162.209,186.3,138.10000000000002,1.001926613019109,0.339018736596114,0.5202891444214646,61.0,0.4273553138978077,0.6302341246821161
ppo_reward_shaping,ppo_semantic_loss,218.637,253.55300000000003,233.76500000000001,255.97,-0.9348982770721925,0.36302788397772845,0.5202891444214646,42.0,0.5707503880581739,0.7085177231066987
ppo_reward_shaping,ppo_action_mask,218.637,171.89899999999997,233.76500000000001,170.105,1.9987871851851873,0.07346999137773347,0.2114724174326024,71.0,0.12122450301291661,0.27275513177906235
ppo_reward_shaping,ppo_preshield_soft,218.637,231.31000000000003,233.76500000000001,233.815,-0.5018971992038417,0.6241505661306999,0.7748075993346619,46.0,0.7913367801006604,0.890253877613243
ppo_reward_shaping,ppo_preshield_hard,218.637,269.676,233.76500000000001,238.83,-1.1432695494192182,0.27130409443373066,0.5052944797283153,40.0,0.47267559351158717,0.6302341246821161
ppo_reward_shaping,ppo_layer_soft,218.637,263.88899999999995,233.76500000000001,220.19,-1.1168511050649843,0.2807191554046196,0.5052944797283153,39.0,0.4273553138978077,0.6302341246821161
ppo_reward_shaping,ppo_layer_hard,218.637,180.599,233.76500000000001,152.33499999999998,0.7062073456145254,0.4927823350381684,0.6370103535910611,65.0,0.27303633975118835,0.4680622967163229
ppo_reward_shaping,cppo,218.637,162.209,233.76500000000001,138.10000000000002,1.4956655315037006,0.15334389052471675,0.3680253372593202,72.0,0.10410988966022681,0.24986373518454436
ppo_semantic_loss,ppo_action_mask,253.55300000000003,171.89899999999997,255.97,170.105,2.711179404637411,0.022646376300872934,0.191741084346221,73.0,0.08897301170181328,0.2287877443760913
ppo_semantic_loss,ppo_preshield_soft,253.55300000000003,231.31000000000003,255.97,233.815,0.7041378238850408,0.4954524972374919,0.6370103535910611,57.0,0.6231762238821174,0.7478114686585408
ppo_semantic_loss,ppo_preshield_hard,253.55300000000003,269.676,255.97,238.83,-0.3323594729481683,0.7437028441544423,0.8529664260648314,49.0,0.9698499769931556,1.0
ppo_semantic_loss,ppo_layer_soft,253.55300000000003,263.88899999999995,255.97,220.19,-0.23100689777855724,0.8199541392515886,0.8681867356781526,50.0,1.0,1.0
ppo_semantic_loss,ppo_layer_hard,253.55300000000003,180.599,255.97,152.33499999999998,1.2774501798747115,0.22107344659715408,0.44214689319430817,69.0,0.161972410480126,0.30689509354129135
ppo_semantic_loss,cppo,253.55300000000003,162.209,255.97,138.10000000000002,2.1628317855511265,0.04426261516752774,0.191741084346221,77.0,0.04515456962427901,0.22698471643166102
ppo_action_mask,ppo_preshield_soft,171.89899999999997,231.31000000000003,170.105,233.815,-4.8539557352532885,0.0003039010811744537,0.010940438922280332,5.0,0.0007685389131627666,0.027667400873859598
ppo_action_mask,ppo_preshield_hard,171.89899999999997,269.676,170.105,238.83,-2.5201955849662037,0.031837404013086254,0.191741084346221,15.0,0.009108496398030965,0.101967270160272
ppo_action_mask,ppo_layer_soft,171.89899999999997,263.88899999999995,170.105,220.19,-2.7080431492785606,0.023036950689018624,0.191741084346221,14.0,0.0072845570094796615,0.101967270160272
ppo_action_mask,ppo_layer_hard,171.89899999999997,180.599,170.105,152.33499999999998,-0.17709456259210798,0.8632624433009066,0.8879270845380753,60.0,0.47267559351158717,0.6302341246821161
ppo_action_mask,cppo,171.89899999999997,162.209,170.105,138.10000000000002,0.3167924411941703,0.7581923787242946,0.8529664260648314,60.0,0.47267559351158717,0.6302341246821161
ppo_preshield_soft,ppo_preshield_hard,231.31000000000003,269.676,233.815,238.83,-0.9603403084119753,0.35856177459757044,0.5202891444214646,42.0,0.5707503880581739,0.7085177231066987
ppo_preshield_soft,ppo_layer_soft,231.31000000000003,263.88899999999995,233.815,220.19,-0.9234315109482668,0.37576438208216884,0.5202891444214646,45.0,0.7337299956962472,0.8520735433891904
ppo_preshield_soft,ppo_layer_hard,231.31000000000003,180.599,233.815,152.33499999999998,1.0133707357306763,0.3349944965933365,0.5202891444214646,74.0,0.07566157214388701,0.22698471643166102
ppo_preshield_soft,cppo,231.31000000000003,162.209,233.815,138.10000000000002,2.156863673517258,0.05326141231839472,0.191741084346221,69.0,0.161972410480126,0.30689509354129135
ppo_preshield_hard,ppo_layer_soft,269.676,263.88899999999995,238.83,220.19,0.11348955314657351,0.9109214153994817,0.9109214153994817,50.0,1.0,1.0
ppo_preshield_hard,ppo_layer_hard,269.676,180.599,238.83,152.33499999999998,1.433815857469545,0.16970413584319582,0.37875241390362857,75.0,0.06402210128302689,0.22698471643166102
ppo_preshield_hard,cppo,269.676,162.209,238.83,138.10000000000002,2.2020066124763655,0.04173683379996953,0.191741084346221,74.0,0.07566157214388701,0.22698471643166102
ppo_layer_soft,ppo_layer_hard,263.88899999999995,180.599,220.19,152.33499999999998,1.4061942764454591,0.1788553065656024,0.37875241390362857,74.0,0.07566157214388701,0.22698471643166102
ppo_layer_soft,cppo,263.88899999999995,162.209,220.19,138.10000000000002,2.256487547985948,0.036867164923639284,0.191741084346221,74.0,0.07566157214388701,0.22698471643166102
ppo_layer_hard,cppo,180.599,162.209,152.33499999999998,138.10000000000002,0.32061504420898107,0.7529317038090192,0.8529664260648314,50.0,1.0,1.0
