episode,reward,violations,violation_rate,modifications,modification_rate
1,-10702,98,0.098,0,0.0
2,-1000,98,0.049,0,0.0
3,-1000,98,0.03266666666666666,0,0.0
4,-1000,98,0.0245,0,0.0
5,-1000,98,0.0196,0,0.0
6,-1000,98,0.01633333333333333,0,0.0
7,-1000,98,0.014,0,0.0
8,-1000,98,0.01225,0,0.0
9,-1297,101,0.011222222222222222,0,0.0
10,-1000,101,0.0101,0,0.0
11,-1000,101,0.009181818181818182,0,0.0
12,-1000,101,0.008416666666666666,0,0.0
13,-1000,101,0.00776923076923077,0,0.0
14,-1000,101,0.007214285714285714,0,0.0
15,-1000,101,0.006733333333333333,0,0.0
16,-1000,101,0.0063125,0,0.0
17,-1792,109,0.006411764705882353,0,0.0
18,-1000,109,0.006055555555555555,0,0.0
19,-1000,109,0.005736842105263158,0,0.0
20,-1000,109,0.00545,0,0.0
21,-1000,109,0.005190476190476191,0,0.0
22,-1495,114,0.0051818181818181815,0,0.0
23,-10603,211,0.009173913043478261,0,0.0
24,-1000,211,0.008791666666666666,0,0.0
25,-1693,218,0.00872,0,0.0
26,-1000,218,0.008384615384615384,0,0.0
27,-1000,218,0.008074074074074074,0,0.0
28,-1000,218,0.007785714285714286,0,0.0
29,-1099,219,0.007551724137931035,0,0.0
30,-1000,219,0.0073,0,0.0
31,-1000,219,0.007064516129032258,0,0.0
32,-1495,224,0.007,0,0.0
33,-1000,224,0.006787878787878788,0,0.0
34,-1000,224,0.006588235294117647,0,0.0
35,-1000,224,0.0064,0,0.0
36,-1000,224,0.006222222222222222,0,0.0
37,-1000,224,0.006054054054054054,0,0.0
38,-1000,224,0.005894736842105263,0,0.0
39,-1000,224,0.005743589743589744,0,0.0
40,-1000,224,0.0056,0,0.0
41,-1000,224,0.005463414634146341,0,0.0
42,-1000,224,0.005333333333333333,0,0.0
43,-1000,224,0.005209302325581395,0,0.0
44,-1000,224,0.005090909090909091,0,0.0
45,-1000,224,0.004977777777777778,0,0.0
46,-1000,224,0.004869565217391304,0,0.0
