episode,reward,violations,violation_rate,modifications,modification_rate
1,-116,4,0.034482758620689655,4,0.034482758620689655
2,-205,17,0.0529595015576324,17,0.0529595015576324
3,-116,24,0.05491990846681922,24,0.05491990846681922
4,-1000,60,0.04175365344467641,60,0.04175365344467641
5,-517,82,0.04196519959058342,82,0.04196519959058342
6,-474,102,0.042009884678747944,102,0.042009884678747944
7,-124,111,0.04349529780564263,111,0.04349529780564263
8,-371,122,0.041737940472117686,122,0.041737940472117686
9,-749,158,0.04302832244008715,158,0.04302832244008715
10,-121,166,0.04376482994990773,166,0.04376482994990773
11,-89,168,0.04327666151468315,168,0.04327666151468315
12,-88,171,0.043073047858942067,171,0.043073047858942067
13,-137,178,0.04334063793523253,178,0.04334063793523253
14,-309,192,0.043478260869565216,192,0.043478260869565216
15,-610,228,0.04536410664544369,228,0.04536410664544369
16,-182,237,0.04550691244239631,237,0.04550691244239631
17,-42,239,0.04552380952380952,239,0.04552380952380952
18,-127,243,0.04519248651664497,243,0.04519248651664497
19,-468,264,0.04516680923866553,264,0.04516680923866553
20,-460,299,0.04742268041237113,299,0.04742268041237113
21,-164,311,0.04807543669809863,311,0.04807543669809863
22,-205,316,0.047347917290979924,316,0.047347917290979924
23,-893,370,0.04889652438218581,370,0.04889652438218581
24,-136,373,0.048422692457484096,373,0.048422692457484096
25,-83,375,0.04816337015155407,375,0.04816337015155407
26,-264,391,0.04857142857142857,391,0.04857142857142857
27,-78,397,0.04884350393700788,397,0.04884350393700788
28,-233,412,0.0492764023442172,412,0.0492764023442172
29,-161,419,0.049166862238911056,419,0.049166862238911056
30,-279,438,0.04976707192364504,438,0.04976707192364504
31,-73,450,0.05070993914807302,450,0.05070993914807302
32,-246,471,0.051644736842105264,471,0.051644736842105264
33,-166,479,0.05158302821451648,479,0.05158302821451648
34,-158,494,0.05230834392206692,494,0.05230834392206692
35,-85,500,0.0524714030853185,500,0.0524714030853185
36,-248,514,0.05257236371074972,514,0.05257236371074972
37,-139,524,0.052843888664784185,524,0.052843888664784185
38,-116,536,0.05342902711323764,536,0.05342902711323764
