episode,reward,violations,violation_rate,modifications,modification_rate
1,-2584,19,0.019,16,0.016
2,-1000,19,0.0095,16,0.008
3,-1000,19,0.006333333333333333,16,0.005333333333333333
4,-1000,19,0.00475,16,0.004
5,-68,20,0.004916420845624385,17,0.004178957718780727
6,-342,20,0.0045351473922902496,17,0.003854875283446712
7,-139,20,0.004396570674873599,17,0.003737085073642559
8,-1000,21,0.003784465669489998,18,0.003243827716705713
9,-1198,23,0.0035119865628340206,20,0.0030539013589861047
10,-1000,23,0.0030467611604185984,20,0.0026493575307987814
11,-1000,23,0.0026903731430576675,20,0.0023394549070066676
12,-1000,23,0.00240862917582993,20,0.002094460152895591
13,-1000,23,0.002180301450374443,20,0.0018959143046734287
14,-1000,23,0.0019915144168326264,20,0.0017317516668109794
15,-1000,23,0.001832815363774006,20,0.001593752490238266
16,-1000,23,0.0016975422540408886,20,0.00147612369916599
17,-1000,23,0.001580864664238092,20,0.001374664925424428
18,-1000,23,0.0014791948035243424,20,0.0012862563508907324
19,-1000,23,0.0013898120732370536,20,0.0012085322375974378
20,-1000,23,0.001310615989515072,20,0.001139666077839193
21,-1000,23,0.0012399590274408325,20,0.0010782252412528978
22,-1000,23,0.0011765307688372806,20,0.0010230702337715484
23,-1000,23,0.0011192758771716386,20,0.0009732833714535987
24,-1000,24,0.0011137407768341918,21,0.0009745231797299178
25,-1000,25,0.0011086966162579272,22,0.000975653022306976
26,-1000,25,0.0010616162045097455,22,0.0009342222599685761
27,-1000,25,0.0010183714204244573,22,0.0008961668499735223
28,-1000,25,0.0009785118791342127,22,0.0008610904536381071
29,-1000,25,0.0009416550529210139,22,0.0008286564465704923
30,-1000,25,0.0009074739554974773,22,0.0007985770808377799
31,-1000,25,0.000875687414620477,22,0.0007706049248660199
32,-1000,25,0.0008460523198754611,22,0.0007445260414904057
33,-1000,25,0.0008183573930406888,22,0.0007201545058758061
34,-1000,25,0.0007924181432058068,22,0.00069732796602111
35,-1000,25,0.0007680727518510553,22,0.0006759040216289286
36,-1000,25,0.0007451786938507854,22,0.0006557572505886912
37,-1000,25,0.0007236099452950881,22,0.0006367767518596775
38,-1000,25,0.0007032546625784129,22,0.0006188641030690033
39,-1000,25,0.0006840132424963747,22,0.0006019316533968097
40,-1000,25,0.0006657966923220326,22,0.0005859010892433886
41,-1000,25,0.0006485252535733742,22,0.0005707022231445692
42,-1000,25,0.0006321272345697742,22,0.0005562719664214013
43,-1000,25,0.0006165380157340502,22,0.0005425534538459642
44,-1000,25,0.0006016991985366676,22,0.0005294952947122674
45,-1099,25,0.0005875578744506334,22,0.0005170509295165574
46,-1000,25,0.0005740659946267423,22,0.0005051780752715333
47,-1000,25,0.0005611798244629509,22,0.0004938382455273968
48,-1000,25,0.0005488594700212957,22,0.00048299633361874024
49,-1000,25,0.0005370684654879804,22,0.00047262024962942275
50,-1000,25,0.0005257734126900671,22,0.000462680603167259
51,-1000,25,0.0005149436651630311,22,0.0004531504253434674
52,-1000,25,0.000504551050475287,22,0.0004440049244182526
53,-1000,25,0.0004945696255118795,22,0.00043522127045045404
54,-1000,25,0.0004849754602417118,22,0.00042677840501270637
55,-1000,25,0.00047574644617404707,22,0.0004186568726331614
56,-1000,26,0.00048553661132794265,23,0.00042951315617471847
57,-1000,26,0.0004766356853471191,23,0.00042163926011475923
58,-1000,26,0.000468055230517201,23,0.0004140488577652163
59,-1000,26,0.0004597782454154804,23,0.0004067269094060019
60,-1000,26,0.0004517889103199013,23,0.000399659420667605
61,-1000,26,0.0004440724862935319,23,0.0003928333532596628
62,-1000,26,0.00043661522443701824,23,0.00038623654469428537
63,-1000,26,0.0004294042841335117,23,0.00037985763596426036
64,-1000,26,0.00042242765926335117,23,0.000373686006271426
65,-1000,26,0.0004156741114965867,23,0.0003677117140162113
66,-1000,26,0.0004091331098837118,23,0.0003619254433586681
67,-1000,26,0.0004027947760615966,23,0.000356318455746797
68,-1000,26,0.0003966498344749729,23,0.0003508825458817068
69,-1000,26,0.0003906895670859066,23,0.0003456100016529174
70,-1000,26,0.0003849057721061748,23,0.00034049356763238536
71,-1000,26,0.00037929072634174094,23,0.00033552641176384774
72,-1000,26,0.00037383715078577695,23,0.0003307020949258796
73,-1000,26,0.0003685381791379042,23,0.0003260145430835306
74,-1000,26,0.0003633873289633678,23,0.00032145802177528687
75,-1000,26,0.00035837847523742576,23,0.00031702711271003044
76,-1000,26,0.0003535058260479408,23,0.00031271669227317844
77,-1000,26,0.00034876390025352454,23,0.00030852191176273326
78,-1000,26,0.00034414750691604126,23,0.00030443817919495957
79,-1099,26,0.0003396517263452168,23,0.0003004611425361533
80,-1000,26,0.0003352718926098338,23,0.00029658667423177604
81,-1000,26,0.0003310035773848171,23,0.0002928108569173382
82,-1000,26,0.0003268425750166564,23,0.0002891299702070422
83,-1000,26,0.0003227848887012874,23,0.0002855404784665235
84,-1000,26,0.0003188267176789415,23,0.00028203901948521746
85,-1000,26,0.00031496444535972576,23,0.00027862239397206506
86,-1000,26,0.00031119462830195456,23,0.00027528755580557516
87,-1000,26,0.00030751398597263127,23,0.0002720316029757892
88,-1000,26,0.000303919391226081,23,0.00026885176916153315
89,-1000,26,0.000300407861442651,23,0.00026574541589157585
90,-1000,26,0.0002969765502747033,23,0.0002627100252430068
91,-1000,26,0.00029362273995189105,23,0.00025974319303436513
92,-1000,26,0.000290343834102,23,0.00025684262247484616
93,-1000,26,0.00028713735104749915,23,0.00025400611823432617
94,-1000,26,0.0002840009175414259,23,0.0002512315809020306
95,-1000,26,0.0002809322629093777,23,0.0002485170018044495
96,-1000,26,0.00027792921356722147,23,0.000245860458155619
97,-1000,26,0.00027498968788670426,23,0.00024326010851516145
98,-1000,26,0.00027211169138347864,23,0.0002407141885315388
99,-1000,26,0.00026929331220416577,23,0.00023822100694983895
100,-1000,26,0.0002665327168909984,23,0.00023577894186511394
101,-1000,26,0.0002638281464043268,23,0.00023338643720382754
102,-1000,26,0.0002611779123848557,23,0.00023104199941737235
103,-1000,26,0.0002585803936389223,23,0.00022874419437289283
104,-1000,26,0.000256034032831441,23,0.00022649164442781317
105,-1000,26,0.0002535373333723391,23,0.00022428302567553072
106,-1000,26,0.000251088856483404,23,0.00022211706535070353
107,-1000,26,0.00024868721843346184,23,0.000219992539383447
108,-1000,26,0.00024633108793072414,23,0.00021790827009256363
109,-1000,26,0.00024401918366197712,23,0.00021586312400867207
110,-1000,26,0.00024175027196905597,23,0.0002138560098187803
111,-1000,26,0.00023952316465375084,23,0.0002118858764244719
112,-1000,26,0.0002373367169029384,23,0.0002099517111064455
113,-1000,26,0.00023518982532632588,23,0.0002080525377886729
114,-1000,26,0.0002330814260997409,23,0.00020618741539592467
115,-1000,26,0.000231010493207403,23,0.0002043554362988565
116,-1000,26,0.0002289760367770742,23,0.00020255572484125797
117,-1000,26,0.00022697710150241382,23,0.000200787435944443
118,-1000,26,0.00022501276514725355,23,0.00019904975378410891
119,-1000,26,0.00022308213712687367,23,0.00019734189053531134
120,-1000,26,0.00022118435716169426,23,0.0001956630851814988
121,-1000,26,0.00021931859399910585,23,0.0001940126023838244
122,-1000,26,0.0002174840441994496,23,0.00019238973140720542
123,-1000,26,0.00021567993098242207,23,0.00019079378509983492
124,-1000,26,0.00021390550313042477,23,0.00018922409892306805
125,-1000,26,0.00021216003394560544,23,0.0001876800300288048
126,-1000,26,0.00021044282025754963,23,0.00018616095638167852
127,-1000,26,0.00020875318147877542,23,0.0001846662759235321
128,-1000,26,0.00020709045870536603,23,0.0001831954057778238
129,-1000,26,0.00020545401386024386,23,0.00018174778149175418
130,-1000,26,0.0002038432288767454,23,0.00018032285631404402
131,-1000,26,0.00020225750492030276,23,0.00017892010050642168
132,-1000,26,0.0002006962616461725,23,0.00017753900068699874
133,-1099,26,0.00019915893649127914,23,0.00017617905920382386
134,-1000,26,0.00019764498399835802,23,0.00017483979353700904
135,-1000,26,0.0001961538751706916,23,0.00017352073572791948
136,-1000,26,0.00019468509685583569,23,0.00017222143183400848
137,-1000,26,0.00019323815115682762,23,0.0001709414414079629
138,-1000,26,0.0001918125548694568,23,0.0001696803369999041
139,-1000,26,0.00019040783894426177,23,0.00016843770368146234
140,-1000,26,0.00018902354797199544,23,0.00016721313859061136
141,-1000,26,0.00018765923969137272,23,0.00016600625049621433
142,-1000,26,0.00018631448451798292,23,0.0001648166593812926
143,-1000,26,0.00018498886509331266,23,0.00016364399604408428
144,-1000,26,0.00018368197585288487,23,0.00016248790171601355
145,-1000,26,0.00018239342261257532,23,0.0001613480276957397
146,-1000,26,0.00018112282217221993,23,0.00016022403499850224
147,-1000,26,0.00017986980193567578,23,0.0001591155940200209
148,-1000,26,0.00017863399954654447,23,0.00015802238421425087
149,-1000,26,0.00017741506253880955,23,0.00015694409378433152
150,-1000,26,0.0001762126480016808,23,0.00015588041938610224
151,-1000,26,0.0001750264222579755,23,0.0001548310658435937
152,-1000,26,0.00017385606055540326,23,0.00015379574587593364
153,-1000,26,0.00017270124677015456,23,0.00015277417983513674
154,-1000,26,0.0001715616731222245,23,0.00015176609545427552
155,-1000,26,0.00017043703990193314,23,0.00015077122760555624
156,-1000,26,0.00016932705520713258,23,0.00014978931806784805
157,-1000,26,0.0001682314346906159,23,0.00014882011530323717
158,-1000,26,0.0001671499013172698,23,0.0001478633742422002
159,-1000,26,0.0001660821851305342,23,0.00014691885607701104
160,-1000,26,0.00016502802302775644,23,0.0001459863280630153
161,-1000,26,0.00016398715854404631,23,0.00014506556332742558
162,-1000,26,0.00016295934164425977,23,0.0001441563406853067
163,-1000,26,0.0001619443285227563,23,0.00014325844446243827
164,-1000,26,0.00016094188141059368,23,0.00014237166432475595
165,-1000,26,0.00015995176838983936,23,0.00014149579511408866
166,-1000,26,0.00015897376321469408,23,0.00014063063668992166
167,-1000,26,0.00015800764513913788,23,0.00013977599377692967
168,-1000,26,0.00015705319875082303,23,0.00013893167581803574
169,-1000,26,0.00015611021381095052,23,0.00013809749683276392
170,-1000,26,0.00015517848509988123,23,0.00013727327528066416
171,-1000,26,0.00015425781226824248,23,0.0001364588339295991
172,-1000,26,0.000153347999693304,23,0.000135653999728692
173,-1000,26,0.00015244885634040656,23,0.00013485860368574429
174,-1000,26,0.00015156019562923714,23,0.00013407248074894055
175,-1000,26,0.00015068183530475403,23,0.00013329546969266702
176,-1000,26,0.00014981359731257453,23,0.00013252741300727748
177,-1000,27,0.00015468435797397865,24,0.00013749720708798103
178,-1000,27,0.00015380321163891564,24,0.00013671396590125834
179,-1000,27,0.00015293204719369694,24,0.00013593959750550838
180,-1000,27,0.00015207069597688525,24,0.00013517395197945356
181,-1000,27,0.00015121899310553406,24,0.0001344168827604747
182,-1000,27,0.00015037677736996587,24,0.00013366824655108078
183,-1000,27,0.00014954389113204725,24,0.00013292790322848644
184,-1000,27,0.0001487201802268258,24,0.0001321957157571785
185,-1000,27,0.00014790549386739998,24,0.00013147155010435554
186,-1000,27,0.00014709968455289867,24,0.00013075527515813215
187,-1000,27,0.0001463026079794526,24,0.0001300467626484023
188,-1000,27,0.00014551412295404448,24,0.00012934588707026176
189,-1000,27,0.00014473409131113006,24,0.00012865252560989338
190,-1000,27,0.00014396237783192658,24,0.00012796655807282363
191,-1000,27,0.00014319885016626977,24,0.00012728786681446202
192,-1000,27,0.00014244337875694412,24,0.0001266163366728392
193,-1000,27,0.00014169583676639603,24,0.00012595185490346314
194,-1099,27,0.00014095610000574264,24,0.00012529431111621569
195,-1000,27,0.00014022404686599255,24,0.0001246435972142156
196,-1000,27,0.00013949955825139887,24,0.00012399960733457677
197,-1000,27,0.0001387825175148677,24,0.00012336223779099354
198,-1000,27,0.00013807281039534847,24,0.00012273138701808753
199,-1000,27,0.00013737032495713536,24,0.00012210695551745365
200,-1000,27,0.00013667495153101255,24,0.00012148884580534449
201,-1000,27,0.00013598658265717782,24,0.00012087696236193584
202,-1000,27,0.0001353051130298824,24,0.00012027121158211767
203,-1000,27,0.00013463043944372696,24,0.00011967150172775731
204,-1000,27,0.00013396246074155664,24,0.00011907774288138369
205,-1000,27,0.0001333010777638991,24,0.00011848984690124364
206,-1000,27,0.0001326461932998934,24,0.00011790772737768301
207,-1000,27,0.000131997712039658,24,0.0001173312995908071
208,-1000,27,0.00013135554052804929,24,0.00011676048046937713
209,-1000,27,0.00013071958711976335,24,0.00011619518855090076
210,-1000,27,0.00013008976193573565,24,0.00011563534394287615
211,-1000,27,0.00012946597682079512,24,0.0001150808682851512
212,-1000,27,0.00012884814530253068,24,0.0001145316847133606
213,-1000,27,0.0001282361825513301,24,0.00011398771782340452
214,-1000,27,0.00012763000534155207,24,0.00011344889363693518
