episode,reward,violations,violation_rate,modifications,modification_rate
1,-335,33,0.09850746268656717,33,0.09850746268656717
2,-366,56,0.07988587731811697,56,0.07988587731811697
3,-437,78,0.06854130052724078,78,0.06854130052724078
4,-174,89,0.06783536585365854,89,0.06783536585365854
5,-141,95,0.0653819683413627,95,0.0653819683413627
6,-178,101,0.061925199264255056,101,0.061925199264255056
7,-133,113,0.06405895691609978,113,0.06405895691609978
8,-150,117,0.061128526645768025,117,0.061128526645768025
9,-164,128,0.061597690086621755,128,0.061597690086621755
10,-244,131,0.056416881998277345,131,0.056416881998277345
11,-111,137,0.056309083436087135,137,0.056309083436087135
12,-158,151,0.05827865688923196,151,0.05827865688923196
13,-89,152,0.056716417910447764,152,0.056716417910447764
14,-62,157,0.05725747629467542,157,0.05725747629467542
15,-111,161,0.05643182614791448,161,0.05643182614791448
16,-75,164,0.056010928961748634,164,0.056010928961748634
17,-57,167,0.0559463986599665,167,0.0559463986599665
18,-131,168,0.05391527599486521,168,0.05391527599486521
19,-81,173,0.05411323115420707,173,0.05411323115420707
20,-84,176,0.05364218226150564,176,0.05364218226150564
21,-57,181,0.054224086279209105,181,0.054224086279209105
22,-45,185,0.05468519065917824,185,0.05468519065917824
23,-73,193,0.055844907407407406,193,0.055844907407407406
24,-48,196,0.05593607305936073,196,0.05593607305936073
25,-51,198,0.05569620253164557,198,0.05569620253164557
26,-41,199,0.05533926585094549,199,0.05533926585094549
27,-52,201,0.055098684210526314,201,0.055098684210526314
28,-136,208,0.05496828752642706,208,0.05496828752642706
29,-158,216,0.0547945205479452,216,0.0547945205479452
30,-66,220,0.054890219560878244,220,0.054890219560878244
31,-58,222,0.05459911460895229,222,0.05459911460895229
32,-37,224,0.05459419936631733,224,0.05459419936631733
33,-37,226,0.05458937198067633,226,0.05458937198067633
34,-57,231,0.055039313795568263,231,0.055039313795568263
35,-34,234,0.05530607421413378,234,0.05530607421413378
36,-83,236,0.054705609643022714,236,0.054705609643022714
37,-36,241,0.05540229885057471,241,0.05540229885057471
38,-81,246,0.055517941773865945,246,0.055517941773865945
39,-37,249,0.055729632945389435,249,0.055729632945389435
40,-57,251,0.05546961325966851,251,0.05546961325966851
41,-30,257,0.05642151481888035,257,0.05642151481888035
42,-115,270,0.057815845824411134,270,0.057815845824411134
43,-48,272,0.05765154726579059,272,0.05765154726579059
44,-38,275,0.05782169890664424,275,0.05782169890664424
45,-54,280,0.058212058212058215,280,0.058212058212058215
46,-53,281,0.05778326136129961,281,0.05778326136129961
47,-28,283,0.05786137804130035,283,0.05786137804130035
48,-61,287,0.05795638126009693,287,0.05795638126009693
49,-41,291,0.058281594231924694,291,0.058281594231924694
50,-26,293,0.05837816298067344,293,0.05837816298067344
51,-53,297,0.058556782334384855,297,0.058556782334384855
