episode,reward,violations,violation_rate,modifications,modification_rate
1,-3532.0,27,0.03245192307692308,0,0.0
2,-853.0,28,0.017665615141955835,0,0.0
3,-85,28,0.016766467065868262,0,0.0
4,-190,28,0.015053763440860216,0,0.0
5,-146,28,0.013958125623130608,0,0.0
6,-1550.0,38,0.01486697965571205,0,0.0
7,-139.0,39,0.015028901734104046,0,0.0
8,-779.0,44,0.015309672929714684,0,0.0
9,-55,44,0.015022191874359849,0,0.0
10,-169,44,0.014202711426726921,0,0.0
11,-315.0,45,0.013582855418050106,0,0.0
12,-51,45,0.0133769322235434,0,0.0
13,-276.0,46,0.012994350282485875,0,0.0
14,-509.0,49,0.013070152040544144,0,0.0
15,-119,49,0.012668045501551189,0,0.0
16,-72,49,0.012436548223350254,0,0.0
17,-75,49,0.012204234122042341,0,0.0
18,-38,49,0.012089810017271158,0,0.0
19,-697.0,55,0.01325301204819277,0,0.0
20,-130.0,56,0.013397129186602871,0,0.0
21,-263.0,58,0.01366957341503653,0,0.0
22,-58,58,0.013485235991629853,0,0.0
23,-173.0,59,0.013488797439414724,0,0.0
24,-864.0,66,0.014543851917144116,0,0.0
25,-259.0,68,0.0147922558190124,0,0.0
26,-30,68,0.014696347525394424,0,0.0
27,-184.0,69,0.014646571853109743,0,0.0
28,-1084.0,78,0.015934627170582225,0,0.0
29,-48,78,0.01577989075460247,0,0.0
30,-503.0,82,0.016250495441934205,0,0.0
31,-582.0,86,0.016449885233358837,0,0.0
32,-45,86,0.01630950123269486,0,0.0
33,-45,86,0.016171493042497178,0,0.0
34,-260.0,88,0.016362960208255856,0,0.0
35,-183.0,89,0.016297381431972166,0,0.0
36,-58,89,0.016126109802500455,0,0.0
37,-142.0,90,0.016184139543247617,0,0.0
38,-61,90,0.016008537886873,0,0.0
39,-347.0,92,0.01594730455884902,0,0.0
40,-40,92,0.015837493544499915,0,0.0
41,-40,92,0.015729184475978798,0,0.0
42,-57,92,0.015577378936674569,0,0.0
43,-63,92,0.015412966996146759,0,0.0
44,-67,92,0.015241882041086813,0,0.0
45,-58,92,0.015096816540859863,0,0.0
46,-60,92,0.014949626259343516,0,0.0
47,-50,92,0.014829142488716958,0,0.0
48,-181.0,93,0.014797136038186158,0,0.0
49,-37,93,0.014710534640936412,0,0.0
50,-66,93,0.014558547276142768,0,0.0
51,-39,93,0.014470203827602304,0,0.0
52,-57,93,0.014342998149290562,0,0.0
53,-43,93,0.014248506204994637,0,0.0
54,-76,93,0.014084507042253521,0,0.0
55,-50,93,0.01397865624530287,0,0.0
56,-28,93,0.013920071845532105,0,0.0
57,-32,93,0.013853716669149412,0,0.0
58,-53,93,0.013745196571090747,0,0.0
59,-31,93,0.013682506988377226,0,0.0
60,-54,93,0.013574660633484163,0,0.0
61,-37,93,0.013501742160278746,0,0.0
62,-43,93,0.013417977203866687,0,0.0
63,-23,93,0.013373597929249352,0,0.0
64,-33,93,0.013310433662516101,0,0.0
65,-20,93,0.013272441843870416,0,0.0
66,-25,93,0.013225255972696246,0,0.0
67,-22,93,0.01318400907286646,0,0.0
68,-30,93,0.013128176171654432,0,0.0
69,-20,93,0.013091216216216216,0,0.0
70,-28,93,0.013039820527201346,0,0.0
71,-22,93,0.012999720436119654,0,0.0
72,-23,93,0.012958060470948864,0,0.0
73,-26,93,0.012911286963765098,0,0.0
74,-26,93,0.012864849910084382,0,0.0
75,-22,93,0.012825817128671908,0,0.0
76,-20,93,0.01279053775271627,0,0.0
77,-23,93,0.0127502056484782,0,0.0
78,-18,93,0.012718818380743983,0,0.0
79,-17,93,0.012689316414244782,0,0.0
80,-26,93,0.01264445955132563,0,0.0
81,-17,93,0.012615301139446554,0,0.0
82,-21,93,0.012579467063438387,0,0.0
83,-24,93,0.01253876230281785,0,0.0
84,-15,93,0.01251345532831001,0,0.0
85,-17,93,0.012484897301651228,0,0.0
86,-17,93,0.012456469327618538,0,0.0
87,-22,93,0.012419871794871794,0,0.0
88,-18,93,0.012390087929656275,0,0.0
89,-18,93,0.012360446570972886,0,0.0
90,-17,93,0.012332581885691554,0,0.0
91,-14,93,0.012309728656518863,0,0.0
92,-114.0,94,0.012419077817413133,0,0.0
93,-16,94,0.012392880685563613,0,0.0
94,-119.0,95,0.012493424513413993,0,0.0
95,-16,95,0.012467191601049869,0,0.0
96,-15,95,0.012442698100851343,0,0.0
97,-16,95,0.012416677558489086,0,0.0
98,-16,95,0.012390765618886135,0,0.0
99,-16,95,0.012364961603540284,0,0.0
100,-23,95,0.012328056060212821,0,0.0
101,-17,95,0.012300919331865855,0,0.0
102,-17,95,0.01227390180878553,0,0.0
103,-15,95,0.012250161186331399,0,0.0
104,-15,95,0.012226512226512226,0,0.0
105,-15,95,0.012202954399486191,0,0.0
106,-19,95,0.012173244490005125,0,0.0
107,-19,95,0.012143678895564362,0,0.0
108,-17,95,0.01211734693877551,0,0.0
109,-19,95,0.012088051915001908,0,0.0
110,-15,95,0.012065024130048261,0,0.0
111,-15,95,0.012042083914311066,0,0.0
112,-20,95,0.012011632317612845,0,0.0
113,-17,95,0.011985869290941207,0,0.0
114,-13,95,0.011966242599823656,0,0.0
115,-15,95,0.011943676137792306,0,0.0
116,-20,95,0.011913719588663156,0,0.0
117,-15,95,0.011891350607084742,0,0.0
118,-13,95,0.011872031992002,0,0.0
119,-17,95,0.01184686369871555,0,0.0
120,-13,95,0.011827689243027888,0,0.0
121,-13,95,0.011808576755748913,0,0.0
122,-15,95,0.011786600496277916,0,0.0
123,-15,95,0.011764705882352941,0,0.0
124,-15,95,0.011742892459826947,0,0.0
125,-17,95,0.011718268163315653,0,0.0
126,-15,95,0.011696626446688008,0,0.0
127,-17,95,0.011672195601425236,0,0.0
128,-15,95,0.011650723571253373,0,0.0
129,-15,95,0.011629330395397234,0,0.0
130,-17,95,0.011605179574883948,0,0.0
131,-13,95,0.011586778875472619,0,0.0
132,-13,95,0.011568436434486119,0,0.0
133,-13,95,0.011550151975683891,0,0.0
134,-13,95,0.01153192522456907,0,0.0
135,-15,95,0.011510965709438992,0,0.0
136,-13,95,0.011492862327607064,0,0.0
137,-15,95,0.011472044439077405,0,0.0
138,-19,95,0.01144578313253012,0,0.0
139,-18,95,0.011421014666987257,0,0.0
140,-13,95,0.011403192894010324,0,0.0
