a,b,mean_a,mean_b,median_a,median_b,t_stat,t_p_raw,t_p_fdr,u_stat,u_p_raw,u_p_fdr
ppo_unshielded,ppo_reward_shaping,-245.57199999999997,-362.15900000000005,-18.855,-26.295,0.526361973703411,0.6054505205247547,0.8952639616484264,56.0,0.6775849579524755,0.9357139431211425
ppo_unshielded,ppo_semantic_loss,-245.57199999999997,-412.44800000000015,-18.855,-24.814999999999998,0.7942634604434518,0.43766075998330306,0.7161721526999505,67.0,0.21212191786139534,0.9357139431211425
ppo_unshielded,ppo_action_mask,-245.57199999999997,-19.932,-18.855,-19.73,-1.660172178882131,0.13124978229185177,0.27794071544156845,58.0,0.5707503880581739,0.9357139431211425
ppo_unshielded,ppo_preshield_soft,-245.57199999999997,-290.141,-18.855,-22.16,0.19300317009879367,0.8493196008612532,0.9068663241843616,63.0,0.3447042220069576,0.9357139431211425
ppo_unshielded,ppo_preshield_hard,-245.57199999999997,-19.127000000000002,-18.855,-19.15,-1.6660961827925638,0.1300459950759545,0.27794071544156845,52.0,0.9097218891455553,0.9357139431211425
ppo_unshielded,ppo_layer_soft,-245.57199999999997,-319.59600000000006,-18.855,-21.285,0.3625937959845787,0.7211848579945657,0.8952639616484264,62.0,0.3846730627355087,0.9357139431211425
ppo_unshielded,ppo_layer_hard,-245.57199999999997,-19.752,-18.855,-19.615000000000002,-1.6614987314789837,0.13097950068851325,0.27794071544156845,57.0,0.6231762238821174,0.9357139431211425
ppo_unshielded,cppo,-245.57199999999997,-246.92300000000006,-18.855,-23.365000000000002,0.007194168655239068,0.9943392459289863,0.9943392459289863,55.5,0.7053513720635047,0.9357139431211425
ppo_reward_shaping,ppo_semantic_loss,-362.15900000000005,-412.44800000000015,-26.295,-24.814999999999998,0.21202146142145042,0.8344906429532057,0.9068663241843616,53.0,0.8500510248972775,0.9357139431211425
ppo_reward_shaping,ppo_action_mask,-362.15900000000005,-19.932,-26.295,-19.73,-1.9567618076365012,0.08207017913375615,0.27794071544156845,40.0,0.47267559351158717,0.9357139431211425
ppo_reward_shaping,ppo_preshield_soft,-362.15900000000005,-290.141,-26.295,-22.16,-0.28152370606816873,0.7815331794899213,0.9068663241843616,53.0,0.8501067391385259,0.9357139431211425
ppo_reward_shaping,ppo_preshield_hard,-362.15900000000005,-19.127000000000002,-26.295,-19.15,-1.9613653799649386,0.0814652614436609,0.27794071544156845,40.0,0.47267559351158717,0.9357139431211425
ppo_reward_shaping,ppo_layer_soft,-362.15900000000005,-319.59600000000006,-26.295,-21.285,-0.18351345363162572,0.8564848617296749,0.9068663241843616,51.0,0.9698499769931556,0.9698499769931556
ppo_reward_shaping,ppo_layer_hard,-362.15900000000005,-19.752,-26.295,-19.615000000000002,-1.9577925518451096,0.08193445821296967,0.27794071544156845,40.0,0.47267559351158717,0.9357139431211425
ppo_reward_shaping,cppo,-362.15900000000005,-246.92300000000006,-26.295,-23.365000000000002,-0.5294023092194251,0.6035377036439841,0.8952639616484264,45.0,0.7337299956962472,0.9357139431211425
ppo_semantic_loss,ppo_action_mask,-412.44800000000015,-19.932,-24.814999999999998,-19.73,-2.4498606658724214,0.03676492352168178,0.27794071544156845,30.0,0.1403158334701604,0.9357139431211425
ppo_semantic_loss,ppo_preshield_soft,-412.44800000000015,-290.141,-24.814999999999998,-22.16,-0.4971517505010986,0.6252371032892203,0.8952639616484264,48.0,0.9095864090443472,0.9357139431211425
ppo_semantic_loss,ppo_preshield_hard,-412.44800000000015,-19.127000000000002,-24.814999999999998,-19.15,-2.454886207911097,0.03646311975982211,0.27794071544156845,28.0,0.10397974445898674,0.9357139431211425
ppo_semantic_loss,ppo_layer_soft,-412.44800000000015,-319.59600000000006,-24.814999999999998,-21.285,-0.4199960180245343,0.6794716181001174,0.8952639616484264,47.0,0.8500510248972775,0.9357139431211425
ppo_semantic_loss,ppo_layer_hard,-412.44800000000015,-19.752,-24.814999999999998,-19.615000000000002,-2.4509864392773153,0.03669718510377635,0.27794071544156845,30.0,0.1403158334701604,0.9357139431211425
ppo_semantic_loss,cppo,-412.44800000000015,-246.92300000000006,-24.814999999999998,-23.365000000000002,-0.8032610554173227,0.4327557874874282,0.7161721526999505,42.0,0.5701699724963722,0.9357139431211425
ppo_action_mask,ppo_preshield_soft,-19.932,-290.141,-19.73,-22.16,1.447361589628995,0.181713962368116,0.32708513226260877,58.0,0.5707503880581739,0.9357139431211425
ppo_action_mask,ppo_preshield_hard,-19.932,-19.127000000000002,-19.73,-19.15,-1.9203370309812642,0.07112782101346883,0.27794071544156845,30.5,0.15077333785344002,0.9357139431211425
ppo_action_mask,ppo_layer_soft,-19.932,-319.59600000000006,-19.73,-21.285,1.9671595266195776,0.08070973445242308,0.27794071544156845,54.0,0.7913367801006604,0.9357139431211425
ppo_action_mask,ppo_layer_hard,-19.932,-19.752,-19.73,-19.615000000000002,-0.46148587355201537,0.6505346571287768,0.8952639616484264,47.5,0.8797843010569926,0.9357139431211425
ppo_action_mask,cppo,-19.932,-246.92300000000006,-19.73,-23.365000000000002,1.7516310693708348,0.11375097544495828,0.27794071544156845,60.0,0.47267559351158717,0.9357139431211425
ppo_preshield_soft,ppo_preshield_hard,-290.141,-19.127000000000002,-22.16,-19.15,-1.4516740527380176,0.18054179060297468,0.32708513226260877,32.0,0.18587673236587599,0.9357139431211425
ppo_preshield_soft,ppo_layer_soft,-290.141,-319.59600000000006,-22.16,-21.285,0.12224340824368857,0.9041147761079943,0.9299466268539369,47.0,0.8501067391385259,0.9357139431211425
ppo_preshield_soft,ppo_layer_hard,-290.141,-19.752,-22.16,-19.615000000000002,-1.4483267590962943,0.18145112710054564,0.32708513226260877,43.5,0.6500246299061012,0.9357139431211425
ppo_preshield_soft,cppo,-290.141,-246.92300000000006,-22.16,-23.365000000000002,-0.1901712009530681,0.8515610892763592,0.9068663241843616,46.5,0.8205295061094116,0.9357139431211425
ppo_preshield_hard,ppo_layer_soft,-19.127000000000002,-319.59600000000006,-19.15,-21.285,1.9724450492985264,0.08002651750572323,0.27794071544156845,61.0,0.4273553138978077,0.9357139431211425
ppo_preshield_hard,ppo_layer_hard,-19.127000000000002,-19.752,-19.15,-19.615000000000002,1.7523540502862927,0.09731395594652004,0.27794071544156845,67.5,0.1985957586332152,0.9357139431211425
ppo_preshield_hard,cppo,-19.127000000000002,-246.92300000000006,-19.15,-23.365000000000002,1.7578443515731985,0.11264378391474612,0.27794071544156845,63.0,0.3447042220069576,0.9357139431211425
ppo_layer_soft,ppo_layer_hard,-319.59600000000006,-19.752,-21.285,-19.615000000000002,-1.9683432034485764,0.08055636830037971,0.27794071544156845,45.0,0.7337299956962472,0.9357139431211425
ppo_layer_soft,cppo,-319.59600000000006,-246.92300000000006,-21.285,-23.365000000000002,-0.3633723030971325,0.720667105509223,0.8952639616484264,46.0,0.7913367801006604,0.9357139431211425
ppo_layer_hard,cppo,-19.752,-246.92300000000006,-19.615000000000002,-23.365000000000002,1.7530226153666286,0.1135023079183848,0.27794071544156845,60.0,0.47267559351158717,0.9357139431211425
