method,display_name,metric,n,mean,std,median,iqr,q1,q3,min,max,ci_lo_95,ci_hi_95
ppo_unshielded,PPO (Unshielded),reward,10,-245.57199999999997,429.7954168050966,-18.855,178.1175,-195.195,-17.0775,-1181.17,-15.77,-532.430725,-18.285625000000007
ppo_unshielded,PPO (Unshielded),viol_rate,10,0.0005135865141473429,0.0007992360865185617,1.6785282664160063e-05,0.001090004816259353,0.0,0.001090004816259353,0.0,0.00183,4.26350869231775e-05,0.001019994930096789
ppo_unshielded,PPO (Unshielded),mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_reward_shaping,PPO + Reward Shaping,reward,10,-362.15900000000005,553.0642604506079,-26.295,745.4250000000001,-762.0075,-16.5825,-1328.68,-15.71,-710.318675,-27.36662500000017
ppo_reward_shaping,PPO + Reward Shaping,viol_rate,10,0.002168259837153121,0.003106904209688069,0.0007000000000000001,0.0028906410256410255,0.0,0.0028906410256410255,0.0,0.008170961659333752,0.0005679500000000003,0.004134671399789099
ppo_reward_shaping,PPO + Reward Shaping,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_semantic_loss,PPO + Semantic Loss,reward,10,-412.44800000000015,506.65826420225744,-24.814999999999998,965.615,-984.8275,-19.2125,-1061.38,-16.65,-711.914125,-118.89382499999998
ppo_semantic_loss,PPO + Semantic Loss,viol_rate,10,0.0019090141049342441,0.002693305391752877,0.00035836629406706794,0.00397312306845094,0.0,0.00397312306845094,0.0,0.00677710843373494,0.00044280478590700965,0.0036106114917397823
ppo_semantic_loss,PPO + Semantic Loss,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_action_mask,PPO + Action Mask,reward,10,-19.932,1.0016297830147738,-19.73,0.7100000000000009,-20.0,-19.29,-22.03,-18.75,-20.569,-19.397
ppo_action_mask,PPO + Action Mask,viol_rate,10,0.30182622584826335,0.025990475548337288,0.30975181253557027,0.03496108754450611,0.28531214392803594,0.32027323147254205,0.2493465760585468,0.327683615819209,0.285713708143481,0.31587558088326334
ppo_action_mask,PPO + Action Mask,mod_rate,10,0.30182622584826335,0.025990475548337288,0.30975181253557027,0.03496108754450611,0.28531214392803594,0.32027323147254205,0.2493465760585468,0.327683615819209,0.285713708143481,0.31587558088326334
ppo_preshield_soft,PPO + Pre-emptive (Soft),reward,10,-290.141,590.3670931895773,-22.16,11.322500000000002,-30.1325,-18.81,-1724.68,-16.73,-658.06775,-21.018
ppo_preshield_soft,PPO + Pre-emptive (Soft),viol_rate,10,0.002470389978021782,0.003245368393794508,0.0016960262698615114,0.0023591213473873134,0.00014132278123233464,0.002500444128619648,0.0,0.01032,0.0008200748913452296,0.004586135030857273
ppo_preshield_soft,PPO + Pre-emptive (Soft),mod_rate,10,0.002241115105277682,0.002713067237931179,0.0016960262698615114,0.0023591213473873134,0.00014132278123233464,0.002500444128619648,0.0,0.00849,0.0008200748913452296,0.0039886165794075935
ppo_preshield_hard,PPO + Pre-emptive (Hard),reward,10,-19.127000000000002,0.8683323736399049,-19.15,1.4924999999999997,-19.8675,-18.375,-20.21,-17.99,-19.634025000000005,-18.62
ppo_preshield_hard,PPO + Pre-emptive (Hard),viol_rate,10,0.09777612243486523,0.039670593820707416,0.1061237687217802,0.04342518276373543,0.0734430262014612,0.11686820896519663,0.03065134099616858,0.15239980207817913,0.07481820903390596,0.120794495201342
ppo_preshield_hard,PPO + Pre-emptive (Hard),mod_rate,10,0.09777612243486523,0.039670593820707416,0.1061237687217802,0.04342518276373543,0.0734430262014612,0.11686820896519663,0.03065134099616858,0.15239980207817913,0.07481820903390596,0.120794495201342
ppo_layer_soft,PPO + Layer (Soft),reward,10,-319.59600000000006,481.71930718578795,-21.285,740.76,-759.0525,-18.2925,-1042.57,-16.38,-619.5717999999999,-21.672925000000003
ppo_layer_soft,PPO + Layer (Soft),viol_rate,10,0.00245392699371651,0.003979512336558135,0.0005455789582553565,0.0024140541002108766,0.0001625,0.0025765541002108765,0.0,0.012797074954296161,0.000570582633024133,0.0051640681612005095
ppo_layer_soft,PPO + Layer (Soft),mod_rate,10,0.002391988541553195,0.003805013092452356,0.0005455789582553565,0.0024215541002108763,0.00015500000000000003,0.0025765541002108765,0.0,0.01218769043266301,0.000570582633024133,0.004984806860838314
ppo_layer_hard,PPO + Layer (Hard),reward,10,-19.752,0.7197808308398085,-19.615000000000002,0.8324999999999996,-20.055,-19.2225,-21.42,-19.03,-20.215999999999998,-19.374000000000002
ppo_layer_hard,PPO + Layer (Hard),viol_rate,10,0.1860586845146132,0.008894792643035018,0.18791556313073499,0.01325994118583762,0.17860353017883757,0.1918634713646752,0.17288491854965843,0.19916796671866874,0.18071992564018724,0.19119252646342322
ppo_layer_hard,PPO + Layer (Hard),mod_rate,10,0.1860586845146132,0.008894792643035018,0.18791556313073499,0.01325994118583762,0.17860353017883757,0.1918634713646752,0.17288491854965843,0.19916796671866874,0.18071992564018724,0.19119252646342322
cppo,CMDP,reward,10,-246.92300000000006,409.7931560637228,-23.365000000000002,223.30749999999998,-240.86249999999998,-17.555,-1010.89,-15.47,-513.8631750000001,-23.842750000000045
cppo,CMDP,viol_rate,10,0.009155046614625881,0.024609711658078647,0.0,0.00401421096345515,0.0,0.00401421096345515,0.0,0.07878270762229807,4.372500000000025e-05,0.025114241067893533
cppo,CMDP,mod_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
