avg_reward,std_reward,max_reward,min_reward,avg_shield_mod_rate,avg_violations_per_step,avg_violations_per_episode,avg_modifications_per_episode,total_violations,total_modifications,total_steps,train_episodes,best_avg_reward,final_reward,seed,method,env
-23.76,6.064849544712548,-17,-49,0.0,0.0,0.0,0.0,0,0,2376,220,-19.65,-23,42,cppo,CliffWalking-v1
-1000.0,0.0,-1000,-1000,0.0,0.0,0.0,0.0,0,0,100000,350,-1000.0,-1594,123,cppo,CliffWalking-v1
-1010.89,36.76354036270175,-1000,-1198,0.0,0.00011,0.11,0.0,11,0,100000,270,-562.325,-1000,456,cppo,CliffWalking-v1
-309.39,351.14113672425225,-15,-1756,0.0,0.07878270762229807,2.77,0.0,277,0,3516,580,-38.275,-1000,789,cppo,CliffWalking-v1
-15.47,0.8883130078975541,-15,-19,0.0,0.0,0.0,0.0,0,0,1547,230,-16.575,-15,1011,cppo,CliffWalking-v1
-22.97,36.52956473871541,-13,-235,0.0,0.0053156146179402,0.08,0.0,8,0,1505,460,-21.725,-1000,2024,cppo,CliffWalking-v1
-15.77,1.4412147653975793,-15,-23,0.0,0.0,0.0,0.0,0,0,1577,180,-19.9,-15,1337,cppo,CliffWalking-v1
-35.28,42.85255651650202,-13,-255,0.0,0.007342143906020558,0.15,0.0,15,0,2043,1000,-25.45,-30,7,cppo,CliffWalking-v1
-17.26,0.6873136110975833,-17,-20,0.0,0.0,0.0,0.0,0,0,1726,490,-19.925,-17,314,cppo,CliffWalking-v1
-18.44,6.022159081259812,-17,-77,0.0,0.0,0.0,0.0,0,0,1844,320,-19.025,-17,271,cppo,CliffWalking-v1
