Environment,Method,Reward (median),Reward (mean ± std),Viol Rate,Mod Rate,Total Viol,Total Mod
CliffWalking-v1,PPO (Unshielded),-18.86,-245.57 ± 429.80,0.0005 ± 0.0008,0.0000 ± 0.0000,19.4 ± 57.5,0.0 ± 0.0
CliffWalking-v1,PPO + Reward Shaping,-26.30,-362.16 ± 553.06,0.0022 ± 0.0031,0.0000 ± 0.0000,50.0 ± 107.5,0.0 ± 0.0
CliffWalking-v1,PPO + Semantic Loss,-24.81,-412.45 ± 506.66,0.0019 ± 0.0027,0.0000 ± 0.0000,9.9 ± 18.8,0.0 ± 0.0
CliffWalking-v1,PPO + Action Mask,-19.73,-19.93 ± 1.00,0.3018 ± 0.0260,0.3018 ± 0.0260,602.3 ± 66.5,602.3 ± 66.5
CliffWalking-v1,PPO + Pre-emptive (Soft),-22.16,-290.14 ± 590.37,0.0025 ± 0.0032,0.0022 ± 0.0027,105.9 ± 325.4,87.5 ± 267.6
CliffWalking-v1,PPO + Pre-emptive (Hard),-19.15,-19.13 ± 0.87,0.0978 ± 0.0397,0.0978 ± 0.0397,188.4 ± 80.8,188.4 ± 80.8
CliffWalking-v1,PPO + Layer (Soft),-21.29,-319.60 ± 481.72,0.0025 ± 0.0040,0.0024 ± 0.0038,9.1 ± 11.9,8.9 ± 11.8
CliffWalking-v1,PPO + Layer (Hard),-19.62,-19.75 ± 0.72,0.1861 ± 0.0089,0.1861 ± 0.0089,367.6 ± 23.6,367.6 ± 23.6
CliffWalking-v1,CMDP,-23.37,-246.92 ± 409.79,0.0092 ± 0.0246,0.0000 ± 0.0000,31.1 ± 86.6,0.0 ± 0.0
CartPole-v1,PPO (Unshielded),186.30,193.57 ± 27.09,0.0184 ± 0.0034,0.0000 ± 0.0000,357.1 ± 85.5,0.0 ± 0.0
CartPole-v1,PPO + Reward Shaping,233.77,218.64 ± 71.92,0.0246 ± 0.0239,0.0000 ± 0.0000,455.8 ± 299.5,0.0 ± 0.0
CartPole-v1,PPO + Semantic Loss,255.97,253.55 ± 93.68,0.0177 ± 0.0134,0.0000 ± 0.0000,367.2 ± 184.3,0.0 ± 0.0
CartPole-v1,PPO + Action Mask,170.10,171.90 ± 17.18,0.0539 ± 0.0048,0.0539 ± 0.0048,925.3 ± 111.0,925.3 ± 111.0
CartPole-v1,PPO + Pre-emptive (Soft),233.81,231.31 ± 34.68,0.0141 ± 0.0059,0.0114 ± 0.0047,312.0 ± 109.2,252.7 ± 86.7
CartPole-v1,PPO + Pre-emptive (Hard),238.83,269.68 ± 121.48,0.0279 ± 0.0447,0.0279 ± 0.0447,479.1 ± 462.5,479.1 ± 462.5
CartPole-v1,PPO + Layer (Soft),220.19,263.89 ± 106.04,0.0128 ± 0.0071,0.0104 ± 0.0056,275.2 ± 97.3,224.7 ± 75.9
CartPole-v1,PPO + Layer (Hard),152.33,180.60 ± 154.40,0.0531 ± 0.0519,0.0531 ± 0.0519,419.7 ± 393.7,419.7 ± 393.7
CartPole-v1,CMDP,275.11,289.68 ± 125.74,0.0115 ± 0.0133,0.0000 ± 0.0000,246.5 ± 252.7,0.0 ± 0.0
ALE/Seaquest-v5,PPO (Unshielded),252.10,253.34 ± 52.89,0.1286 ± 0.0115,0.0000 ± 0.0000,11133.8 ± 2123.4,0.0 ± 0.0
ALE/Seaquest-v5,PPO + Reward Shaping,272.50,277.72 ± 39.87,0.1179 ± 0.0204,0.0000 ± 0.0000,10851.2 ± 3046.9,0.0 ± 0.0
ALE/Seaquest-v5,PPO + Semantic Loss,292.60,291.04 ± 58.97,0.1474 ± 0.0255,0.0000 ± 0.0000,14506.9 ± 4231.5,0.0 ± 0.0
ALE/Seaquest-v5,PPO + Action Mask,279.00,299.18 ± 46.99,0.0934 ± 0.0071,0.0934 ± 0.0071,8814.3 ± 958.9,8814.3 ± 958.9
ALE/Seaquest-v5,PPO + Pre-emptive (Soft),242.50,255.42 ± 55.72,0.0726 ± 0.0103,0.0678 ± 0.0098,6288.2 ± 1852.3,5874.0 ± 1760.0
ALE/Seaquest-v5,PPO + Pre-emptive (Hard),305.40,292.36 ± 58.20,0.1008 ± 0.0095,0.1008 ± 0.0095,9726.6 ± 909.9,9726.6 ± 909.9
ALE/Seaquest-v5,PPO + Layer (Soft),232.20,249.94 ± 58.77,0.0726 ± 0.0110,0.0674 ± 0.0096,6241.6 ± 1948.9,5793.6 ± 1776.4
ALE/Seaquest-v5,PPO + Layer (Hard),311.10,306.18 ± 61.69,0.1058 ± 0.0083,0.1058 ± 0.0083,10538.5 ± 1154.9,10538.5 ± 1154.9
ALE/Seaquest-v5,CMDP,246.70,239.04 ± 39.69,0.0899 ± 0.0353,0.0000 ± 0.0000,7594.5 ± 3354.7,0.0 ± 0.0
