episode,reward,violations,violation_rate,modifications,modification_rate
1,0.0,1,0.14285714285714285,0,0.0
2,0.0,2,0.1111111111111111,0,0.0
3,0.0,3,0.10714285714285714,0,0.0
4,0.0,4,0.1111111111111111,0,0.0
5,0.0,5,0.1282051282051282,0,0.0
6,0.0,6,0.11538461538461539,0,0.0
7,0.0,7,0.12962962962962962,0,0.0
8,1.0,7,0.10144927536231885,0,0.0
9,0.0,8,0.1095890410958904,0,0.0
10,0.0,9,0.11842105263157894,0,0.0
11,0.0,10,0.125,0,0.0
12,0.0,11,0.12941176470588237,0,0.0
13,0.0,12,0.11538461538461539,0,0.0
14,0.0,13,0.11607142857142858,0,0.0
15,0.0,14,0.11965811965811966,0,0.0
16,0.0,15,0.11627906976744186,0,0.0
17,0.0,16,0.12213740458015267,0,0.0
18,0.0,17,0.125,0,0.0
19,0.0,18,0.1232876712328767,0,0.0
20,0.0,19,0.12337662337662338,0,0.0
21,0.0,20,0.1282051282051282,0,0.0
22,0.0,21,0.13125,0,0.0
23,0.0,22,0.13496932515337423,0,0.0
24,0.0,23,0.13450292397660818,0,0.0
25,0.0,24,0.13043478260869565,0,0.0
26,0.0,25,0.13020833333333334,0,0.0
27,0.0,26,0.1319796954314721,0,0.0
28,0.0,27,0.135,0,0.0
29,0.0,28,0.1346153846153846,0,0.0
30,0.0,29,0.13679245283018868,0,0.0
31,0.0,30,0.136986301369863,0,0.0
32,0.0,31,0.13478260869565217,0,0.0
33,0.0,32,0.13168724279835392,0,0.0
34,0.0,33,0.13414634146341464,0,0.0
35,0.0,34,0.13385826771653545,0,0.0
36,0.0,35,0.13565891472868216,0,0.0
37,0.0,36,0.1348314606741573,0,0.0
38,0.0,37,0.13703703703703704,0,0.0
39,0.0,38,0.13380281690140844,0,0.0
40,0.0,39,0.13175675675675674,0,0.0
41,0.0,40,0.13333333333333333,0,0.0
42,0.0,41,0.13442622950819672,0,0.0
43,0.0,42,0.13592233009708737,0,0.0
44,0.0,43,0.13694267515923567,0,0.0
45,0.0,44,0.13664596273291926,0,0.0
46,0.0,45,0.13761467889908258,0,0.0
47,0.0,46,0.13609467455621302,0,0.0
48,0.0,47,0.13823529411764707,0,0.0
49,0.0,48,0.13675213675213677,0,0.0
50,0.0,49,0.13764044943820225,0,0.0
51,0.0,50,0.13966480446927373,0,0.0
52,0.0,51,0.14127423822714683,0,0.0
53,0.0,52,0.14325068870523416,0,0.0
54,0.0,53,0.14209115281501342,0,0.0
55,0.0,54,0.14323607427055704,0,0.0
56,0.0,55,0.14511873350923482,0,0.0
57,0.0,56,0.14432989690721648,0,0.0
58,0.0,57,0.14108910891089108,0,0.0
59,0.0,58,0.1411192214111922,0,0.0
60,0.0,59,0.14014251781472684,0,0.0
61,0.0,60,0.13793103448275862,0,0.0
62,0.0,61,0.13616071428571427,0,0.0
63,0.0,62,0.13716814159292035,0,0.0
64,0.0,63,0.13755458515283842,0,0.0
65,0.0,64,0.13763440860215054,0,0.0
66,0.0,65,0.13655462184873948,0,0.0
67,0.0,66,0.13580246913580246,0,0.0
68,0.0,67,0.1364562118126273,0,0.0
69,0.0,68,0.13709677419354838,0,0.0
70,0.0,69,0.13636363636363635,0,0.0
71,0.0,70,0.136986301369863,0,0.0
72,0.0,71,0.12979890310786105,0,0.0
73,0.0,72,0.13043478260869565,0,0.0
74,0.0,73,0.12966252220248667,0,0.0
75,0.0,74,0.1295971978984238,0,0.0
76,0.0,75,0.13089005235602094,0,0.0
77,0.0,76,0.13126079447322972,0,0.0
