episode,reward,violations,violation_rate,modifications,modification_rate
1,0,0,0.0,0,0.0
2,0,0,0.0,0,0.0
3,0,0,0.0,0,0.0
4,0,0,0.0,0,0.0
5,0,0,0.0,0,0.0
6,0,0,0.0,0,0.0
7,0,0,0.0,0,0.0
8,0,0,0.0,0,0.0
9,0,0,0.0,0,0.0
10,0,0,0.0,0,0.0
11,0,0,0.0,0,0.0
12,0,29,0.007458847736625514,29,0.007458847736625514
13,0,29,0.006885090218423552,29,0.006885090218423552
14,0,29,0.006393298059964726,29,0.006393298059964726
15,0,40,0.00823045267489712,40,0.00823045267489712
16,0,40,0.007716049382716049,40,0.007716049382716049
17,0,40,0.007262164124909223,40,0.007262164124909223
18,0,40,0.006858710562414266,40,0.006858710562414266
19,0,40,0.00649772579597141,40,0.00649772579597141
20,0,40,0.006172839506172839,40,0.006172839506172839
21,0,40,0.005878894767783657,40,0.005878894767783657
22,0,40,0.005611672278338945,40,0.005611672278338945
23,0,40,0.005367686527106817,40,0.005367686527106817
24,0,40,0.0051440329218107,40,0.0051440329218107
25,0,40,0.0049382716049382715,40,0.0049382716049382715
26,0,53,0.006291547958214625,53,0.006291547958214625
27,0,85,0.009716506630086877,85,0.009716506630086877
28,0,85,0.009369488536155202,85,0.009369488536155202
29,0,85,0.009046402724563644,85,0.009046402724563644
30,0,85,0.00874485596707819,85,0.00874485596707819
31,0,85,0.008462763839107925,85,0.008462763839107925
32,0,85,0.008198302469135802,85,0.008198302469135802
33,0,85,0.007949869060980172,85,0.007949869060980172
34,0,85,0.007716049382716049,85,0.007716049382716049
35,0,85,0.007495590828924162,85,0.007495590828924162
36,0,89,0.007630315500685871,89,0.007630315500685871
37,0,89,0.007424090757424091,89,0.007424090757424091
38,0,89,0.007228719948018193,89,0.007228719948018193
39,0,89,0.007043368154479266,89,0.007043368154479266
40,0,92,0.0070987654320987656,92,0.0070987654320987656
41,0,100,0.007527853056308341,100,0.007527853056308341
42,0,113,0.008303938859494415,113,0.008303938859494415
43,0,113,0.00811082400229687,113,0.00811082400229687
44,0,113,0.00792648709315376,113,0.00792648709315376
45,0,113,0.007750342935528121,113,0.007750342935528121
46,0,113,0.007581857219538379,113,0.007581857219538379
47,0,113,0.007420541108484371,113,0.007420541108484371
48,0,113,0.007265946502057613,113,0.007265946502057613
49,0,113,0.007117661879566642,113,0.007117661879566642
50,0,113,0.006975308641975308,113,0.006975308641975308
51,0,113,0.006838537884289518,113,0.006838537884289518
52,0,113,0.006707027540360874,113,0.006707027540360874
53,0,113,0.006580479850920103,113,0.006580479850920103
54,0,119,0.006801554641060814,119,0.006801554641060814
55,0,119,0.006677890011223345,119,0.006677890011223345
56,0,119,0.006558641975308642,119,0.006558641975308642
57,0,119,0.0064435780810049815,119,0.0064435780810049815
58,0,119,0.006332481907194551,119,0.006332481907194551
59,0,119,0.006225151705377694,119,0.006225151705377694
60,0,119,0.006121399176954733,119,0.006121399176954733
61,0,119,0.006021048370775147,119,0.006021048370775147
62,0,119,0.005923934687375548,119,0.005923934687375548
63,0,119,0.005829903978052126,119,0.005829903978052126
64,0,120,0.005787037037037037,120,0.005787037037037037
65,0,120,0.005698005698005698,120,0.005698005698005698
66,0,120,0.005611672278338945,120,0.005611672278338945
67,0,120,0.00552791597567717,120,0.00552791597567717
68,0,120,0.0054466230936819175,120,0.0054466230936819175
69,0,120,0.005367686527106817,120,0.005367686527106817
70,0,120,0.005291005291005291,120,0.005291005291005291
71,0,120,0.005216484089723527,120,0.005216484089723527
72,0,120,0.0051440329218107,120,0.0051440329218107
73,0,122,0.0051581261626923725,122,0.0051581261626923725
74,0,122,0.005088421755088422,122,0.005088421755088422
75,0,122,0.005020576131687242,122,0.005020576131687242
76,0,155,0.006294671864847303,155,0.006294671864847303
77,0,206,0.00825717492384159,206,0.00825717492384159
78,0,272,0.010762899651788541,272,0.010762899651788541
79,0,339,0.01324425691514299,339,0.01324425691514299
80,0,339,0.013078703703703703,339,0.013078703703703703
81,0,339,0.012917238225880201,339,0.012917238225880201
82,0,339,0.012759710930442638,339,0.012759710930442638
83,0,341,0.012680351033764688,341,0.012680351033764688
84,0,341,0.012529394473838919,341,0.012529394473838919
85,0,342,0.01241830065359477,342,0.01241830065359477
86,0,343,0.012309790410565605,343,0.012309790410565605
87,0,361,0.012806868170852845,361,0.012806868170852845
88,0,367,0.012871773288439955,367,0.012871773288439955
89,0,382,0.013247329726730477,382,0.013247329726730477
90,0,382,0.01310013717421125,382,0.01310013717421125
91,0,382,0.01295617962284629,382,0.01295617962284629
92,0,382,0.012815351583467525,382,0.012815351583467525
93,0,384,0.012743926722421346,384,0.012743926722421346
94,0,384,0.01260835303388495,384,0.01260835303388495
95,0,384,0.012475633528265107,384,0.012475633528265107
96,0,384,0.012345679012345678,384,0.012345679012345678
97,0,407,0.012950235458826525,407,0.012950235458826525
98,0,407,0.01281809019904258,407,0.01281809019904258
99,0,439,0.01368624516772665,439,0.01368624516772665
100,0,439,0.013549382716049383,439,0.013549382716049383
101,0,439,0.013415230411930082,439,0.013415230411930082
102,0,439,0.013283708545146454,439,0.013283708545146454
103,0,439,0.013154740501018818,439,0.013154740501018818
104,0,439,0.013028252611585946,439,0.013028252611585946
105,0,439,0.012904174015285126,439,0.012904174015285126
106,0,439,0.01278243652457489,439,0.01278243652457489
107,0,439,0.012662974500980731,439,0.012662974500980731
108,0,439,0.012545724737082762,439,0.012545724737082762
109,0,440,0.012458942122550686,440,0.012458942122550686
110,0,440,0.012345679012345678,440,0.012345679012345678
111,0,440,0.012234456678901124,440,0.012234456678901124
112,0,441,0.012152777777777778,441,0.012152777777777778
113,0,442,0.012072544520922102,442,0.012072544520922102
114,0,445,0.012047866580030323,445,0.012047866580030323
115,0,445,0.011943102522812667,445,0.011943102522812667
116,0,445,0.011840144742443593,445,0.011840144742443593
117,0,447,0.011791706236150681,447,0.011791706236150681
118,0,447,0.011691776522284997,447,0.011691776522284997
119,0,448,0.011619462599854757,448,0.011619462599854757
120,0,448,0.011522633744855968,448,0.011522633744855968
121,0,460,0.011733496581981431,460,0.011733496581981431
122,0,460,0.01163732038048978,460,0.01163732038048978
123,0,460,0.01154270801967279,460,0.01154270801967279
124,0,460,0.011449621664675428,460,0.011449621664675428
125,0,460,0.011358024691358024,460,0.011358024691358024
126,0,460,0.011267881638252009,460,0.011267881638252009
127,0,460,0.011179158160785458,460,0.011179158160785458
128,0,460,0.011091820987654322,460,0.011091820987654322
129,0,460,0.011005837879222892,460,0.011005837879222892
130,0,460,0.010921177587844255,460,0.010921177587844255
131,0,460,0.010837809819998115,460,0.010837809819998115
132,0,460,0.010755705200149644,460,0.010755705200149644
133,0,460,0.010674835236238744,460,0.010674835236238744
134,0,460,0.010595172286714576,460,0.010595172286714576
135,0,461,0.010539551897576589,461,0.010539551897576589
136,0,470,0.01066630355846042,470,0.01066630355846042
137,0,485,0.010926376498152654,485,0.010926376498152654
138,0,485,0.010847199856861693,485,0.010847199856861693
139,0,485,0.010769162447819522,485,0.010769162447819522
140,0,485,0.010692239858906525,485,0.010692239858906525
141,0,486,0.010638297872340425,486,0.010638297872340425
142,0,486,0.01056338028169014,486,0.01056338028169014
143,0,489,0.010554260554260553,489,0.010554260554260553
144,0,489,0.010480967078189301,489,0.010480967078189301
145,0,494,0.010515112813963388,494,0.010515112813963388
146,0,494,0.010443091493319803,494,0.010443091493319803
147,0,500,0.010498026371042244,500,0.010498026371042244
148,0,528,0.011011011011011011,528,0.011011011011011011
149,0,528,0.010937111608252548,528,0.010937111608252548
150,0,535,0.011008230452674897,535,0.011008230452674897
151,0,536,0.010955768130161065,536,0.010955768130161065
152,0,536,0.010883690708252111,536,0.010883690708252111
153,0,536,0.010812555474864843,536,0.010812555474864843
154,0,536,0.01074234407567741,536,0.01074234407567741
155,0,536,0.010673038630027878,536,0.010673038630027878
156,0,549,0.010861823361823363,549,0.010861823361823363
157,0,549,0.010792639773531494,549,0.010792639773531494
158,0,550,0.010743866229098297,550,0.010743866229098297
159,0,557,0.010812174858296452,557,0.010812174858296452
160,0,600,0.011574074074074073,600,0.011574074074074073
161,0,600,0.011502185415228893,600,0.011502185415228893
162,0,610,0.011621704008535284,610,0.011621704008535284
163,0,612,0.011588275391956374,612,0.011588275391956374
164,0,613,0.011536434808792533,613,0.011536434808792533
165,0,635,0.011878039655817433,635,0.011878039655817433
166,0,635,0.011806485200059497,635,0.011806485200059497
167,0,635,0.011735787683891476,635,0.011735787683891476
168,0,674,0.012382422104644327,674,0.012382422104644327
169,0,676,0.012345679012345678,676,0.012345679012345678
170,0,676,0.012273057371096586,676,0.012273057371096586
171,0,678,0.012237383582412822,678,0.012237383582412822
172,0,707,0.012686620729256389,707,0.012686620729256389
173,0,715,0.012756012274316705,715,0.012756012274316705
174,0,721,0.012789130126294877,721,0.012789130126294877
175,0,722,0.0127336860670194,722,0.0127336860670194
176,0,775,0.013590768799102133,775,0.013590768799102133
177,0,778,0.013566296993792285,778,0.013566296993792285
178,0,779,0.01350742127895686,779,0.01350742127895686
179,0,785,0.013535416235602456,785,0.013535416235602456
180,0,837,0.014351851851851852,837,0.014351851851851852
181,0,842,0.014357820066844008,842,0.014357820066844008
182,0,843,0.014295889295889297,843,0.014295889295889297
183,0,849,0.014318963772515686,849,0.014318963772515686
184,0,849,0.014241143317230275,849,0.014241143317230275
185,0,853,0.014230897564230897,853,0.014230897564230897
186,0,854,0.014170981016859154,854,0.014170981016859154
187,0,855,0.014111705288175876,855,0.014111705288175876
188,0,858,0.01408589440504334,858,0.01408589440504334
189,0,862,0.01407668691619309,862,0.01407668691619309
190,0,862,0.01400259909031839,862,0.01400259909031839
191,0,862,0.013929287053196304,862,0.013929287053196304
192,0,866,0.013921039094650206,866,0.013921039094650206
193,0,867,0.013864901170600652,867,0.013864901170600652
194,0,900,0.0143184421534937,900,0.0143184421534937
195,0,901,0.014260842038619817,901,0.014260842038619817
196,0,901,0.014188082640463593,901,0.014188082640463593
197,0,1092,0.017108479037413048,1092,0.017108479037413048
198,0,1093,0.017037660556179075,1093,0.017037660556179075
199,0,1095,0.016983063465475526,1095,0.016983063465475526
200,0,1095,0.016898148148148148,1095,0.016898148148148148
201,0,1095,0.01681407775935139,1095,0.01681407775935139
202,0,1299,0.019847818115144848,1299,0.019847818115144848
203,0,1302,0.01979565772669221,1302,0.01979565772669221
204,0,1302,0.019698620188816268,1302,0.019698620188816268
205,0,1322,0.01990364348087925,1322,0.01990364348087925
206,0,1383,0.02072096368212873,1383,0.02072096368212873
207,0,1383,0.02062086240830202,1383,0.02062086240830202
208,0,1383,0.020521723646723646,1383,0.020521723646723646
209,0,1383,0.02042353358142832,1383,0.02042353358142832
210,0,1385,0.02035567313345091,1385,0.02035567313345091
211,0,1385,0.020259200748932185,1385,0.020259200748932185
212,0,1454,0.021168180759375727,1454,0.021168180759375727
213,0,1454,0.02106879962905002,1454,0.02106879962905002
214,0,1454,0.020970347294334835,1454,0.020970347294334835
215,0,1454,0.020872810795291415,1454,0.020872810795291415
216,0,1454,0.02077617741197988,1454,0.02077617741197988
217,0,1457,0.02072310405643739,1457,0.02072310405643739
218,0,1462,0.02069883338996489,1462,0.02069883338996489
219,0,1462,0.020604318169006146,1462,0.020604318169006146
220,0,1463,0.02052469135802469,1463,0.02052469135802469
221,0,1463,0.020431819451427295,1463,0.020431819451427295
222,0,1463,0.02033978422867312,1463,0.02033978422867312
223,0,1463,0.020248574433925703,1463,0.020248574433925703
224,0,1466,0.02019951499118166,1466,0.02019951499118166
225,0,1468,0.020137174211248287,1468,0.020137174211248287
226,0,1468,0.02004807167049055,1468,0.02004807167049055
227,0,1468,0.019959754174144775,1468,0.019959754174144775
228,0,1468,0.01987221139267923,1468,0.01987221139267923
229,0,1477,0.019906733516631626,1477,0.019906733516631626
230,0,1477,0.01982018250134192,1477,0.01982018250134192
