episode,reward,violations,violation_rate,modifications,modification_rate
1,-200,67,0.335,67,0.335
2,-200,131,0.3275,131,0.3275
3,-200,192,0.32,192,0.32
4,-200,256,0.32,256,0.32
5,-200,324,0.324,324,0.324
6,-97,357,0.31932021466905186,357,0.31932021466905186
7,-200,420,0.3186646433990895,420,0.3186646433990895
8,-200,486,0.3201581027667984,486,0.3201581027667984
9,-200,550,0.320139697322468,550,0.320139697322468
10,-200,611,0.31856100104275287,611,0.31856100104275287
11,-200,682,0.32200188857412654,682,0.32200188857412654
12,-200,761,0.3283002588438309,761,0.3283002588438309
13,-200,822,0.32644956314535345,822,0.32644956314535345
14,-200,902,0.3318616629874908,902,0.3318616629874908
15,-200,975,0.3341329677861549,975,0.3341329677861549
16,-200,1036,0.33226427196921104,1036,0.33226427196921104
17,-200,1090,0.3285111512959614,1090,0.3285111512959614
18,-12,1102,0.3288570575947478,1102,0.3288570575947478
19,-200,1175,0.3308927062799211,1175,0.3308927062799211
20,-200,1249,0.33297787256731537,1249,0.33297787256731537
21,-154,1313,0.3344370860927152,1313,0.3344370860927152
22,-200,1383,0.33519146873485217,1383,0.33519146873485217
23,-200,1441,0.33310217290799815,1441,0.33310217290799815
24,-200,1499,0.33119752540874947,1499,0.33119752540874947
25,-200,1564,0.33093525179856115,1564,0.33093525179856115
26,-200,1635,0.33191230207064554,1635,0.33191230207064554
27,-200,1713,0.334178696839641,1713,0.334178696839641
28,-200,1782,0.3345850544498686,1782,0.3345850544498686
29,-200,1855,0.33568584871516466,1855,0.33568584871516466
30,-200,1923,0.3358365351030388,1923,0.3358365351030388
31,-200,1994,0.33648329395882554,1994,0.33648329395882554
32,-200,2074,0.3385569702905648,2074,0.3385569702905648
33,-200,2138,0.3379702813784382,2138,0.3379702813784382
34,-200,2208,0.3383389518847686,2208,0.3383389518847686
35,-200,2285,0.33972643473089503,2285,0.33972643473089503
36,-200,2363,0.34117816921744154,2363,0.34117816921744154
37,-36,2380,0.3408277244737219,2380,0.3408277244737219
38,-75,2414,0.3410086170363046,2414,0.3410086170363046
39,-200,2491,0.34221733754636624,2491,0.34221733754636624
40,-200,2575,0.3442973659580158,2575,0.3442973659580158
41,-200,2650,0.3450970178408647,2650,0.3450970178408647
42,-200,2720,0.3452214748064475,2720,0.3452214748064475
43,-200,2793,0.34571110285926476,2793,0.34571110285926476
44,-100,2845,0.3469512195121951,2845,0.3469512195121951
45,-200,2927,0.34845238095238096,2927,0.34845238095238096
46,-124,2984,0.3492100643651258,2984,0.3492100643651258
47,-200,3047,0.3484276729559748,3047,0.3484276729559748
48,-200,3114,0.34812744550027946,3114,0.34812744550027946
49,-200,3180,0.3477310005467469,3180,0.3477310005467469
50,-200,3254,0.3482075976457999,3254,0.3482075976457999
51,-200,3332,0.349083289680461,3332,0.349083289680461
52,-200,3412,0.350128270908158,3412,0.350128270908158
53,-131,3468,0.3504092149136102,3468,0.3504092149136102
54,-33,3482,0.3499145814491006,3482,0.3499145814491006
55,-200,3543,0.34902965225100974,3543,0.34902965225100974
56,-200,3618,0.34953144623707855,3618,0.34953144623707855
57,-200,3683,0.3490664392000758,3683,0.3490664392000758
58,-200,3763,0.3500139521904939,3763,0.3500139521904939
59,-200,3842,0.35083554013332113,3842,0.35083554013332113
60,-200,3915,0.35108958837772397,3915,0.35108958837772397
61,-200,3975,0.35018941062461456,3975,0.35018941062461456
62,-24,3985,0.3496840996840997,3985,0.3496840996840997
63,-200,4058,0.3499482580200069,4058,0.3499482580200069
64,-200,4128,0.34994913530010174,4128,0.34994913530010174
65,-31,4140,0.34942606347062793,4140,0.34942606347062793
66,-200,4214,0.3497675962815405,4214,0.3497675962815405
67,-200,4287,0.3500163291966035,4287,0.3500163291966035
68,-200,4364,0.3505784061696658,4364,0.3505784061696658
69,-200,4442,0.35120177103099304,4442,0.35120177103099304
70,-200,4518,0.35165006226650064,4518,0.35165006226650064
71,-55,4545,0.3516713091922006,4545,0.3516713091922006
72,-200,4623,0.35225540993599513,4623,0.35225540993599513
73,-200,4699,0.35267187030921643,4699,0.35267187030921643
74,-200,4770,0.35270629991126884,4770,0.35270629991126884
75,-200,4844,0.35295832118915765,4844,0.35295832118915765
76,-200,4926,0.3537776501005458,4926,0.3537776501005458
77,-200,4997,0.35379495893514584,4997,0.35379495893514584
78,-150,5056,0.35369010143406787,5056,0.35369010143406787
79,-200,5132,0.35405312176612624,5132,0.35405312176612624
80,-200,5209,0.3544743109901327,5209,0.3544743109901327
81,-200,5272,0.35394427660288685,5272,0.35394427660288685
82,-200,5345,0.3540907585293143,5345,0.3540907585293143
83,-200,5425,0.35469107551487417,5425,0.35469107551487417
84,-200,5497,0.3547595998709261,5497,0.3547595998709261
85,-154,5560,0.3548181238034461,5560,0.3548181238034461
86,-162,5620,0.3545070333690784,5620,0.3545070333690784
87,-200,5703,0.3552606989347786,5703,0.3552606989347786
88,-200,5784,0.3558727619516397,5784,0.3558727619516397
89,-200,5853,0.35574059442047046,5853,0.35574059442047046
90,-200,5933,0.35627214315738903,5933,0.35627214315738903
91,-147,5996,0.3564591879198621,5996,0.3564591879198621
92,-200,6079,0.3571470536396216,6079,0.3571470536396216
93,-200,6154,0.35735439289239884,6154,0.35735439289239884
94,-200,6228,0.3574995694851042,6228,0.3574995694851042
95,-200,6299,0.3574711991373929,6299,0.3574711991373929
96,-126,6348,0.35727149932462854,6348,0.35727149932462854
97,-200,6424,0.3575244879786287,6424,0.3575244879786287
98,-148,6487,0.35766664828803,6487,0.35766664828803
99,-200,6559,0.35769209794404755,6559,0.35769209794404755
100,-139,6617,0.35773368654376386,6617,0.35773368654376386
101,-200,6695,0.35807883617692676,6695,0.35807883617692676
102,-200,6767,0.35809916918029316,6767,0.35809916918029316
103,-200,6836,0.3579619835576269,6836,0.3579619835576269
104,-200,6915,0.3583458568689434,6915,0.3583458568689434
105,-200,6995,0.3587731445863466,6995,0.3587731445863466
106,-200,7061,0.3584809869523278,7061,0.3584809869523278
107,-200,7143,0.35899884404684124,7143,0.35899884404684124
108,-200,7210,0.35876001393242773,7210,0.35876001393242773
109,-200,7295,0.35941272109178696,7295,0.35941272109178696
110,-200,7371,0.3596136019905352,7371,0.3596136019905352
111,-200,7462,0.36053534328646664,7462,0.36053534328646664
112,-200,7541,0.36086519596114275,7541,0.36086519596114275
113,-200,7622,0.3612835948239086,7622,0.3612835948239086
114,-200,7708,0.36192891017514206,7708,0.36192891017514206
115,-200,7791,0.3624226636274829,7791,0.3624226636274829
116,-200,7866,0.36253859980642483,7866,0.36253859980642483
117,-200,7941,0.36265241813947113,7941,0.36265241813947113
118,-200,8019,0.3628999411684844,8019,0.3628999411684844
119,-102,8072,0.3632763276327633,8072,0.3632763276327633
120,-200,8145,0.36329170383586085,8145,0.36329170383586085
121,-200,8210,0.3629531388152078,8210,0.3629531388152078
122,-200,8283,0.3629710780017528,8283,0.3629710780017528
123,-200,8366,0.3634231103388358,8366,0.3634231103388358
124,-24,8383,0.3634511164101452,8383,0.3634511164101452
125,-200,8467,0.36393724478830863,8467,0.36393724478830863
126,-200,8555,0.36458555295120393,8555,0.36458555295120393
127,-200,8634,0.3648425945489119,8634,0.3648425945489119
128,-22,8647,0.36472920533153363,8647,0.36472920533153363
129,-200,8728,0.3650660866655513,8728,0.3650660866655513
130,-200,8807,0.36531441845030693,8807,0.36531441845030693
131,-200,8896,0.3659700510120125,8896,0.3659700510120125
132,-60,8923,0.36586165894460615,8923,0.36586165894460615
133,-18,8934,0.36572785328311774,8934,0.36572785328311774
134,-200,9016,0.3660873802176385,9016,0.3660873802176385
135,-200,9096,0.36636056065732236,9096,0.36636056065732236
136,-200,9189,0.3671487933514464,9189,0.3671487933514464
137,-200,9276,0.3676866973204376,9276,0.3676866973204376
138,-200,9349,0.36766556551832624,9349,0.36766556551832624
139,-39,9371,0.36766321406151914,9371,0.36766321406151914
140,-200,9442,0.36756462161320463,9442,0.36756462161320463
141,-200,9518,0.36766069221260816,9518,0.36766069221260816
142,-109,9575,0.36801445153355367,9575,0.36801445153355367
