episode,reward,violations,violation_rate,modifications,modification_rate
1,-200,71,0.355,71,0.355
2,-200,139,0.3475,139,0.3475
3,-200,201,0.335,201,0.335
4,-200,264,0.33,264,0.33
5,-200,333,0.333,333,0.333
6,-200,395,0.32916666666666666,395,0.32916666666666666
7,-200,469,0.335,469,0.335
8,-200,537,0.335625,537,0.335625
9,-200,604,0.33555555555555555,604,0.33555555555555555
10,-200,667,0.3335,667,0.3335
11,-200,760,0.34545454545454546,760,0.34545454545454546
12,-200,827,0.34458333333333335,827,0.34458333333333335
13,-200,893,0.3434615384615385,893,0.3434615384615385
14,-200,984,0.3514285714285714,984,0.3514285714285714
15,-200,1050,0.35,1050,0.35
16,-200,1116,0.34875,1116,0.34875
17,-200,1185,0.34852941176470587,1185,0.34852941176470587
18,-200,1259,0.3497222222222222,1259,0.3497222222222222
19,-200,1325,0.34868421052631576,1325,0.34868421052631576
20,-200,1390,0.3475,1390,0.3475
21,-200,1435,0.3416666666666667,1435,0.3416666666666667
22,-200,1494,0.33954545454545454,1494,0.33954545454545454
23,-200,1543,0.33543478260869564,1543,0.33543478260869564
24,-200,1580,0.32916666666666666,1580,0.32916666666666666
25,-200,1631,0.3262,1631,0.3262
26,-200,1679,0.3228846153846154,1679,0.3228846153846154
27,-200,1719,0.31833333333333336,1719,0.31833333333333336
28,-200,1757,0.31375,1757,0.31375
29,-200,1793,0.3091379310344828,1793,0.3091379310344828
30,-200,1812,0.302,1812,0.302
31,-200,1851,0.29854838709677417,1851,0.29854838709677417
32,-200,1878,0.2934375,1878,0.2934375
33,-200,1915,0.29015151515151516,1915,0.29015151515151516
34,-200,1942,0.28558823529411764,1942,0.28558823529411764
35,-200,1973,0.28185714285714286,1973,0.28185714285714286
36,-200,2009,0.27902777777777776,2009,0.27902777777777776
37,-200,2043,0.2760810810810811,2043,0.2760810810810811
38,-200,2069,0.27223684210526317,2069,0.27223684210526317
39,-200,2095,0.2685897435897436,2095,0.2685897435897436
40,-200,2132,0.2665,2132,0.2665
41,-200,2157,0.2630487804878049,2157,0.2630487804878049
42,-200,2178,0.2592857142857143,2178,0.2592857142857143
43,-200,2197,0.25546511627906976,2197,0.25546511627906976
44,-200,2229,0.25329545454545455,2229,0.25329545454545455
45,-200,2248,0.24977777777777777,2248,0.24977777777777777
46,-200,2264,0.24608695652173912,2264,0.24608695652173912
47,-200,2287,0.24329787234042552,2287,0.24329787234042552
48,-200,2313,0.2409375,2313,0.2409375
49,-200,2335,0.23826530612244898,2335,0.23826530612244898
50,-200,2356,0.2356,2356,0.2356
51,-200,2382,0.23352941176470587,2382,0.23352941176470587
52,-200,2398,0.23057692307692307,2398,0.23057692307692307
53,-200,2414,0.22773584905660377,2414,0.22773584905660377
54,-200,2429,0.22490740740740742,2429,0.22490740740740742
55,-200,2438,0.22163636363636363,2438,0.22163636363636363
56,-200,2467,0.22026785714285715,2467,0.22026785714285715
57,-200,2483,0.21780701754385964,2483,0.21780701754385964
58,-200,2509,0.21629310344827588,2509,0.21629310344827588
59,-200,2528,0.21423728813559323,2528,0.21423728813559323
60,-200,2542,0.21183333333333335,2542,0.21183333333333335
61,-200,2572,0.21081967213114755,2572,0.21081967213114755
62,-200,2589,0.20879032258064517,2589,0.20879032258064517
63,-200,2610,0.20714285714285716,2610,0.20714285714285716
64,-200,2632,0.205625,2632,0.205625
65,-200,2653,0.20407692307692307,2653,0.20407692307692307
66,-200,2670,0.20227272727272727,2670,0.20227272727272727
67,-200,2699,0.2014179104477612,2699,0.2014179104477612
68,-200,2708,0.19911764705882354,2708,0.19911764705882354
69,-200,2720,0.19710144927536233,2720,0.19710144927536233
70,-200,2737,0.1955,2737,0.1955
71,-200,2755,0.19401408450704224,2755,0.19401408450704224
72,-200,2782,0.19319444444444445,2782,0.19319444444444445
73,-200,2816,0.19287671232876713,2816,0.19287671232876713
74,-200,2836,0.19162162162162164,2836,0.19162162162162164
75,-200,2856,0.1904,2856,0.1904
76,-200,2880,0.18947368421052632,2880,0.18947368421052632
77,-200,2893,0.18785714285714286,2893,0.18785714285714286
78,-200,2915,0.18685897435897436,2915,0.18685897435897436
79,-200,2934,0.18569620253164557,2934,0.18569620253164557
80,-200,2965,0.1853125,2965,0.1853125
